date,material,location,quantity
2025-10-10,80784365,A668,0
2025-10-10,80784365,A680,0
2025-10-10,80784365,C563,0
2025-10-10,80784365,C816,0
2025-10-10,80784365,C937,0
2025-10-10,80784365,D191,0
2025-10-10,80784365,D767,0
2025-10-10,80784365,E295,0
2025-10-10,80784365,E467,0
2025-10-10,80784366,A668,0
2025-10-10,80784366,A680,1288
2025-10-10,80784366,C563,196
2025-10-10,80784366,C816,2039
2025-10-10,80784366,C937,0
2025-10-10,80784366,D191,882
2025-10-10,80784366,D767,357
2025-10-10,80784366,E295,320
2025-10-10,80784366,E467,110
2025-10-10,80784368,A668,2338
2025-10-10,80784368,A680,2529
2025-10-10,80784368,C563,185
2025-10-10,80784368,C816,10403
2025-10-10,80784368,C937,0
2025-10-10,80784368,D191,0
2025-10-10,80784368,D767,203
2025-10-10,80784368,E295,0
2025-10-10,80784368,E467,0
2025-10-10,80784369,A668,1221
2025-10-10,80784369,A680,298
2025-10-10,80784369,C563,0
2025-10-10,80784369,C816,342
2025-10-10,80784369,C937,0
2025-10-10,80784369,D191,0
2025-10-10,80784369,D767,561
2025-10-10,80784369,E295,0
2025-10-10,80784369,E467,0
2025-10-10,80784370,A668,2438
2025-10-10,80784370,A680,3861
2025-10-10,80784370,C563,299
2025-10-10,80784370,C816,5249
2025-10-10,80784370,C937,0
2025-10-10,80784370,D191,0
2025-10-10,80784370,D767,93
2025-10-10,80784370,E295,0
2025-10-10,80784370,E467,0
2025-10-10,80784376,A668,374
2025-10-10,80784376,A680,1263
2025-10-10,80784376,C563,199
2025-10-10,80784376,C816,2588
2025-10-10,80784376,C937,0
2025-10-10,80784376,D191,679
2025-10-10,80784376,D767,1687
2025-10-10,80784376,E295,401
2025-10-10,80784376,E467,0
2025-10-10,80784377,A668,0
2025-10-10,80784377,A680,0
2025-10-10,80784377,C563,0
2025-10-10,80784377,C816,0
2025-10-10,80784377,C937,0
2025-10-10,80784377,D191,0
2025-10-10,80784377,D767,0
2025-10-10,80784377,E295,0
2025-10-10,80784377,E467,0
2025-10-10,80784379,A668,0
2025-10-10,80784379,A672,0
2025-10-10,80784379,A673,0
2025-10-10,80784379,A680,0
2025-10-10,80784379,A715,0
2025-10-10,80784379,A716,0
2025-10-10,80784379,C563,0
2025-10-10,80784379,C816,0
2025-10-10,80784379,C819,0
2025-10-10,80784379,C937,0
2025-10-10,80784379,D191,0
2025-10-10,80784379,D767,0
2025-10-10,80784379,E295,0
2025-10-10,80784379,E467,0
2025-10-10,80786340,A668,0
2025-10-10,80786340,A680,1548
2025-10-10,80786340,C563,6
2025-10-10,80786340,C816,1156
2025-10-10,80786340,C937,0
2025-10-10,80786340,D191,932
2025-10-10,80786340,D767,66
2025-10-10,80786340,E295,198
2025-10-10,80786340,E467,104
