date,available_date,material,receiving,quantity
2025-09-09,2025-09-10,80813644,C810,37
2025-09-09,2025-09-10,80813608,C810,57
2025-09-09,2025-09-10,80813644,C810,46
2025-09-09,2025-09-10,80813608,C810,33
2025-09-09,2025-09-10,80813644,C816,40
2025-09-09,2025-09-10,80813608,C816,75
2025-09-09,2025-09-10,80813644,C816,40
2025-09-09,2025-09-10,80813608,C816,75
2025-09-09,2025-09-11,80813644,C810,100
2025-09-09,2025-09-11,80813608,C810,100
2025-09-09,2025-09-11,80813644,C810,80
2025-09-09,2025-09-11,80813608,C810,75
2025-09-09,2025-09-11,80813644,C816,40
2025-09-09,2025-09-11,80813608,C816,75
