date,material,sending,receiving,quantity,ori_deployment_uid,actual_ship_date,actual_delivery_date,type
2025-09-07,80813644,0386,C810,100,80813644|0386|C810|2025-09-07|net demand for normal|000007,2025-09-07,2025-09-09,delivery_shipment
2025-09-07,80813608,0386,C810,125,80813608|0386|C810|2025-09-07|net demand for normal|000011,2025-09-07,2025-09-09,delivery_shipment
2025-09-07,80813608,0386,C810,10,80813608|0386|C810|2025-09-07|net demand for normal|000011,2025-09-07,2025-09-09,delivery_shipment
2025-09-07,80813644,0386,C810,92,80813644|0386|C810|2025-09-07|net demand for AO|000006,2025-09-07,2025-09-09,delivery_shipment
2025-09-07,80813644,0386,C810,8,80813644|0386|C810|2025-09-07|net demand for AO|000006,2025-09-07,2025-09-09,delivery_shipment
2025-09-07,80813608,0386,C810,100,80813608|0386|C810|2025-09-07|net demand for AO|000010,2025-09-07,2025-09-09,delivery_shipment
2025-09-07,80813644,0386,C816,60,80813644|0386|C816|2025-09-07|net demand for normal|000005,2025-09-07,2025-09-09,delivery_shipment
2025-09-07,80813644,0386,C816,40,80813644|0386|C816|2025-09-07|net demand for normal|000005,2025-09-07,2025-09-09,delivery_shipment
2025-09-07,80813608,0386,C816,25,80813608|0386|C816|2025-09-07|net demand for normal|000009,2025-09-07,2025-09-09,delivery_shipment
2025-09-07,80813608,0386,C816,75,80813608|0386|C816|2025-09-07|net demand for normal|000009,2025-09-07,2025-09-09,delivery_shipment
2025-09-07,80813644,0386,C816,60,80813644|0386|C816|2025-09-07|net demand for AO|000004,2025-09-07,2025-09-09,delivery_shipment
2025-09-07,80813644,0386,C816,40,80813644|0386|C816|2025-09-07|net demand for AO|000004,2025-09-07,2025-09-09,delivery_shipment
2025-09-07,80813608,0386,C816,25,80813608|0386|C816|2025-09-07|net demand for AO|000008,2025-09-07,2025-09-09,delivery_shipment
2025-09-07,80813608,0386,C816,75,80813608|0386|C816|2025-09-07|net demand for AO|000008,2025-09-07,2025-09-09,delivery_shipment
