material,location,date,key,safety_stock_qty
80784365,A668,2025-10-06,80784365A668,2371.6753246753246
80784365,A668,2025-10-07,80784365A668,2371.6753246753246
80784365,A668,2025-10-08,80784365A668,2371.6753246753246
80784365,A668,2025-10-09,80784365A668,2371.6753246753246
80784365,A668,2025-10-10,80784365A668,2371.6753246753246
80784365,A668,2025-10-11,80784365A668,2371.6753246753246
80784365,A668,2025-10-12,80784365A668,2371.6753246753246
80784365,A668,2025-10-13,80784365A668,2371.6753246753246
80784365,A668,2025-10-14,80784365A668,2371.6753246753246
80784365,A668,2025-10-15,80784365A668,2371.6753246753246
80784365,A668,2025-10-16,80784365A668,2371.6753246753246
80784365,A668,2025-10-17,80784365A668,2371.6753246753246
80784365,A668,2025-10-18,80784365A668,2371.6753246753246
80784365,A668,2025-10-19,80784365A668,2371.6753246753246
80784365,A668,2025-10-20,80784365A668,2371.6753246753246
80784365,A668,2025-10-21,80784365A668,2371.6753246753246
80784365,A668,2025-10-22,80784365A668,2371.6753246753246
80784365,A668,2025-10-23,80784365A668,2371.6753246753246
80784365,A668,2025-10-24,80784365A668,2371.6753246753246
80784365,A668,2025-10-25,80784365A668,2371.6753246753246
80784365,A668,2025-10-26,80784365A668,2371.6753246753246
80784365,A668,2025-10-27,80784365A668,2371.6753246753246
80784365,A668,2025-10-28,80784365A668,2371.6753246753246
80784365,A668,2025-10-29,80784365A668,2371.6753246753246
80784365,A668,2025-10-30,80784365A668,2371.6753246753246
80784365,A668,2025-10-31,80784365A668,2371.6753246753246
80784365,A668,2025-11-01,80784365A668,2371.6753246753246
80784365,A668,2025-11-02,80784365A668,2371.6753246753246
80784365,A668,2025-11-03,80784365A668,2371.6753246753246
80784365,A668,2025-11-04,80784365A668,2371.6753246753246
80784365,A668,2025-11-05,80784365A668,2371.6753246753246
80784365,A668,2025-11-06,80784365A668,2371.6753246753246
80784365,A668,2025-11-07,80784365A668,2371.6753246753246
80784365,A668,2025-11-08,80784365A668,2371.6753246753246
80784365,A668,2025-11-09,80784365A668,2371.6753246753246
80784365,A668,2025-11-10,80784365A668,2371.6753246753246
80784365,A668,2025-11-11,80784365A668,2371.6753246753246
80784365,A668,2025-11-12,80784365A668,2371.6753246753246
80784365,A668,2025-11-13,80784365A668,2371.6753246753246
80784365,A668,2025-11-14,80784365A668,2371.6753246753246
80784365,A668,2025-11-15,80784365A668,2371.6753246753246
80784365,A668,2025-11-16,80784365A668,2371.6753246753246
80784365,A668,2025-11-17,80784365A668,2371.6753246753246
80784365,A668,2025-11-18,80784365A668,2371.6753246753246
