date,material,location,quantity,type
2025-09-12,80813608,A668,0,customer_shipment
2025-09-12,80813608,C816,73,customer_shipment
2025-09-12,80813608,C810,42,customer_shipment
2025-09-12,80813644,A668,0,customer_shipment
2025-09-12,80813644,C816,82,customer_shipment
2025-09-12,80813644,C810,71,customer_shipment
