date,material,sending,receiving,quantity,ori_deployment_uid,actual_ship_date,actual_delivery_date,type
2025-09-12,80813608,0386,C810,125,80813608|0386|C810|2025-09-12|net demand for normal|000044,2025-09-12,2025-09-14,delivery_shipment
2025-09-12,80813608,0386,C810,10,80813608|0386|C810|2025-09-12|net demand for normal|000044,2025-09-12,2025-09-14,delivery_shipment
2025-09-12,80813644,0386,C810,92,80813644|0386|C810|2025-09-12|net demand for normal|000050,2025-09-12,2025-09-14,delivery_shipment
2025-09-12,80813644,0386,C810,45,80813644|0386|C810|2025-09-12|net demand for normal|000050,2025-09-12,2025-09-14,delivery_shipment
2025-09-12,80813608,0386,C810,68,80813608|0386|C810|2025-09-12|net demand for AO|000043,2025-09-12,2025-09-14,delivery_shipment
2025-09-12,80813608,0386,C810,32,80813608|0386|C810|2025-09-12|net demand for AO|000043,2025-09-12,2025-09-14,delivery_shipment
2025-09-12,80813644,0386,C810,74,80813644|0386|C810|2025-09-12|net demand for AO|000049,2025-09-12,2025-09-14,delivery_shipment
2025-09-12,80813644,0386,C810,26,80813644|0386|C810|2025-09-12|net demand for AO|000049,2025-09-12,2025-09-14,delivery_shipment
2025-09-12,80813608,0386,C810,92,80813608|0386|C810|2025-09-12|net demand for safety|000042,2025-09-12,2025-09-14,delivery_shipment
2025-09-12,80813608,0386,C810,125,80813608|0386|C810|2025-09-12|net demand for safety|000042,2025-09-12,2025-09-14,delivery_shipment
2025-09-12,80813608,0386,C810,83,80813608|0386|C810|2025-09-12|net demand for safety|000042,2025-09-12,2025-09-14,delivery_shipment
2025-09-12,80813644,0386,C810,33,80813644|0386|C810|2025-09-12|net demand for safety|000048,2025-09-12,2025-09-14,delivery_shipment
2025-09-12,80813644,0386,C810,100,80813644|0386|C810|2025-09-12|net demand for safety|000048,2025-09-12,2025-09-14,delivery_shipment
2025-09-12,80813644,0386,C810,100,80813644|0386|C810|2025-09-12|net demand for safety|000048,2025-09-12,2025-09-14,delivery_shipment
2025-09-12,80813644,0386,C810,67,80813644|0386|C810|2025-09-12|net demand for safety|000048,2025-09-12,2025-09-14,delivery_shipment
2025-09-12,80813644,0386,C810,33,80813644|0386|C810|2025-09-12|push replenishment|000054,2025-09-12,2025-09-14,delivery_shipment
2025-09-12,80813644,0386,C810,100,80813644|0386|C810|2025-09-12|push replenishment|000054,2025-09-12,2025-09-14,delivery_shipment
2025-09-12,80813644,0386,C810,100,80813644|0386|C810|2025-09-12|push replenishment|000054,2025-09-12,2025-09-14,delivery_shipment
2025-09-12,80813644,0386,C810,100,80813644|0386|C810|2025-09-12|push replenishment|000054,2025-09-12,2025-09-14,delivery_shipment
2025-09-12,80813644,0386,C810,100,80813644|0386|C810|2025-09-12|push replenishment|000054,2025-09-12,2025-09-14,delivery_shipment
