material,sending,receiving,planned_deployment_date,deployed_qty,demand_element,ori_deployment_uid
80784369,C816,D767,2025-10-09,125,net demand for normal,80784369|C816|D767|2025-10-09|net demand for normal|000638
80784369,C816,E467,2025-10-09,9,net demand for normal,80784369|C816|E467|2025-10-09|net demand for normal|000639
8078436901,C816,C563,2025-10-09,1,net demand for AO,8078436901|C816|C563|2025-10-09|net demand for AO|000640
8078436901,C816,C563,2025-10-09,1,net demand for AO,8078436901|C816|C563|2025-10-09|net demand for AO|000641
8078436901,C816,C563,2025-10-09,1,net demand for AO,8078436901|C816|C563|2025-10-09|net demand for AO|000642
8078436901,C816,C563,2025-10-09,1,net demand for AO,8078436901|C816|C563|2025-10-09|net demand for AO|000643
8078436901,C816,C563,2025-10-09,5,net demand for normal,8078436901|C816|C563|2025-10-09|net demand for normal|000644
8078436901,C816,D767,2025-10-09,11,net demand for AO,8078436901|C816|D767|2025-10-09|net demand for AO|000645
8078436901,C816,D767,2025-10-09,13,net demand for AO,8078436901|C816|D767|2025-10-09|net demand for AO|000646
8078436901,C816,D767,2025-10-09,15,net demand for AO,8078436901|C816|D767|2025-10-09|net demand for AO|000647
8078436901,C816,D767,2025-10-09,16,net demand for AO,8078436901|C816|D767|2025-10-09|net demand for AO|000648
8078436901,C816,D767,2025-10-09,106,net demand for normal,8078436901|C816|D767|2025-10-09|net demand for normal|000649
8078436901,C816,E295,2025-10-09,3,net demand for AO,8078436901|C816|E295|2025-10-09|net demand for AO|000650
8078436901,C816,E295,2025-10-09,3,net demand for AO,8078436901|C816|E295|2025-10-09|net demand for AO|000651
8078436901,C816,E295,2025-10-09,3,net demand for AO,8078436901|C816|E295|2025-10-09|net demand for AO|000652
8078436901,C816,E295,2025-10-09,3,net demand for AO,8078436901|C816|E295|2025-10-09|net demand for AO|000653
8078436901,C816,E295,2025-10-09,29,net demand for normal,8078436901|C816|E295|2025-10-09|net demand for normal|000654
8078436901,C816,E467,2025-10-09,1,net demand for AO,8078436901|C816|E467|2025-10-09|net demand for AO|000655
8078436901,C816,E467,2025-10-09,1,net demand for AO,8078436901|C816|E467|2025-10-09|net demand for AO|000656
8078436901,C816,E467,2025-10-09,1,net demand for AO,8078436901|C816|E467|2025-10-09|net demand for AO|000657
8078436901,C816,E467,2025-10-09,1,net demand for AO,8078436901|C816|E467|2025-10-09|net demand for AO|000658
8078436901,C816,E467,2025-10-09,2,net demand for normal,8078436901|C816|E467|2025-10-09|net demand for normal|000659
80784370,C816,D767,2025-10-09,2,net demand for forecast,80784370|C816|D767|2025-10-09|net demand for forecast|000660
80784370,C816,D767,2025-10-09,2,net demand for forecast,80784370|C816|D767|2025-10-09|net demand for forecast|000661
80784370,C816,D767,2025-10-09,2,net demand for forecast,80784370|C816|D767|2025-10-09|net demand for forecast|000662
80784370,C816,D767,2025-10-09,2,net demand for forecast,80784370|C816|D767|2025-10-09|net demand for forecast|000663
80784370,C816,D767,2025-10-09,2,net demand for forecast,80784370|C816|D767|2025-10-09|net demand for forecast|000664
80784370,C816,D767,2025-10-09,2,net demand for forecast,80784370|C816|D767|2025-10-09|net demand for forecast|000665
80784370,C816,D767,2025-10-09,2,net demand for forecast,80784370|C816|D767|2025-10-09|net demand for forecast|000666
80784370,C816,D767,2025-10-09,2,net demand for forecast,80784370|C816|D767|2025-10-09|net demand for forecast|000667
80784376,C816,D767,2025-10-09,16,net demand for AO,80784376|C816|D767|2025-10-09|net demand for AO|000668
80784376,C816,D767,2025-10-09,17,net demand for AO,80784376|C816|D767|2025-10-09|net demand for AO|000669
80784376,C816,D767,2025-10-09,19,net demand for AO,80784376|C816|D767|2025-10-09|net demand for AO|000670
80784376,C816,D767,2025-10-09,20,net demand for AO,80784376|C816|D767|2025-10-09|net demand for AO|000671
80784376,C816,D767,2025-10-09,45,net demand for normal,80784376|C816|D767|2025-10-09|net demand for normal|000672
80786340,C816,D767,2025-10-09,20,net demand for AO,80786340|C816|D767|2025-10-09|net demand for AO|000673
80786340,C816,D767,2025-10-09,22,net demand for AO,80786340|C816|D767|2025-10-09|net demand for AO|000674
80786340,C816,D767,2025-10-09,24,net demand for AO,80786340|C816|D767|2025-10-09|net demand for AO|000675
80786340,C816,D767,2025-10-09,27,net demand for AO,80786340|C816|D767|2025-10-09|net demand for AO|000676
80786340,C816,D767,2025-10-09,73,net demand for normal,80786340|C816|D767|2025-10-09|net demand for normal|000677
80799645,C816,C563,2025-10-09,1,net demand for forecast,80799645|C816|C563|2025-10-09|net demand for forecast|000678
80799645,C816,C563,2025-10-09,1,net demand for forecast,80799645|C816|C563|2025-10-09|net demand for forecast|000679
80799645,C816,C563,2025-10-09,1,net demand for forecast,80799645|C816|C563|2025-10-09|net demand for forecast|000680
80799645,C816,C563,2025-10-09,1,net demand for forecast,80799645|C816|C563|2025-10-09|net demand for forecast|000681
80799645,C816,C563,2025-10-09,1,net demand for forecast,80799645|C816|C563|2025-10-09|net demand for forecast|000682
80799645,C816,C563,2025-10-09,1,net demand for forecast,80799645|C816|C563|2025-10-09|net demand for forecast|000683
80799645,C816,C563,2025-10-09,1,net demand for forecast,80799645|C816|C563|2025-10-09|net demand for forecast|000684
80799645,C816,C563,2025-10-09,1,net demand for forecast,80799645|C816|C563|2025-10-09|net demand for forecast|000685
80799645,C816,C563,2025-10-09,1,net demand for forecast,80799645|C816|C563|2025-10-09|net demand for forecast|000686
80799645,C816,C563,2025-10-09,1,net demand for forecast,80799645|C816|C563|2025-10-09|net demand for forecast|000687
80799645,C816,C563,2025-10-09,1,net demand for forecast,80799645|C816|C563|2025-10-09|net demand for forecast|000688
80799645,C816,D767,2025-10-09,2,net demand for forecast,80799645|C816|D767|2025-10-09|net demand for forecast|000689
80799645,C816,D767,2025-10-09,2,net demand for forecast,80799645|C816|D767|2025-10-09|net demand for forecast|000690
80799645,C816,D767,2025-10-09,2,net demand for forecast,80799645|C816|D767|2025-10-09|net demand for forecast|000691
80799645,C816,D767,2025-10-09,2,net demand for forecast,80799645|C816|D767|2025-10-09|net demand for forecast|000692
80799645,C816,D767,2025-10-09,2,net demand for forecast,80799645|C816|D767|2025-10-09|net demand for forecast|000693
80799645,C816,D767,2025-10-09,2,net demand for forecast,80799645|C816|D767|2025-10-09|net demand for forecast|000694
80799645,C816,D767,2025-10-09,2,net demand for forecast,80799645|C816|D767|2025-10-09|net demand for forecast|000695
80799645,C816,D767,2025-10-09,2,net demand for forecast,80799645|C816|D767|2025-10-09|net demand for forecast|000696
80799647,C816,C563,2025-10-09,2,net demand for AO,80799647|C816|C563|2025-10-09|net demand for AO|000697
80799647,C816,C563,2025-10-09,2,net demand for AO,80799647|C816|C563|2025-10-09|net demand for AO|000698
80799647,C816,C563,2025-10-09,2,net demand for AO,80799647|C816|C563|2025-10-09|net demand for AO|000699
80799647,C816,C563,2025-10-09,2,net demand for AO,80799647|C816|C563|2025-10-09|net demand for AO|000700
80799647,C816,C563,2025-10-09,17,net demand for normal,80799647|C816|C563|2025-10-09|net demand for normal|000701
80799647,C816,D767,2025-10-09,2,net demand for AO,80799647|C816|D767|2025-10-09|net demand for AO|000702
80799647,C816,D767,2025-10-09,2,net demand for AO,80799647|C816|D767|2025-10-09|net demand for AO|000703
80799647,C816,D767,2025-10-09,2,net demand for AO,80799647|C816|D767|2025-10-09|net demand for AO|000704
80799647,C816,D767,2025-10-09,2,net demand for AO,80799647|C816|D767|2025-10-09|net demand for AO|000705
80799647,C816,D767,2025-10-09,9,net demand for normal,80799647|C816|D767|2025-10-09|net demand for normal|000706
8079964701,C816,C563,2025-10-09,2,net demand for AO,8079964701|C816|C563|2025-10-09|net demand for AO|000707
8079964701,C816,C563,2025-10-09,2,net demand for AO,8079964701|C816|C563|2025-10-09|net demand for AO|000708
8079964701,C816,C563,2025-10-09,2,net demand for AO,8079964701|C816|C563|2025-10-09|net demand for AO|000709
8079964701,C816,C563,2025-10-09,2,net demand for AO,8079964701|C816|C563|2025-10-09|net demand for AO|000710
8079964701,C816,C563,2025-10-09,14,net demand for normal,8079964701|C816|C563|2025-10-09|net demand for normal|000711
8079964701,C816,D767,2025-10-09,2,net demand for AO,8079964701|C816|D767|2025-10-09|net demand for AO|000712
8079964701,C816,D767,2025-10-09,2,net demand for AO,8079964701|C816|D767|2025-10-09|net demand for AO|000713
8079964701,C816,D767,2025-10-09,2,net demand for AO,8079964701|C816|D767|2025-10-09|net demand for AO|000714
8079964701,C816,D767,2025-10-09,2,net demand for AO,8079964701|C816|D767|2025-10-09|net demand for AO|000715
8079964701,C816,D767,2025-10-09,27,net demand for normal,8079964701|C816|D767|2025-10-09|net demand for normal|000716
80804079,C816,D767,2025-10-09,1,net demand for forecast,80804079|C816|D767|2025-10-09|net demand for forecast|000717
80804079,C816,D767,2025-10-09,1,net demand for forecast,80804079|C816|D767|2025-10-09|net demand for forecast|000718
80804079,C816,D767,2025-10-09,1,net demand for forecast,80804079|C816|D767|2025-10-09|net demand for forecast|000719
80804079,C816,D767,2025-10-09,1,net demand for forecast,80804079|C816|D767|2025-10-09|net demand for forecast|000720
80804079,C816,D767,2025-10-09,1,net demand for forecast,80804079|C816|D767|2025-10-09|net demand for forecast|000721
80804079,C816,D767,2025-10-09,1,net demand for forecast,80804079|C816|D767|2025-10-09|net demand for forecast|000722
80804079,C816,D767,2025-10-09,1,net demand for forecast,80804079|C816|D767|2025-10-09|net demand for forecast|000723
80804079,C816,D767,2025-10-09,1,net demand for forecast,80804079|C816|D767|2025-10-09|net demand for forecast|000724
80804079,C816,D767,2025-10-09,4,net demand for safety,80804079|C816|D767|2025-10-09|net demand for safety|000725
8084232501,C816,D767,2025-10-09,2,net demand for AO,8084232501|C816|D767|2025-10-09|net demand for AO|000726
8084232501,C816,D767,2025-10-09,2,net demand for AO,8084232501|C816|D767|2025-10-09|net demand for AO|000727
8084232501,C816,D767,2025-10-09,2,net demand for AO,8084232501|C816|D767|2025-10-09|net demand for AO|000728
8084232501,C816,D767,2025-10-09,2,net demand for AO,8084232501|C816|D767|2025-10-09|net demand for AO|000729
80842334,C816,D767,2025-10-09,1,net demand for forecast,80842334|C816|D767|2025-10-09|net demand for forecast|000730
80842334,C816,D767,2025-10-09,1,net demand for forecast,80842334|C816|D767|2025-10-09|net demand for forecast|000731
80842334,C816,D767,2025-10-09,1,net demand for forecast,80842334|C816|D767|2025-10-09|net demand for forecast|000732
80842334,C816,D767,2025-10-09,1,net demand for forecast,80842334|C816|D767|2025-10-09|net demand for forecast|000733
80842334,C816,D767,2025-10-09,1,net demand for forecast,80842334|C816|D767|2025-10-09|net demand for forecast|000734
80842334,C816,D767,2025-10-09,1,net demand for forecast,80842334|C816|D767|2025-10-09|net demand for forecast|000735
80842334,C816,D767,2025-10-09,1,net demand for forecast,80842334|C816|D767|2025-10-09|net demand for forecast|000736
80842334,C816,D767,2025-10-09,1,net demand for forecast,80842334|C816|D767|2025-10-09|net demand for forecast|000737
80842334,C816,D767,2025-10-09,5,net demand for safety,80842334|C816|D767|2025-10-09|net demand for safety|000738
80842339,C816,D767,2025-10-09,1,net demand for forecast,80842339|C816|D767|2025-10-09|net demand for forecast|000739
80842339,C816,D767,2025-10-09,1,net demand for forecast,80842339|C816|D767|2025-10-09|net demand for forecast|000740
80842339,C816,D767,2025-10-09,1,net demand for forecast,80842339|C816|D767|2025-10-09|net demand for forecast|000741
80842339,C816,D767,2025-10-09,1,net demand for forecast,80842339|C816|D767|2025-10-09|net demand for forecast|000742
80842339,C816,D767,2025-10-09,1,net demand for forecast,80842339|C816|D767|2025-10-09|net demand for forecast|000743
80842339,C816,D767,2025-10-09,1,net demand for forecast,80842339|C816|D767|2025-10-09|net demand for forecast|000744
80842339,C816,D767,2025-10-09,1,net demand for forecast,80842339|C816|D767|2025-10-09|net demand for forecast|000745
80842339,C816,D767,2025-10-09,1,net demand for forecast,80842339|C816|D767|2025-10-09|net demand for forecast|000746
80842339,C816,D767,2025-10-09,7,net demand for safety,80842339|C816|D767|2025-10-09|net demand for safety|000747
80842340,C816,D767,2025-10-09,1,net demand for forecast,80842340|C816|D767|2025-10-09|net demand for forecast|000748
80842340,C816,D767,2025-10-09,1,net demand for forecast,80842340|C816|D767|2025-10-09|net demand for forecast|000749
80842340,C816,D767,2025-10-09,1,net demand for forecast,80842340|C816|D767|2025-10-09|net demand for forecast|000750
80842340,C816,D767,2025-10-09,1,net demand for forecast,80842340|C816|D767|2025-10-09|net demand for forecast|000751
80842340,C816,D767,2025-10-09,1,net demand for forecast,80842340|C816|D767|2025-10-09|net demand for forecast|000752
80842340,C816,D767,2025-10-09,1,net demand for forecast,80842340|C816|D767|2025-10-09|net demand for forecast|000753
80842340,C816,D767,2025-10-09,1,net demand for forecast,80842340|C816|D767|2025-10-09|net demand for forecast|000754
80842340,C816,D767,2025-10-09,1,net demand for forecast,80842340|C816|D767|2025-10-09|net demand for forecast|000755
80842340,C816,D767,2025-10-09,9,net demand for safety,80842340|C816|D767|2025-10-09|net demand for safety|000756
80845182,A888,A668,2025-10-09,3,net demand for forecast,80845182|A888|A668|2025-10-09|net demand for forecast|000757
80845182,A888,A668,2025-10-09,4,net demand for forecast,80845182|A888|A668|2025-10-09|net demand for forecast|000758
80845182,A888,A668,2025-10-09,4,net demand for forecast,80845182|A888|A668|2025-10-09|net demand for forecast|000759
80845182,A888,A668,2025-10-09,4,net demand for forecast,80845182|A888|A668|2025-10-09|net demand for forecast|000760
80845182,A888,A668,2025-10-09,4,net demand for forecast,80845182|A888|A668|2025-10-09|net demand for forecast|000761
80845182,A888,A668,2025-10-09,4,net demand for forecast,80845182|A888|A668|2025-10-09|net demand for forecast|000762
80845182,A888,A668,2025-10-09,4,net demand for forecast,80845182|A888|A668|2025-10-09|net demand for forecast|000763
80845182,A888,A668,2025-10-09,5,net demand for forecast,80845182|A888|A668|2025-10-09|net demand for forecast|000764
80845182,A888,A668,2025-10-09,5,net demand for forecast,80845182|A888|A668|2025-10-09|net demand for forecast|000765
80845182,A888,A668,2025-10-09,5,net demand for forecast,80845182|A888|A668|2025-10-09|net demand for forecast|000766
80845182,A888,A668,2025-10-09,5,net demand for forecast,80845182|A888|A668|2025-10-09|net demand for forecast|000767
80845182,A888,A668,2025-10-09,6,net demand for forecast,80845182|A888|A668|2025-10-09|net demand for forecast|000768
80845182,A888,A668,2025-10-09,6,net demand for forecast,80845182|A888|A668|2025-10-09|net demand for forecast|000769
80845182,A888,A668,2025-10-09,6,net demand for forecast,80845182|A888|A668|2025-10-09|net demand for forecast|000770
80845182,A888,A668,2025-10-09,6,net demand for forecast,80845182|A888|A668|2025-10-09|net demand for forecast|000771
80845182,A888,A668,2025-10-09,6,net demand for forecast,80845182|A888|A668|2025-10-09|net demand for forecast|000772
80845182,A888,A668,2025-10-09,6,net demand for forecast,80845182|A888|A668|2025-10-09|net demand for forecast|000773
80845182,A888,A668,2025-10-09,6,net demand for forecast,80845182|A888|A668|2025-10-09|net demand for forecast|000774
80845182,A888,A668,2025-10-09,10,net demand for forecast,80845182|A888|A668|2025-10-09|net demand for forecast|000775
80845182,A888,A668,2025-10-09,10,net demand for forecast,80845182|A888|A668|2025-10-09|net demand for forecast|000776
80845182,A888,A668,2025-10-09,10,net demand for forecast,80845182|A888|A668|2025-10-09|net demand for forecast|000777
80845182,A888,A668,2025-10-09,10,net demand for forecast,80845182|A888|A668|2025-10-09|net demand for forecast|000778
80845182,A888,A668,2025-10-09,10,net demand for forecast,80845182|A888|A668|2025-10-09|net demand for forecast|000779
80845182,A888,A668,2025-10-09,10,net demand for forecast,80845182|A888|A668|2025-10-09|net demand for forecast|000780
80845182,A888,A668,2025-10-09,10,net demand for forecast,80845182|A888|A668|2025-10-09|net demand for forecast|000781
80845182,A888,A668,2025-10-09,13,net demand for forecast,80845182|A888|A668|2025-10-09|net demand for forecast|000782
80845182,A888,A668,2025-10-09,13,net demand for forecast,80845182|A888|A668|2025-10-09|net demand for forecast|000783
80845182,A888,A668,2025-10-09,13,net demand for forecast,80845182|A888|A668|2025-10-09|net demand for forecast|000784
80845182,A888,A668,2025-10-09,16,net demand for forecast,80845182|A888|A668|2025-10-09|net demand for forecast|000785
80845182,A888,A668,2025-10-09,17,net demand for forecast,80845182|A888|A668|2025-10-09|net demand for forecast|000786
80845182,A888,A668,2025-10-09,17,net demand for forecast,80845182|A888|A668|2025-10-09|net demand for forecast|000787
80845182,A888,A668,2025-10-09,17,net demand for forecast,80845182|A888|A668|2025-10-09|net demand for forecast|000788
80845182,A888,A668,2025-10-09,17,net demand for forecast,80845182|A888|A668|2025-10-09|net demand for forecast|000789
80845182,A888,A668,2025-10-09,17,net demand for forecast,80845182|A888|A668|2025-10-09|net demand for forecast|000790
80845182,A888,A668,2025-10-09,17,net demand for forecast,80845182|A888|A668|2025-10-09|net demand for forecast|000791
80845182,A888,A672,2025-10-09,247,net demand for forecast,80845182|A888|A672|2025-10-09|net demand for forecast|000829
80845182,A888,A672,2025-10-09,315,net demand for forecast,80845182|A888|A672|2025-10-09|net demand for forecast|000830
80845182,A888,A672,2025-10-09,315,net demand for forecast,80845182|A888|A672|2025-10-09|net demand for forecast|000831
80845182,A888,A672,2025-10-09,315,net demand for forecast,80845182|A888|A672|2025-10-09|net demand for forecast|000832
80845182,A888,A672,2025-10-09,315,net demand for forecast,80845182|A888|A672|2025-10-09|net demand for forecast|000833
80845182,A888,A672,2025-10-09,316,net demand for forecast,80845182|A888|A672|2025-10-09|net demand for forecast|000834
80845182,A888,A672,2025-10-09,316,net demand for forecast,80845182|A888|A672|2025-10-09|net demand for forecast|000835
80845182,A888,C816,2025-10-09,20,net demand for forecast,80845182|A888|C816|2025-10-09|net demand for forecast|000936
80845182,A888,C816,2025-10-09,20,net demand for forecast,80845182|A888|C816|2025-10-09|net demand for forecast|000937
80845182,A888,C816,2025-10-09,20,net demand for forecast,80845182|A888|C816|2025-10-09|net demand for forecast|000938
80845182,A888,C816,2025-10-09,20,net demand for forecast,80845182|A888|C816|2025-10-09|net demand for forecast|000939
80845182,A888,C816,2025-10-09,20,net demand for forecast,80845182|A888|C816|2025-10-09|net demand for forecast|000940
80845182,A888,C816,2025-10-09,20,net demand for forecast,80845182|A888|C816|2025-10-09|net demand for forecast|000941
80845182,A888,C816,2025-10-09,20,net demand for forecast,80845182|A888|C816|2025-10-09|net demand for forecast|000942
80845182,A888,C816,2025-10-09,25,net demand for forecast,80845182|A888|C816|2025-10-09|net demand for forecast|000943
80845182,A888,C816,2025-10-09,26,net demand for forecast,80845182|A888|C816|2025-10-09|net demand for forecast|000944
80845182,A888,C816,2025-10-09,26,net demand for forecast,80845182|A888|C816|2025-10-09|net demand for forecast|000945
80845182,A888,C816,2025-10-09,29,net demand for forecast,80845182|A888|C816|2025-10-09|net demand for forecast|000946
80845182,A888,C816,2025-10-09,29,net demand for forecast,80845182|A888|C816|2025-10-09|net demand for forecast|000947
80845182,A888,C816,2025-10-09,29,net demand for forecast,80845182|A888|C816|2025-10-09|net demand for forecast|000948
80845182,A888,C816,2025-10-09,29,net demand for forecast,80845182|A888|C816|2025-10-09|net demand for forecast|000949
80845182,A888,C816,2025-10-09,29,net demand for forecast,80845182|A888|C816|2025-10-09|net demand for forecast|000950
80845182,A888,C816,2025-10-09,29,net demand for forecast,80845182|A888|C816|2025-10-09|net demand for forecast|000951
80845182,A888,C816,2025-10-09,29,net demand for forecast,80845182|A888|C816|2025-10-09|net demand for forecast|000952
80845182,A888,C816,2025-10-09,47,net demand for forecast,80845182|A888|C816|2025-10-09|net demand for forecast|000953
80845182,A888,C816,2025-10-09,47,net demand for forecast,80845182|A888|C816|2025-10-09|net demand for forecast|000954
80845182,A888,C816,2025-10-09,47,net demand for forecast,80845182|A888|C816|2025-10-09|net demand for forecast|000955
80845182,A888,C816,2025-10-09,47,net demand for forecast,80845182|A888|C816|2025-10-09|net demand for forecast|000956
80845182,A888,C816,2025-10-09,47,net demand for forecast,80845182|A888|C816|2025-10-09|net demand for forecast|000957
80845182,A888,C816,2025-10-09,47,net demand for forecast,80845182|A888|C816|2025-10-09|net demand for forecast|000958
80845182,A888,C816,2025-10-09,47,net demand for forecast,80845182|A888|C816|2025-10-09|net demand for forecast|000959
80845182,A888,C816,2025-10-09,59,net demand for forecast,80845182|A888|C816|2025-10-09|net demand for forecast|000960
80845182,A888,C816,2025-10-09,59,net demand for forecast,80845182|A888|C816|2025-10-09|net demand for forecast|000961
80845182,A888,C816,2025-10-09,60,net demand for forecast,80845182|A888|C816|2025-10-09|net demand for forecast|000962
80845182,A888,C816,2025-10-09,73,net demand for forecast,80845182|A888|C816|2025-10-09|net demand for forecast|000963
80845182,A888,C816,2025-10-09,79,net demand for forecast,80845182|A888|C816|2025-10-09|net demand for forecast|000964
80845182,A888,C816,2025-10-09,79,net demand for forecast,80845182|A888|C816|2025-10-09|net demand for forecast|000965
80845182,A888,C816,2025-10-09,79,net demand for forecast,80845182|A888|C816|2025-10-09|net demand for forecast|000966
80845182,A888,C816,2025-10-09,79,net demand for forecast,80845182|A888|C816|2025-10-09|net demand for forecast|000967
80845182,A888,C816,2025-10-09,79,net demand for forecast,80845182|A888|C816|2025-10-09|net demand for forecast|000968
80845182,A888,C816,2025-10-09,79,net demand for forecast,80845182|A888|C816|2025-10-09|net demand for forecast|000969
80845182,A888,D191,2025-10-09,2,net demand for AO,80845182|A888|D191|2025-10-09|net demand for AO|000970
80845182,A888,D191,2025-10-09,2,net demand for AO,80845182|A888|D191|2025-10-09|net demand for AO|000971
