timestamp,date,event_type,message
2026-01-19T13:09:00.741421,2025-10-06,INIT_INVENTORY,Initialized 515 inventory records
2026-01-19T13:09:00.745221,2025-10-06,OPEN_DEPLOYMENT_CLEANUP,Removed 0 past-due open deployments (grace_days=100)
2026-01-19T13:09:12.317849,2025-10-06,M1_SHIPMENTS,Processed 282 shipments
2026-01-19T13:09:59.623422,2025-10-06,M5_DEPLOYMENT,Added 64 deployment plans
2026-01-19T13:10:17.205565,2025-10-06,OPEN_DEPLOYMENT_CLEANUP,Removed 0 past-due open deployments (grace_days=100)
2026-01-19T13:10:28.892963,2025-10-06,M1_SHIPMENTS,Processed 282 shipments
2026-01-19T13:11:15.359877,2025-10-06,M5_DEPLOYMENT,Added 102 deployment plans
2026-01-19T13:11:15.640149,2025-10-06,M6_DELIVERY,Processed 103 delivery plans
