date,material,location,beginning_inventory,production_gr,delivery_gr,shipment,delivery_ship,ending_inventory,calculated_ending,balance_diff
2025-10-07,80845590,C816,531,0,0,90,0.0,441,441.0,0.0
2025-10-07,80842337,A668,554,0,0,0,0.0,554,554.0,0.0
2025-10-07,80880374,C816,3238,0,0,4,0.0,3234,3234.0,0.0
2025-10-07,80858064,A680,559,0,0,0,0.0,559,559.0,0.0
2025-10-07,8084233901,A680,811,0,0,0,0.0,811,811.0,0.0
2025-10-07,8084234201,E295,142,0,0,10,0.0,132,132.0,0.0
2025-10-07,80843403,C816,2301,0,0,63,0.0,2238,2238.0,0.0
2025-10-07,80799647,A680,529,0,0,0,0.0,529,529.0,0.0
2025-10-07,80845592,A680,501,0,0,0,0.0,501,501.0,0.0
2025-10-07,8084340301,C563,120,0,0,0,0.0,120,120.0,0.0
2025-10-07,80842338,A680,422,0,0,0,0.0,422,422.0,0.0
2025-10-07,8084232501,A680,3267,0,0,0,0.0,3267,3267.0,0.0
2025-10-07,80843403,D191,124,0,0,0,0.0,124,124.0,0.0
2025-10-07,80784370,D767,41,0,0,12,0.0,29,29.0,0.0
2025-10-07,80804077,A680,2510,0,0,0,0.0,2510,2510.0,0.0
2025-10-07,80786340,A680,1548,0,0,0,0.0,1548,1548.0,0.0
2025-10-07,80842339,A668,575,0,0,37,0.0,538,538.0,0.0
2025-10-07,8085806701,C816,2437,0,0,44,0.0,2393,2393.0,0.0
2025-10-07,8084234201,A668,13,0,0,13,0.0,0,0.0,0.0
2025-10-07,80842342,C563,80,0,0,7,0.0,73,73.0,0.0
2025-10-07,80786340,E467,136,0,0,4,0.0,132,132.0,0.0
2025-10-07,8078436901,A680,298,0,0,0,0.0,298,298.0,0.0
2025-10-07,80784368,A668,5243,0,0,558,0.0,4685,4685.0,0.0
2025-10-07,80784366,D191,882,0,0,0,0.0,882,882.0,0.0
2025-10-07,8080407701,A680,2510,0,0,0,0.0,2510,2510.0,0.0
2025-10-07,80842337,D191,739,0,0,49,0.0,690,690.0,0.0
2025-10-07,8084340301,C816,2278,0,0,86,0.0,2192,2192.0,0.0
2025-10-07,80842340,C816,6593,0,0,135,1.0,6457,6457.0,0.0
2025-10-07,8084233901,D767,44,0,0,9,0.0,35,35.0,0.0
2025-10-07,8079964701,C816,1558,0,0,117,5.0,1436,1436.0,0.0
2025-10-07,80858076,A668,4022,0,0,148,0.0,3874,3874.0,0.0
2025-10-07,80845184,A680,1562,0,0,71,0.0,1491,1491.0,0.0
2025-10-07,80799647,D767,29,0,0,18,0.0,11,11.0,0.0
2025-10-07,80842342,C816,528,0,0,78,0.0,450,450.0,0.0
2025-10-07,80842338,D767,67,0,0,11,0.0,56,56.0,0.0
2025-10-07,8085806701,A680,941,0,0,0,0.0,941,941.0,0.0
2025-10-07,80842334,C816,10069,0,0,416,51.0,9602,9602.0,0.0
2025-10-07,80804077,D767,74,0,0,6,0.0,68,68.0,0.0
2025-10-07,80784376,C563,356,0,0,18,0.0,338,338.0,0.0
2025-10-07,80786340,D767,148,0,0,148,0.0,0,0.0,0.0
2025-10-07,80842334,D191,129,0,0,5,0.0,124,124.0,0.0
2025-10-07,80842339,D191,26,0,0,0,0.0,26,26.0,0.0
2025-10-07,8084340301,A680,1982,0,0,0,0.0,1982,1982.0,0.0
2025-10-07,8084234201,D191,351,0,0,17,0.0,334,334.0,0.0
2025-10-07,80784368,C816,12267,0,0,0,232.0,12035,12035.0,0.0
2025-10-07,8079964701,A680,529,0,0,0,0.0,529,529.0,0.0
2025-10-07,8080407701,D767,77,0,0,3,0.0,74,74.0,0.0
2025-10-07,80784368,D191,2,0,0,0,0.0,2,2.0,0.0
2025-10-07,80845184,D767,222,0,0,20,0.0,202,202.0,0.0
2025-10-07,80784376,C816,5217,0,0,63,1736.0,3418,3418.0,0.0
2025-10-07,80784370,C563,336,0,0,10,0.0,326,326.0,0.0
2025-10-07,80858064,A668,717,0,0,9,0.0,708,708.0,0.0
2025-10-07,80786340,E295,306,0,0,42,0.0,264,264.0,0.0
2025-10-07,8084233901,A668,568,0,0,44,0.0,524,524.0,0.0
2025-10-07,80858069,C816,4088,0,0,199,0.0,3889,3889.0,0.0
2025-10-07,80858067,A668,804,0,0,21,0.0,783,783.0,0.0
2025-10-07,80845592,A668,591,0,0,32,0.0,559,559.0,0.0
2025-10-07,8084340301,D767,119,0,0,0,0.0,119,119.0,0.0
2025-10-07,80784370,C816,6073,0,0,98,112.0,5863,5863.0,0.0
2025-10-07,80786340,A668,417,0,0,97,0.0,320,320.0,0.0
2025-10-07,8079964701,D767,23,0,0,23,0.0,0,0.0,0.0
2025-10-07,80880374,A668,1737,0,0,6,0.0,1731,1731.0,0.0
2025-10-07,80784376,A680,1263,0,0,0,0.0,1263,1263.0,0.0
2025-10-07,80843405,A680,673,0,0,142,0.0,531,531.0,0.0
2025-10-07,8084232501,C563,112,0,0,18,0.0,94,94.0,0.0
2025-10-07,80799646,A680,2990,0,0,0,0.0,2990,2990.0,0.0
2025-10-07,80880379,A680,1470,0,0,0,0.0,1470,1470.0,0.0
2025-10-07,80804077,C563,3,0,0,0,0.0,3,3.0,0.0
2025-10-07,80842325,A680,3267,0,0,0,0.0,3267,3267.0,0.0
