date,material,receiving,quantity,ori_deployment_uid,vehicle_uid,actual_ship_date
2025-12-21,21357021,C816,30,21357021|0386|C816|2025-12-19|net demand for normal|000573,20251219-0386-C816-LARGE-#1,2025-12-19
2025-12-21,21301637,C816,27,21301637|0386|C816|2025-12-19|net demand for forecast|000435,20251219-0386-C816-LARGE-#1,2025-12-19
2025-12-21,21301637,C816,27,21301637|0386|C816|2025-12-19|net demand for forecast|000440,20251219-0386-C816-LARGE-#1,2025-12-19
2025-12-21,21357021,C816,18,21357021|0386|C816|2025-12-19|net demand for forecast|000566,20251219-0386-C816-LARGE-#1,2025-12-19
2025-12-21,21357021,C816,19,21357021|0386|C816|2025-12-19|net demand for forecast|000570,20251219-0386-C816-LARGE-#1,2025-12-19
2025-12-21,21376841,C816,28,21376841|0386|C816|2025-12-19|net demand for forecast|000654,20251219-0386-C816-LARGE-#1,2025-12-19
2025-12-21,21416910,C816,27,21416910|0386|C816|2025-12-19|net demand for forecast|000708,20251219-0386-C816-LARGE-#1,2025-12-19
2025-12-21,21416910,C816,94,21416910|0386|C816|2025-12-19|net demand for forecast|000711,20251219-0386-C816-LARGE-#1,2025-12-19
2025-12-21,21301637,C816,1,21301637|0386|C816|2025-12-19|net demand for net demand for forecast|000449,20251219-0386-C816-LARGE-#1,2025-12-19
2025-12-21,21301637,C816,1,21301637|0386|C816|2025-12-19|net demand for net demand for forecast|000450,20251219-0386-C816-LARGE-#1,2025-12-19
2025-12-21,21301637,C816,134,21301637|0386|C816|2025-12-19|net demand for safety|000458,20251219-0386-C816-LARGE-#1,2025-12-19
2025-12-21,21301637,C816,3,21301637|0386|C816|2025-12-19|net demand for net demand for safety|000456,20251219-0386-C816-LARGE-#1,2025-12-19
2025-12-21,21366842,C816,15,21366842|0386|C816|2025-12-20|net demand for normal|000941,20251220-0386-C816-LARGE-#1,2025-12-20
2025-12-21,21128067,C816,18,21128067|0386|C816|2025-12-20|net demand for forecast|000769,20251220-0386-C816-LARGE-#1,2025-12-20
2025-12-21,21128067,C816,18,21128067|0386|C816|2025-12-20|net demand for forecast|000770,20251220-0386-C816-LARGE-#1,2025-12-20
2025-12-21,21128067,C816,18,21128067|0386|C816|2025-12-20|net demand for forecast|000771,20251220-0386-C816-LARGE-#1,2025-12-20
2025-12-21,21128067,C816,18,21128067|0386|C816|2025-12-20|net demand for forecast|000773,20251220-0386-C816-LARGE-#1,2025-12-20
2025-12-21,21128067,C816,28,21128067|0386|C816|2025-12-20|net demand for forecast|000774,20251220-0386-C816-LARGE-#1,2025-12-20
