material,sending,receiving,planned_deployment_date,deployed_qty,demand_element,ori_deployment_uid
80804127,A673,E564,2026-01-18,1,net demand for forecast,80804127|A673|E564|2026-01-18|net demand for forecast|032892
80804127,A673,E564,2026-01-18,1,net demand for forecast,80804127|A673|E564|2026-01-18|net demand for forecast|032893
80804127,A673,E564,2026-01-18,1,net demand for normal,80804127|A673|E564|2026-01-18|net demand for normal|032894
21113405,C816,D767,2026-01-19,1,net demand for forecast,21113405|C816|D767|2026-01-19|net demand for forecast|033900
21113405,C816,D767,2026-01-19,1,net demand for forecast,21113405|C816|D767|2026-01-19|net demand for forecast|033901
21113405,C816,D767,2026-01-19,1,net demand for forecast,21113405|C816|D767|2026-01-19|net demand for forecast|033902
21113405,C816,D767,2026-01-19,1,net demand for forecast,21113405|C816|D767|2026-01-19|net demand for forecast|033903
21113405,C816,D767,2026-01-19,1,net demand for normal,21113405|C816|D767|2026-01-19|net demand for normal|033904
21113405,C816,D767,2026-01-19,1,net demand for safety,21113405|C816|D767|2026-01-19|net demand for safety|033905
21179704,C816,D767,2026-01-19,1,net demand for safety,21179704|C816|D767|2026-01-19|net demand for safety|034005
80812103,A673,E564,2026-01-19,1,net demand for forecast,80812103|A673|E564|2026-01-19|net demand for forecast|034798
80812103,A673,E564,2026-01-19,1,net demand for forecast,80812103|A673|E564|2026-01-19|net demand for forecast|034799
80812103,A673,E564,2026-01-19,1,net demand for forecast,80812103|A673|E564|2026-01-19|net demand for forecast|034800
80812103,A673,E564,2026-01-19,1,net demand for forecast,80812103|A673|E564|2026-01-19|net demand for forecast|034801
80812103,A673,E564,2026-01-19,1,net demand for forecast,80812103|A673|E564|2026-01-19|net demand for forecast|034802
80812103,A673,E564,2026-01-19,1,net demand for forecast,80812103|A673|E564|2026-01-19|net demand for forecast|034803
80812103,A673,E564,2026-01-19,1,net demand for forecast,80812103|A673|E564|2026-01-19|net demand for forecast|034804
80840976,C816,D767,2026-01-19,1,net demand for forecast,80840976|C816|D767|2026-01-19|net demand for forecast|034850
80840976,C816,D767,2026-01-19,1,net demand for forecast,80840976|C816|D767|2026-01-19|net demand for forecast|034851
80840976,C816,D767,2026-01-19,1,net demand for forecast,80840976|C816|D767|2026-01-19|net demand for forecast|034852
80840976,C816,D767,2026-01-19,1,net demand for forecast,80840976|C816|D767|2026-01-19|net demand for forecast|034853
80840976,C816,D767,2026-01-19,3,net demand for safety,80840976|C816|D767|2026-01-19|net demand for safety|034854
21121756,A673,E564,2026-01-20,1,net demand for forecast,21121756|A673|E564|2026-01-20|net demand for forecast|034973
21121756,A673,E564,2026-01-20,1,net demand for forecast,21121756|A673|E564|2026-01-20|net demand for forecast|034974
21121756,A673,E564,2026-01-20,1,net demand for forecast,21121756|A673|E564|2026-01-20|net demand for forecast|034975
21121756,A673,E564,2026-01-20,1,net demand for forecast,21121756|A673|E564|2026-01-20|net demand for forecast|034976
21121756,A673,E564,2026-01-20,1,net demand for forecast,21121756|A673|E564|2026-01-20|net demand for forecast|034977
21121756,A673,E564,2026-01-20,1,net demand for forecast,21121756|A673|E564|2026-01-20|net demand for forecast|034978
