date,material,sending,receiving,quantity,ori_deployment_uid,actual_ship_date,actual_delivery_date,type
2025-12-22,21419490,0386,C816,397,21419490|0386|C816|2025-12-22|net demand for net demand for normal|002298,2025-12-22,2025-12-23,delivery_shipment
2025-12-22,21419490,0386,C816,421,21419490|0386|C816|2025-12-22|net demand for net demand for normal|002299,2025-12-22,2025-12-23,delivery_shipment
2025-12-22,21139445,0386,C816,6,21139445|0386|C816|2025-12-22|net demand for net demand for net demand for normal|001718,2025-12-22,2025-12-23,delivery_shipment
2025-12-22,21139445,0386,C816,11,21139445|0386|C816|2025-12-22|net demand for forecast|001681,2025-12-22,2025-12-23,delivery_shipment
2025-12-22,21139445,0386,C816,23,21139445|0386|C816|2025-12-22|net demand for forecast|001682,2025-12-22,2025-12-23,delivery_shipment
2025-12-22,21139445,0386,C816,23,21139445|0386|C816|2025-12-22|net demand for forecast|001683,2025-12-22,2025-12-23,delivery_shipment
2025-12-22,21139445,0386,C816,23,21139445|0386|C816|2025-12-22|net demand for forecast|001684,2025-12-22,2025-12-24,delivery_shipment
2025-12-22,21139445,0386,C816,24,21139445|0386|C816|2025-12-22|net demand for forecast|001685,2025-12-22,2025-12-24,delivery_shipment
2025-12-22,21139445,0386,C816,24,21139445|0386|C816|2025-12-22|net demand for forecast|001686,2025-12-22,2025-12-23,delivery_shipment
2025-12-22,21139445,0386,C816,24,21139445|0386|C816|2025-12-22|net demand for forecast|001687,2025-12-22,2025-12-23,delivery_shipment
2025-12-22,21143110,0386,C816,2,21143110|0386|C816|2025-12-22|net demand for forecast|001849,2025-12-22,2025-12-23,delivery_shipment
2025-12-22,21143110,0386,C816,3,21143110|0386|C816|2025-12-22|net demand for forecast|001850,2025-12-22,2025-12-23,delivery_shipment
2025-12-22,21143110,0386,C816,3,21143110|0386|C816|2025-12-22|net demand for forecast|001851,2025-12-22,2025-12-23,delivery_shipment
2025-12-22,21143110,0386,C816,3,21143110|0386|C816|2025-12-22|net demand for forecast|001852,2025-12-22,2025-12-23,delivery_shipment
2025-12-22,21143110,0386,C816,3,21143110|0386|C816|2025-12-22|net demand for forecast|001853,2025-12-22,2025-12-24,delivery_shipment
2025-12-22,21143110,0386,C816,3,21143110|0386|C816|2025-12-22|net demand for forecast|001854,2025-12-22,2025-12-23,delivery_shipment
2025-12-22,21143110,0386,C816,3,21143110|0386|C816|2025-12-22|net demand for forecast|001855,2025-12-22,2025-12-24,delivery_shipment
2025-12-22,21165868,0386,C816,2,21165868|0386|C816|2025-12-22|net demand for forecast|001897,2025-12-22,2025-12-23,delivery_shipment
2025-12-22,21165868,0386,C816,3,21165868|0386|C816|2025-12-22|net demand for forecast|001898,2025-12-22,2025-12-23,delivery_shipment
2025-12-22,21165868,0386,C816,3,21165868|0386|C816|2025-12-22|net demand for forecast|001899,2025-12-22,2025-12-23,delivery_shipment
2025-12-22,21165868,0386,C816,3,21165868|0386|C816|2025-12-22|net demand for forecast|001900,2025-12-22,2025-12-24,delivery_shipment
2025-12-22,21165868,0386,C816,3,21165868|0386|C816|2025-12-22|net demand for forecast|001901,2025-12-22,2025-12-23,delivery_shipment
2025-12-22,21165868,0386,C816,4,21165868|0386|C816|2025-12-22|net demand for forecast|001902,2025-12-22,2025-12-23,delivery_shipment
2025-12-22,21165868,0386,C816,4,21165868|0386|C816|2025-12-22|net demand for forecast|001903,2025-12-22,2025-12-23,delivery_shipment
2025-12-22,21307836,0386,C816,5,21307836|0386|C816|2025-12-22|net demand for forecast|002086,2025-12-22,2025-12-23,delivery_shipment
2025-12-22,21307836,0386,C816,9,21307836|0386|C816|2025-12-22|net demand for forecast|002087,2025-12-22,2025-12-23,delivery_shipment
2025-12-22,21307836,0386,C816,9,21307836|0386|C816|2025-12-22|net demand for forecast|002088,2025-12-22,2025-12-24,delivery_shipment
2025-12-22,21307836,0386,C816,10,21307836|0386|C816|2025-12-22|net demand for forecast|002089,2025-12-22,2025-12-23,delivery_shipment
2025-12-22,21307836,0386,C816,10,21307836|0386|C816|2025-12-22|net demand for forecast|002090,2025-12-22,2025-12-23,delivery_shipment
2025-12-22,21307836,0386,C816,10,21307836|0386|C816|2025-12-22|net demand for forecast|002091,2025-12-22,2025-12-23,delivery_shipment
2025-12-22,21307836,0386,C816,10,21307836|0386|C816|2025-12-22|net demand for forecast|002092,2025-12-22,2025-12-24,delivery_shipment
2025-12-22,21377091,0386,C816,5,21377091|0386|C816|2025-12-22|net demand for forecast|002218,2025-12-22,2025-12-23,delivery_shipment
2025-12-22,21377091,0386,C816,12,21377091|0386|C816|2025-12-22|net demand for forecast|002219,2025-12-22,2025-12-23,delivery_shipment
2025-12-22,21377091,0386,C816,12,21377091|0386|C816|2025-12-22|net demand for forecast|002220,2025-12-22,2025-12-23,delivery_shipment
2025-12-22,21377091,0386,C816,13,21377091|0386|C816|2025-12-22|net demand for forecast|002221,2025-12-22,2025-12-23,delivery_shipment
2025-12-22,21377091,0386,C816,13,21377091|0386|C816|2025-12-22|net demand for forecast|002222,2025-12-22,2025-12-23,delivery_shipment
2025-12-22,21377091,0386,C816,13,21377091|0386|C816|2025-12-22|net demand for forecast|002223,2025-12-22,2025-12-23,delivery_shipment
2025-12-22,21377091,0386,C816,13,21377091|0386|C816|2025-12-22|net demand for forecast|002224,2025-12-22,2025-12-23,delivery_shipment
2025-12-22,21419490,0386,C816,21,21419490|0386|C816|2025-12-22|net demand for forecast|002263,2025-12-22,2025-12-23,delivery_shipment
2025-12-22,21419490,0386,C816,143,21419490|0386|C816|2025-12-22|net demand for forecast|002264,2025-12-22,2025-12-24,delivery_shipment
2025-12-22,21419490,0386,C816,143,21419490|0386|C816|2025-12-22|net demand for forecast|002265,2025-12-22,2025-12-24,delivery_shipment
2025-12-22,21419490,0386,C816,144,21419490|0386|C816|2025-12-22|net demand for forecast|002266,2025-12-22,2025-12-23,delivery_shipment
2025-12-22,21419490,0386,C816,144,21419490|0386|C816|2025-12-22|net demand for forecast|002267,2025-12-22,2025-12-23,delivery_shipment
2025-12-22,21419490,0386,C816,144,21419490|0386|C816|2025-12-22|net demand for forecast|002268,2025-12-22,2025-12-24,delivery_shipment
2025-12-22,21419490,0386,C816,144,21419490|0386|C816|2025-12-22|net demand for forecast|002269,2025-12-22,2025-12-23,delivery_shipment
2025-12-22,21139445,0386,C816,5,21139445|0386|C816|2025-12-22|net demand for net demand for forecast|001688,2025-12-22,2025-12-23,delivery_shipment
2025-12-22,21139445,0386,C816,10,21139445|0386|C816|2025-12-22|net demand for net demand for forecast|001689,2025-12-22,2025-12-23,delivery_shipment
2025-12-22,21139445,0386,C816,10,21139445|0386|C816|2025-12-22|net demand for net demand for forecast|001690,2025-12-22,2025-12-23,delivery_shipment
2025-12-22,21139445,0386,C816,10,21139445|0386|C816|2025-12-22|net demand for net demand for forecast|001691,2025-12-22,2025-12-24,delivery_shipment
2025-12-22,21139445,0386,C816,10,21139445|0386|C816|2025-12-22|net demand for net demand for forecast|001692,2025-12-22,2025-12-23,delivery_shipment
2025-12-22,21139445,0386,C816,10,21139445|0386|C816|2025-12-22|net demand for net demand for forecast|001693,2025-12-22,2025-12-23,delivery_shipment
2025-12-22,21139445,0386,C816,10,21139445|0386|C816|2025-12-22|net demand for net demand for forecast|001694,2025-12-22,2025-12-23,delivery_shipment
2025-12-22,21139445,0386,C816,10,21139445|0386|C816|2025-12-22|net demand for net demand for forecast|001695,2025-12-22,2025-12-23,delivery_shipment
2025-12-22,21139445,0386,C816,10,21139445|0386|C816|2025-12-22|net demand for net demand for forecast|001696,2025-12-22,2025-12-23,delivery_shipment
2025-12-22,21139445,0386,C816,10,21139445|0386|C816|2025-12-22|net demand for net demand for forecast|001697,2025-12-22,2025-12-23,delivery_shipment
2025-12-22,21139445,0386,C816,10,21139445|0386|C816|2025-12-22|net demand for net demand for forecast|001698,2025-12-22,2025-12-23,delivery_shipment
2025-12-22,21139445,0386,C816,10,21139445|0386|C816|2025-12-22|net demand for net demand for forecast|001699,2025-12-22,2025-12-23,delivery_shipment
2025-12-22,21139445,0386,C816,10,21139445|0386|C816|2025-12-22|net demand for net demand for forecast|001700,2025-12-22,2025-12-23,delivery_shipment
2025-12-22,21139445,0386,C816,12,21139445|0386|C816|2025-12-22|net demand for net demand for forecast|001701,2025-12-22,2025-12-23,delivery_shipment
2025-12-22,21139445,0386,C816,24,21139445|0386|C816|2025-12-22|net demand for net demand for forecast|001702,2025-12-22,2025-12-23,delivery_shipment
2025-12-22,21139445,0386,C816,25,21139445|0386|C816|2025-12-22|net demand for net demand for forecast|001703,2025-12-22,2025-12-23,delivery_shipment
2025-12-22,21139445,0386,C816,25,21139445|0386|C816|2025-12-22|net demand for net demand for forecast|001704,2025-12-22,2025-12-23,delivery_shipment
2025-12-22,21139445,0386,C816,25,21139445|0386|C816|2025-12-22|net demand for net demand for forecast|001705,2025-12-22,2025-12-23,delivery_shipment
2025-12-22,21139445,0386,C816,25,21139445|0386|C816|2025-12-22|net demand for net demand for forecast|001706,2025-12-22,2025-12-23,delivery_shipment
2025-12-22,21139445,0386,C816,25,21139445|0386|C816|2025-12-22|net demand for net demand for forecast|001707,2025-12-22,2025-12-23,delivery_shipment
2025-12-22,21139445,0386,C816,31,21139445|0386|C816|2025-12-22|net demand for net demand for forecast|001708,2025-12-22,2025-12-23,delivery_shipment
2025-12-22,21139445,0386,C816,31,21139445|0386|C816|2025-12-22|net demand for net demand for forecast|001709,2025-12-22,2025-12-23,delivery_shipment
2025-12-22,21139445,0386,C816,32,21139445|0386|C816|2025-12-22|net demand for net demand for forecast|001710,2025-12-22,2025-12-23,delivery_shipment
2025-12-22,21139445,0386,C816,32,21139445|0386|C816|2025-12-22|net demand for net demand for forecast|001711,2025-12-22,2025-12-23,delivery_shipment
2025-12-22,21139445,0386,C816,32,21139445|0386|C816|2025-12-22|net demand for net demand for forecast|001712,2025-12-22,2025-12-23,delivery_shipment
2025-12-22,21139445,0386,C816,32,21139445|0386|C816|2025-12-22|net demand for net demand for forecast|001713,2025-12-22,2025-12-23,delivery_shipment
2025-12-22,21307836,0386,C816,3,21307836|0386|C816|2025-12-22|net demand for net demand for forecast|002093,2025-12-22,2025-12-23,delivery_shipment
2025-12-22,21307836,0386,C816,4,21307836|0386|C816|2025-12-22|net demand for net demand for forecast|002094,2025-12-22,2025-12-23,delivery_shipment
2025-12-22,21307836,0386,C816,4,21307836|0386|C816|2025-12-22|net demand for net demand for forecast|002095,2025-12-22,2025-12-23,delivery_shipment
2025-12-22,21307836,0386,C816,4,21307836|0386|C816|2025-12-22|net demand for net demand for forecast|002096,2025-12-22,2025-12-23,delivery_shipment
2025-12-22,21307836,0386,C816,4,21307836|0386|C816|2025-12-22|net demand for net demand for forecast|002097,2025-12-22,2025-12-23,delivery_shipment
2025-12-22,21307836,0386,C816,4,21307836|0386|C816|2025-12-22|net demand for net demand for forecast|002098,2025-12-22,2025-12-24,delivery_shipment
2025-12-22,21307836,0386,C816,4,21307836|0386|C816|2025-12-22|net demand for net demand for forecast|002099,2025-12-22,2025-12-23,delivery_shipment
2025-12-22,21307836,0386,C816,4,21307836|0386|C816|2025-12-22|net demand for net demand for forecast|002100,2025-12-22,2025-12-23,delivery_shipment
2025-12-22,21307836,0386,C816,5,21307836|0386|C816|2025-12-22|net demand for net demand for forecast|002101,2025-12-22,2025-12-23,delivery_shipment
2025-12-22,21307836,0386,C816,5,21307836|0386|C816|2025-12-22|net demand for net demand for forecast|002102,2025-12-22,2025-12-23,delivery_shipment
2025-12-22,21307836,0386,C816,5,21307836|0386|C816|2025-12-22|net demand for net demand for forecast|002103,2025-12-22,2025-12-23,delivery_shipment
2025-12-22,21307836,0386,C816,5,21307836|0386|C816|2025-12-22|net demand for net demand for forecast|002104,2025-12-22,2025-12-23,delivery_shipment
2025-12-22,21307836,0386,C816,5,21307836|0386|C816|2025-12-22|net demand for net demand for forecast|002105,2025-12-22,2025-12-24,delivery_shipment
2025-12-22,21307836,0386,C816,6,21307836|0386|C816|2025-12-22|net demand for net demand for forecast|002106,2025-12-22,2025-12-23,delivery_shipment
2025-12-22,21307836,0386,C816,10,21307836|0386|C816|2025-12-22|net demand for net demand for forecast|002107,2025-12-22,2025-12-24,delivery_shipment
2025-12-22,21307836,0386,C816,10,21307836|0386|C816|2025-12-22|net demand for net demand for forecast|002108,2025-12-22,2025-12-23,delivery_shipment
2025-12-22,21307836,0386,C816,10,21307836|0386|C816|2025-12-22|net demand for net demand for forecast|002109,2025-12-22,2025-12-23,delivery_shipment
2025-12-22,21307836,0386,C816,10,21307836|0386|C816|2025-12-22|net demand for net demand for forecast|002110,2025-12-22,2025-12-23,delivery_shipment
2025-12-22,21307836,0386,C816,11,21307836|0386|C816|2025-12-22|net demand for net demand for forecast|002111,2025-12-22,2025-12-24,delivery_shipment
2025-12-22,21307836,0386,C816,11,21307836|0386|C816|2025-12-22|net demand for net demand for forecast|002112,2025-12-22,2025-12-23,delivery_shipment
2025-12-22,21307836,0386,C816,16,21307836|0386|C816|2025-12-22|net demand for net demand for forecast|002113,2025-12-22,2025-12-23,delivery_shipment
2025-12-22,21307836,0386,C816,16,21307836|0386|C816|2025-12-22|net demand for net demand for forecast|002114,2025-12-22,2025-12-23,delivery_shipment
2025-12-22,21307836,0386,C816,16,21307836|0386|C816|2025-12-22|net demand for net demand for forecast|002115,2025-12-22,2025-12-23,delivery_shipment
2025-12-22,21307836,0386,C816,16,21307836|0386|C816|2025-12-22|net demand for net demand for forecast|002116,2025-12-22,2025-12-23,delivery_shipment
2025-12-22,21307836,0386,C816,16,21307836|0386|C816|2025-12-22|net demand for net demand for forecast|002117,2025-12-22,2025-12-23,delivery_shipment
2025-12-22,21307836,0386,C816,17,21307836|0386|C816|2025-12-22|net demand for net demand for forecast|002118,2025-12-22,2025-12-23,delivery_shipment
2025-12-22,21419490,0386,C816,17,21419490|0386|C816|2025-12-22|net demand for net demand for forecast|002270,2025-12-22,2025-12-23,delivery_shipment
2025-12-22,21419490,0386,C816,30,21419490|0386|C816|2025-12-22|net demand for net demand for forecast|002271,2025-12-22,2025-12-23,delivery_shipment
2025-12-22,21419490,0386,C816,34,21419490|0386|C816|2025-12-22|net demand for net demand for forecast|002272,2025-12-22,2025-12-23,delivery_shipment
2025-12-22,21419490,0386,C816,43,21419490|0386|C816|2025-12-22|net demand for net demand for forecast|002273,2025-12-22,2025-12-23,delivery_shipment
2025-12-22,21419490,0386,C816,106,21419490|0386|C816|2025-12-22|net demand for net demand for forecast|002274,2025-12-22,2025-12-23,delivery_shipment
2025-12-22,21419490,0386,C816,106,21419490|0386|C816|2025-12-22|net demand for net demand for forecast|002275,2025-12-22,2025-12-23,delivery_shipment
2025-12-22,21419490,0386,C816,106,21419490|0386|C816|2025-12-22|net demand for net demand for forecast|002276,2025-12-22,2025-12-23,delivery_shipment
2025-12-22,21419490,0386,C816,106,21419490|0386|C816|2025-12-22|net demand for net demand for forecast|002277,2025-12-22,2025-12-23,delivery_shipment
2025-12-22,21419490,0386,C816,107,21419490|0386|C816|2025-12-22|net demand for net demand for forecast|002278,2025-12-22,2025-12-23,delivery_shipment
2025-12-22,21419490,0386,C816,107,21419490|0386|C816|2025-12-22|net demand for net demand for forecast|002279,2025-12-22,2025-12-23,delivery_shipment
2025-12-22,21419490,0386,C816,110,21419490|0386|C816|2025-12-22|net demand for net demand for forecast|002280,2025-12-22,2025-12-23,delivery_shipment
2025-12-22,21419490,0386,C816,111,21419490|0386|C816|2025-12-22|net demand for net demand for forecast|002281,2025-12-22,2025-12-23,delivery_shipment
2025-12-22,21419490,0386,C816,111,21419490|0386|C816|2025-12-22|net demand for net demand for forecast|002282,2025-12-22,2025-12-23,delivery_shipment
2025-12-22,21419490,0386,C816,111,21419490|0386|C816|2025-12-22|net demand for net demand for forecast|002283,2025-12-22,2025-12-23,delivery_shipment
2025-12-22,21419490,0386,C816,111,21419490|0386|C816|2025-12-22|net demand for net demand for forecast|002284,2025-12-22,2025-12-23,delivery_shipment
2025-12-22,21419490,0386,C816,111,21419490|0386|C816|2025-12-22|net demand for net demand for forecast|002285,2025-12-22,2025-12-23,delivery_shipment
2025-12-22,21419490,0386,C816,199,21419490|0386|C816|2025-12-22|net demand for net demand for forecast|002286,2025-12-22,2025-12-23,delivery_shipment
2025-12-22,21419490,0386,C816,199,21419490|0386|C816|2025-12-22|net demand for net demand for forecast|002287,2025-12-22,2025-12-23,delivery_shipment
2025-12-22,21419490,0386,C816,199,21419490|0386|C816|2025-12-22|net demand for net demand for forecast|002288,2025-12-22,2025-12-23,delivery_shipment
2025-12-22,21419490,0386,C816,200,21419490|0386|C816|2025-12-22|net demand for net demand for forecast|002289,2025-12-22,2025-12-23,delivery_shipment
2025-12-22,21419490,0386,C816,200,21419490|0386|C816|2025-12-22|net demand for net demand for forecast|002290,2025-12-22,2025-12-23,delivery_shipment
2025-12-22,21419490,0386,C816,256,21419490|0386|C816|2025-12-22|net demand for net demand for forecast|002291,2025-12-22,2025-12-23,delivery_shipment
2025-12-22,21419490,0386,C816,256,21419490|0386|C816|2025-12-22|net demand for net demand for forecast|002292,2025-12-22,2025-12-23,delivery_shipment
2025-12-22,21419490,0386,C816,256,21419490|0386|C816|2025-12-22|net demand for net demand for forecast|002293,2025-12-22,2025-12-23,delivery_shipment
2025-12-22,21419490,0386,C816,256,21419490|0386|C816|2025-12-22|net demand for net demand for forecast|002294,2025-12-22,2025-12-23,delivery_shipment
2025-12-22,21419490,0386,C816,256,21419490|0386|C816|2025-12-22|net demand for net demand for forecast|002295,2025-12-22,2025-12-23,delivery_shipment
2025-12-22,21139445,0386,C816,4,21139445|0386|C816|2025-12-22|net demand for net demand for net demand for forecast|001714,2025-12-22,2025-12-24,delivery_shipment
2025-12-22,21139445,0386,C816,5,21139445|0386|C816|2025-12-22|net demand for net demand for net demand for forecast|001715,2025-12-22,2025-12-23,delivery_shipment
2025-12-22,21139445,0386,C816,5,21139445|0386|C816|2025-12-22|net demand for net demand for net demand for forecast|001716,2025-12-22,2025-12-23,delivery_shipment
2025-12-22,21139445,0386,C816,5,21139445|0386|C816|2025-12-22|net demand for net demand for net demand for forecast|001717,2025-12-22,2025-12-23,delivery_shipment
2025-12-22,21139445,0386,C816,132,21139445|0386|C816|2025-12-22|net demand for safety|001725,2025-12-22,2025-12-23,delivery_shipment
2025-12-22,21143110,0386,C816,57,21143110|0386|C816|2025-12-22|net demand for safety|001857,2025-12-22,2025-12-23,delivery_shipment
2025-12-22,21165868,0386,C816,20,21165868|0386|C816|2025-12-22|net demand for safety|001904,2025-12-22,2025-12-23,delivery_shipment
2025-12-22,21165946,0386,C816,34,21165946|0386|C816|2025-12-22|net demand for safety|002019,2025-12-22,2025-12-23,delivery_shipment
2025-12-22,21307836,0386,C816,51,21307836|0386|C816|2025-12-22|net demand for safety|002125,2025-12-22,2025-12-23,delivery_shipment
2025-12-22,21139445,0386,C816,67,21139445|0386|C816|2025-12-22|net demand for net demand for safety|001722,2025-12-22,2025-12-23,delivery_shipment
2025-12-22,21139445,0386,C816,212,21139445|0386|C816|2025-12-22|net demand for net demand for safety|001723,2025-12-22,2025-12-23,delivery_shipment
2025-12-22,21143110,0386,C816,1,21143110|0386|C816|2025-12-22|net demand for net demand for safety|001856,2025-12-22,2025-12-23,delivery_shipment
2025-12-22,21165946,0386,C816,24,21165946|0386|C816|2025-12-22|net demand for net demand for safety|002017,2025-12-22,2025-12-23,delivery_shipment
2025-12-22,21165946,0386,C816,31,21165946|0386|C816|2025-12-22|net demand for net demand for safety|002018,2025-12-22,2025-12-23,delivery_shipment
2025-12-22,21307836,0386,C816,30,21307836|0386|C816|2025-12-22|net demand for net demand for safety|002122,2025-12-22,2025-12-23,delivery_shipment
2025-12-22,21307836,0386,C816,109,21307836|0386|C816|2025-12-22|net demand for net demand for safety|002123,2025-12-22,2025-12-23,delivery_shipment
2025-12-22,21139445,0386,C816,29,21139445|0386|C816|2025-12-22|net demand for net demand for net demand for safety|001719,2025-12-22,2025-12-23,delivery_shipment
2025-12-22,21139445,0386,C816,230,21139445|0386|C816|2025-12-22|push replenishment|001726,2025-12-22,2025-12-23,delivery_shipment
2025-12-22,21143103,0386,C816,28,21143103|0386|C816|2025-12-22|push replenishment|001796,2025-12-22,2025-12-23,delivery_shipment
2025-12-22,21143110,0386,C816,64,21143110|0386|C816|2025-12-22|push replenishment|001858,2025-12-22,2025-12-23,delivery_shipment
2025-12-22,21165868,0386,C816,87,21165868|0386|C816|2025-12-22|push replenishment|001905,2025-12-22,2025-12-23,delivery_shipment
2025-12-22,21165946,0386,C816,41,21165946|0386|C816|2025-12-22|push replenishment|002020,2025-12-22,2025-12-23,delivery_shipment
2025-12-22,21307836,0386,C816,91,21307836|0386|C816|2025-12-22|push replenishment|002126,2025-12-22,2025-12-23,delivery_shipment
2025-12-22,21428668,C816,A673,91,21428668|C816|A673|2025-12-22|net demand for normal|002321,2025-12-22,2025-12-26,delivery_shipment
2025-12-22,21442422,C816,A673,72,21442422|C816|A673|2025-12-22|net demand for normal|002332,2025-12-22,2025-12-26,delivery_shipment
2025-12-22,21428668,C816,A673,205,21428668|C816|A673|2025-12-22|net demand for forecast|002315,2025-12-22,2025-12-26,delivery_shipment
2025-12-22,21428668,C816,A673,205,21428668|C816|A673|2025-12-22|net demand for forecast|002316,2025-12-22,2025-12-26,delivery_shipment
2025-12-22,21428668,C816,A673,205,21428668|C816|A673|2025-12-22|net demand for forecast|002317,2025-12-22,2025-12-26,delivery_shipment
2025-12-22,21428668,C816,A673,205,21428668|C816|A673|2025-12-22|net demand for forecast|002318,2025-12-22,2025-12-26,delivery_shipment
2025-12-22,21428668,C816,A673,205,21428668|C816|A673|2025-12-22|net demand for forecast|002319,2025-12-22,2025-12-26,delivery_shipment
2025-12-22,21428668,C816,A673,205,21428668|C816|A673|2025-12-22|net demand for forecast|002320,2025-12-22,2025-12-26,delivery_shipment
2025-12-22,80848021,C816,A673,10,80848021|C816|A673|2025-12-22|net demand for safety|002348,2025-12-22,2025-12-26,delivery_shipment
2025-12-22,21442422,C816,A668,57,21442422|C816|A668|2025-12-21|net demand for forecast|001549,2025-12-22,2025-12-26,delivery_shipment
2025-12-22,21442422,C816,A668,57,21442422|C816|A668|2025-12-21|net demand for forecast|001550,2025-12-22,2025-12-26,delivery_shipment
2025-12-22,21442422,C816,A668,58,21442422|C816|A668|2025-12-21|net demand for forecast|001551,2025-12-22,2025-12-26,delivery_shipment
2025-12-22,21442422,C816,A668,58,21442422|C816|A668|2025-12-21|net demand for forecast|001552,2025-12-22,2025-12-26,delivery_shipment
2025-12-22,21442422,C816,A668,58,21442422|C816|A668|2025-12-21|net demand for forecast|001553,2025-12-22,2025-12-26,delivery_shipment
2025-12-22,21442422,C816,A668,58,21442422|C816|A668|2025-12-21|net demand for forecast|001554,2025-12-22,2025-12-26,delivery_shipment
2025-12-22,80848031,C816,A668,1,80848031|C816|A668|2025-12-21|net demand for forecast|001617,2025-12-22,2025-12-26,delivery_shipment
2025-12-22,80848031,C816,A668,1,80848031|C816|A668|2025-12-21|net demand for forecast|001618,2025-12-22,2025-12-26,delivery_shipment
2025-12-22,80848031,C816,A668,1,80848031|C816|A668|2025-12-21|net demand for forecast|001619,2025-12-22,2025-12-26,delivery_shipment
2025-12-22,80848031,C816,A668,1,80848031|C816|A668|2025-12-21|net demand for forecast|001620,2025-12-22,2025-12-26,delivery_shipment
2025-12-22,80848031,C816,A668,1,80848031|C816|A668|2025-12-21|net demand for forecast|001621,2025-12-22,2025-12-26,delivery_shipment
2025-12-22,21428668,C816,A668,60,21428668|C816|A668|2025-12-22|net demand for forecast|002302,2025-12-22,2025-12-26,delivery_shipment
2025-12-22,21428668,C816,A668,61,21428668|C816|A668|2025-12-22|net demand for forecast|002303,2025-12-22,2025-12-26,delivery_shipment
2025-12-22,21428668,C816,A668,61,21428668|C816|A668|2025-12-22|net demand for forecast|002304,2025-12-22,2025-12-26,delivery_shipment
2025-12-22,21428668,C816,A668,61,21428668|C816|A668|2025-12-22|net demand for forecast|002305,2025-12-22,2025-12-27,delivery_shipment
2025-12-22,21428668,C816,A668,61,21428668|C816|A668|2025-12-22|net demand for forecast|002306,2025-12-22,2025-12-26,delivery_shipment
2025-12-22,21428668,C816,A668,61,21428668|C816|A668|2025-12-22|net demand for forecast|002307,2025-12-22,2025-12-26,delivery_shipment
2025-12-22,80848031,C816,A668,1,80848031|C816|A668|2025-12-22|net demand for forecast|002358,2025-12-22,2025-12-26,delivery_shipment
2025-12-22,80848031,C816,A668,2,80848031|C816|A668|2025-12-22|net demand for forecast|002359,2025-12-22,2025-12-26,delivery_shipment
2025-12-22,80848031,C816,A668,2,80848031|C816|A668|2025-12-22|net demand for forecast|002360,2025-12-22,2025-12-26,delivery_shipment
2025-12-22,80848031,C816,A668,2,80848031|C816|A668|2025-12-22|net demand for forecast|002361,2025-12-22,2025-12-26,delivery_shipment
2025-12-22,80848031,C816,A668,2,80848031|C816|A668|2025-12-22|net demand for forecast|002362,2025-12-22,2025-12-26,delivery_shipment
2025-12-22,80848031,C816,A668,2,80848031|C816|A668|2025-12-22|net demand for forecast|002363,2025-12-22,2025-12-26,delivery_shipment
2025-12-22,80848031,C816,A668,4,80848031|C816|A668|2025-12-15|net demand for safety|000069,2025-12-22,2025-12-26,delivery_shipment
2025-12-22,80848031,C816,A668,1,80848031|C816|A668|2025-12-17|net demand for safety|000143,2025-12-22,2025-12-26,delivery_shipment
2025-12-22,80848031,C816,A668,5,80848031|C816|A668|2025-12-18|net demand for safety|000165,2025-12-22,2025-12-26,delivery_shipment
2025-12-22,80884846,C816,A668,1,80884846|C816|A668|2025-12-19|net demand for safety|000737,2025-12-22,2025-12-26,delivery_shipment
2025-12-22,80807089,C816,A668,5,80807089|C816|A668|2025-12-22|net demand for safety|002344,2025-12-22,2025-12-26,delivery_shipment
2025-12-22,21428668,C816,A672,19,21428668|C816|A672|2025-12-22|net demand for forecast|002308,2025-12-22,2025-12-31,delivery_shipment
2025-12-22,21428668,C816,A672,126,21428668|C816|A672|2025-12-22|net demand for forecast|002309,2025-12-22,2025-12-30,delivery_shipment
2025-12-22,21428668,C816,A672,126,21428668|C816|A672|2025-12-22|net demand for forecast|002310,2025-12-22,2025-12-30,delivery_shipment
2025-12-22,21428668,C816,A672,126,21428668|C816|A672|2025-12-22|net demand for forecast|002311,2025-12-22,2025-12-31,delivery_shipment
2025-12-22,21428668,C816,A672,126,21428668|C816|A672|2025-12-22|net demand for forecast|002312,2025-12-22,2025-12-30,delivery_shipment
2025-12-22,21428668,C816,A672,126,21428668|C816|A672|2025-12-22|net demand for forecast|002313,2025-12-22,2025-12-30,delivery_shipment
2025-12-22,21428668,C816,A672,126,21428668|C816|A672|2025-12-22|net demand for forecast|002314,2025-12-22,2025-12-30,delivery_shipment
