date,material,location,quantity
2026-01-14,80812839,0386,2373
2026-01-14,80804704,0386,4820
2026-01-14,80804699,0386,1091
2026-01-14,80804134,0386,2564
2026-01-14,80807089,0386,527
2026-01-14,80807119,0386,1194
2026-01-14,80804137,0386,1241
2026-01-14,80807097,0386,377
2026-01-14,80807096,0386,2526
2026-01-14,21314602,0386,478
2026-01-14,21275914,0386,492
2026-01-14,21143110,0386,1074
2026-01-14,21121756,0386,808
2026-01-14,21121752,0386,450
2026-01-14,21133312,0386,759
2026-01-14,21162696,0386,288
2026-01-14,21132988,0386,1498
2026-01-14,21148509,0386,110
