transit_uid,date,material,sending,receiving,actual_ship_date,actual_delivery_date,quantity,ori_deployment_uid,vehicle_uid
21139445|0386|A716|2025-12-22|net demand for forecast|001660_transit_20251222-0386-A716-Train-#1,2026-01-05,21139445,0386,A716,2025-12-22,2026-01-06,2,21139445|0386|A716|2025-12-22|net demand for forecast|001660,20251222-0386-A716-Train-#1
21139445|0386|A716|2025-12-22|net demand for forecast|001662_transit_20251222-0386-A716-Train-#1,2026-01-05,21139445,0386,A716,2025-12-22,2026-01-06,2,21139445|0386|A716|2025-12-22|net demand for forecast|001662,20251222-0386-A716-Train-#1
21139445|0386|A716|2025-12-22|net demand for forecast|001663_transit_20251222-0386-A716-Train-#1,2026-01-05,21139445,0386,A716,2025-12-22,2026-01-06,2,21139445|0386|A716|2025-12-22|net demand for forecast|001663,20251222-0386-A716-Train-#1
21143103|0386|A716|2025-12-22|net demand for forecast|001781_transit_20251222-0386-A716-Train-#1,2026-01-05,21143103,0386,A716,2025-12-22,2026-01-06,1,21143103|0386|A716|2025-12-22|net demand for forecast|001781,20251222-0386-A716-Train-#1
21143103|0386|A716|2025-12-22|net demand for forecast|001786_transit_20251222-0386-A716-Train-#1,2026-01-05,21143103,0386,A716,2025-12-22,2026-01-06,1,21143103|0386|A716|2025-12-22|net demand for forecast|001786,20251222-0386-A716-Train-#1
21143103|0386|A716|2025-12-22|net demand for forecast|001792_transit_20251222-0386-A716-Train-#1,2026-01-05,21143103,0386,A716,2025-12-22,2026-01-06,2,21143103|0386|A716|2025-12-22|net demand for forecast|001792,20251222-0386-A716-Train-#1
21165946|0386|A716|2025-12-22|net demand for forecast|001989_transit_20251222-0386-A716-Train-#1,2026-01-05,21165946,0386,A716,2025-12-22,2026-01-06,1,21165946|0386|A716|2025-12-22|net demand for forecast|001989,20251222-0386-A716-Train-#1
21165946|0386|A716|2025-12-22|net demand for forecast|001992_transit_20251222-0386-A716-Train-#1,2026-01-05,21165946,0386,A716,2025-12-22,2026-01-06,1,21165946|0386|A716|2025-12-22|net demand for forecast|001992,20251222-0386-A716-Train-#1
21165946|0386|A716|2025-12-22|net demand for forecast|001993_transit_20251222-0386-A716-Train-#1,2026-01-05,21165946,0386,A716,2025-12-22,2026-01-06,1,21165946|0386|A716|2025-12-22|net demand for forecast|001993,20251222-0386-A716-Train-#1
21377091|0386|A716|2025-12-22|net demand for forecast|002205_transit_20251222-0386-A716-Train-#1,2026-01-05,21377091,0386,A716,2025-12-22,2026-01-06,5,21377091|0386|A716|2025-12-22|net demand for forecast|002205,20251222-0386-A716-Train-#1
