date,material,sending,receiving,quantity,ori_deployment_uid,actual_ship_date,actual_delivery_date,type
2026-01-07,21314593,A673,D901,3,21314593|A673|D901|2026-01-07|net demand for normal|016712,2026-01-07,2026-01-09,delivery_shipment
2026-01-07,21314875,A673,D901,1,21314875|A673|D901|2026-01-07|net demand for normal|016800,2026-01-07,2026-01-10,delivery_shipment
2026-01-07,80793613,A673,D901,2,80793613|A673|D901|2026-01-07|net demand for normal|017027,2026-01-07,2026-01-09,delivery_shipment
2026-01-07,80804705,A673,D901,4,80804705|A673|D901|2026-01-07|net demand for normal|017236,2026-01-07,2026-01-09,delivery_shipment
2026-01-07,80848026,A673,D901,11,80848026|A673|D901|2026-01-07|net demand for normal|017543,2026-01-07,2026-01-09,delivery_shipment
2026-01-07,21132758,A673,D901,8,21132758|A673|D901|2026-01-07|net demand for forecast|016613,2026-01-07,2026-01-09,delivery_shipment
2026-01-07,21132758,A673,D901,8,21132758|A673|D901|2026-01-07|net demand for forecast|016614,2026-01-07,2026-01-09,delivery_shipment
2026-01-07,21132758,A673,D901,8,21132758|A673|D901|2026-01-07|net demand for forecast|016615,2026-01-07,2026-01-09,delivery_shipment
2026-01-07,21132758,A673,D901,8,21132758|A673|D901|2026-01-07|net demand for forecast|016616,2026-01-07,2026-01-09,delivery_shipment
2026-01-07,21137866,A673,D901,1,21137866|A673|D901|2026-01-07|net demand for forecast|016641,2026-01-07,2026-01-09,delivery_shipment
2026-01-07,21137866,A673,D901,1,21137866|A673|D901|2026-01-07|net demand for forecast|016642,2026-01-07,2026-01-09,delivery_shipment
2026-01-07,21137866,A673,D901,1,21137866|A673|D901|2026-01-07|net demand for forecast|016643,2026-01-07,2026-01-10,delivery_shipment
2026-01-07,21137866,A673,D901,1,21137866|A673|D901|2026-01-07|net demand for forecast|016644,2026-01-07,2026-01-09,delivery_shipment
2026-01-07,21170683,A673,D901,1,21170683|A673|D901|2026-01-07|net demand for forecast|016702,2026-01-07,2026-01-09,delivery_shipment
2026-01-07,21170683,A673,D901,1,21170683|A673|D901|2026-01-07|net demand for forecast|016703,2026-01-07,2026-01-09,delivery_shipment
2026-01-07,21170683,A673,D901,1,21170683|A673|D901|2026-01-07|net demand for forecast|016704,2026-01-07,2026-01-09,delivery_shipment
2026-01-07,21170683,A673,D901,1,21170683|A673|D901|2026-01-07|net demand for forecast|016705,2026-01-07,2026-01-09,delivery_shipment
2026-01-07,80793613,A673,D901,1,80793613|A673|D901|2026-01-07|net demand for forecast|017023,2026-01-07,2026-01-09,delivery_shipment
2026-01-07,80793613,A673,D901,1,80793613|A673|D901|2026-01-07|net demand for forecast|017024,2026-01-07,2026-01-09,delivery_shipment
2026-01-07,80793613,A673,D901,1,80793613|A673|D901|2026-01-07|net demand for forecast|017025,2026-01-07,2026-01-09,delivery_shipment
2026-01-07,80793613,A673,D901,1,80793613|A673|D901|2026-01-07|net demand for forecast|017026,2026-01-07,2026-01-09,delivery_shipment
2026-01-07,80795932,A673,D901,1,80795932|A673|D901|2026-01-07|net demand for forecast|017029,2026-01-07,2026-01-09,delivery_shipment
2026-01-07,80795932,A673,D901,2,80795932|A673|D901|2026-01-07|net demand for forecast|017030,2026-01-07,2026-01-09,delivery_shipment
2026-01-07,80795932,A673,D901,2,80795932|A673|D901|2026-01-07|net demand for forecast|017031,2026-01-07,2026-01-09,delivery_shipment
2026-01-07,80795932,A673,D901,2,80795932|A673|D901|2026-01-07|net demand for forecast|017032,2026-01-07,2026-01-09,delivery_shipment
2026-01-07,80804134,A673,D901,2,80804134|A673|D901|2026-01-07|net demand for forecast|017065,2026-01-07,2026-01-09,delivery_shipment
2026-01-07,80804134,A673,D901,2,80804134|A673|D901|2026-01-07|net demand for forecast|017066,2026-01-07,2026-01-09,delivery_shipment
2026-01-07,80804134,A673,D901,2,80804134|A673|D901|2026-01-07|net demand for forecast|017067,2026-01-07,2026-01-09,delivery_shipment
2026-01-07,80804134,A673,D901,2,80804134|A673|D901|2026-01-07|net demand for forecast|017068,2026-01-07,2026-01-09,delivery_shipment
2026-01-07,80804136,A673,D901,2,80804136|A673|D901|2026-01-07|net demand for forecast|017101,2026-01-07,2026-01-09,delivery_shipment
2026-01-07,80804136,A673,D901,2,80804136|A673|D901|2026-01-07|net demand for forecast|017102,2026-01-07,2026-01-09,delivery_shipment
2026-01-07,80804136,A673,D901,2,80804136|A673|D901|2026-01-07|net demand for forecast|017103,2026-01-07,2026-01-09,delivery_shipment
2026-01-07,80804136,A673,D901,2,80804136|A673|D901|2026-01-07|net demand for forecast|017104,2026-01-07,2026-01-09,delivery_shipment
2026-01-07,80807110,A673,D901,2,80807110|A673|D901|2026-01-07|net demand for forecast|017405,2026-01-07,2026-01-10,delivery_shipment
2026-01-07,80807110,A673,D901,2,80807110|A673|D901|2026-01-07|net demand for forecast|017406,2026-01-07,2026-01-10,delivery_shipment
2026-01-07,80807110,A673,D901,2,80807110|A673|D901|2026-01-07|net demand for forecast|017407,2026-01-07,2026-01-09,delivery_shipment
2026-01-07,80807110,A673,D901,2,80807110|A673|D901|2026-01-07|net demand for forecast|017408,2026-01-07,2026-01-09,delivery_shipment
2026-01-07,80807119,A673,D901,3,80807119|A673|D901|2026-01-07|net demand for forecast|017439,2026-01-07,2026-01-09,delivery_shipment
2026-01-07,80807119,A673,D901,3,80807119|A673|D901|2026-01-07|net demand for forecast|017440,2026-01-07,2026-01-09,delivery_shipment
2026-01-07,80807119,A673,D901,3,80807119|A673|D901|2026-01-07|net demand for forecast|017441,2026-01-07,2026-01-09,delivery_shipment
2026-01-07,80807119,A673,D901,3,80807119|A673|D901|2026-01-07|net demand for forecast|017442,2026-01-07,2026-01-09,delivery_shipment
2026-01-07,80848026,A673,D901,24,80848026|A673|D901|2026-01-07|net demand for forecast|017539,2026-01-07,2026-01-09,delivery_shipment
2026-01-07,80848026,A673,D901,25,80848026|A673|D901|2026-01-07|net demand for forecast|017540,2026-01-07,2026-01-09,delivery_shipment
2026-01-07,80848026,A673,D901,25,80848026|A673|D901|2026-01-07|net demand for forecast|017541,2026-01-07,2026-01-10,delivery_shipment
2026-01-07,80848026,A673,D901,25,80848026|A673|D901|2026-01-07|net demand for forecast|017542,2026-01-07,2026-01-09,delivery_shipment
2026-01-07,21113405,A673,D901,2,21113405|A673|D901|2026-01-07|net demand for safety|016600,2026-01-07,2026-01-09,delivery_shipment
2026-01-07,21121751,A673,D901,2,21121751|A673|D901|2026-01-07|net demand for safety|016601,2026-01-07,2026-01-09,delivery_shipment
2026-01-07,21127730,A673,D901,1,21127730|A673|D901|2026-01-07|net demand for safety|016602,2026-01-07,2026-01-09,delivery_shipment
2026-01-07,21128067,A673,D901,9,21128067|A673|D901|2026-01-07|net demand for safety|016610,2026-01-07,2026-01-09,delivery_shipment
2026-01-07,21143103,A673,D901,4,21143103|A673|D901|2026-01-07|net demand for safety|016678,2026-01-07,2026-01-09,delivery_shipment
2026-01-07,21143110,A673,D901,8,21143110|A673|D901|2026-01-07|net demand for safety|016679,2026-01-07,2026-01-10,delivery_shipment
2026-01-07,21165946,A673,D901,3,21165946|A673|D901|2026-01-07|net demand for safety|016701,2026-01-07,2026-01-09,delivery_shipment
2026-01-07,21170683,A673,D901,79,21170683|A673|D901|2026-01-07|net demand for safety|016706,2026-01-07,2026-01-10,delivery_shipment
