transit_uid,date,material,sending,receiving,actual_ship_date,actual_delivery_date,quantity,ori_deployment_uid,vehicle_uid
21139445|C816|A672|2025-12-15|net demand for forecast|000001_transit_20251216-C816-A672-Train-#1,2025-12-19,21139445,C816,A672,2025-12-16,2025-12-24,1,21139445|C816|A672|2025-12-15|net demand for forecast|000001,20251216-C816-A672-Train-#1
21414747|C816|A672|2025-12-15|net demand for forecast|000013_transit_20251216-C816-A672-Train-#1,2025-12-19,21414747,C816,A672,2025-12-16,2025-12-25,43,21414747|C816|A672|2025-12-15|net demand for forecast|000013,20251216-C816-A672-Train-#1
21419485|C816|A672|2025-12-15|net demand for forecast|000014_transit_20251216-C816-A672-Train-#1,2025-12-19,21419485,C816,A672,2025-12-16,2025-12-24,10,21419485|C816|A672|2025-12-15|net demand for forecast|000014,20251216-C816-A672-Train-#1
21419490|C816|A672|2025-12-15|net demand for forecast|000015_transit_20251216-C816-A672-Train-#1,2025-12-19,21419490,C816,A672,2025-12-16,2025-12-24,73,21419490|C816|A672|2025-12-15|net demand for forecast|000015,20251216-C816-A672-Train-#1
21428668|C816|A672|2025-12-15|net demand for forecast|000016_transit_20251216-C816-A672-Train-#1,2025-12-19,21428668,C816,A672,2025-12-16,2025-12-24,111,21428668|C816|A672|2025-12-15|net demand for forecast|000016,20251216-C816-A672-Train-#1
21442422|C816|A672|2025-12-15|net demand for forecast|000018_transit_20251216-C816-A672-Train-#1,2025-12-19,21442422,C816,A672,2025-12-16,2025-12-24,96,21442422|C816|A672|2025-12-15|net demand for forecast|000018,20251216-C816-A672-Train-#1
21442896|C816|A672|2025-12-15|net demand for forecast|000019_transit_20251216-C816-A672-Train-#1,2025-12-19,21442896,C816,A672,2025-12-16,2025-12-24,5,21442896|C816|A672|2025-12-15|net demand for forecast|000019,20251216-C816-A672-Train-#1
21442897|C816|A672|2025-12-15|net demand for forecast|000020_transit_20251216-C816-A672-Train-#1,2025-12-19,21442897,C816,A672,2025-12-16,2025-12-24,5,21442897|C816|A672|2025-12-15|net demand for forecast|000020,20251216-C816-A672-Train-#1
21447518|C816|A672|2025-12-15|net demand for forecast|000021_transit_20251216-C816-A672-Train-#1,2025-12-19,21447518,C816,A672,2025-12-16,2025-12-24,1,21447518|C816|A672|2025-12-15|net demand for forecast|000021,20251216-C816-A672-Train-#1
80804698|C816|A672|2025-12-15|net demand for forecast|000024_transit_20251216-C816-A672-Train-#1,2025-12-19,80804698,C816,A672,2025-12-16,2025-12-24,1,80804698|C816|A672|2025-12-15|net demand for forecast|000024,20251216-C816-A672-Train-#1
80804698|C816|A672|2025-12-15|net demand for forecast|000025_transit_20251216-C816-A672-Train-#1,2025-12-19,80804698,C816,A672,2025-12-16,2025-12-24,1,80804698|C816|A672|2025-12-15|net demand for forecast|000025,20251216-C816-A672-Train-#1
80804698|C816|A672|2025-12-15|net demand for forecast|000026_transit_20251216-C816-A672-Train-#1,2025-12-19,80804698,C816,A672,2025-12-16,2025-12-25,1,80804698|C816|A672|2025-12-15|net demand for forecast|000026,20251216-C816-A672-Train-#1
80804698|C816|A672|2025-12-15|net demand for forecast|000027_transit_20251216-C816-A672-Train-#1,2025-12-19,80804698,C816,A672,2025-12-16,2025-12-24,1,80804698|C816|A672|2025-12-15|net demand for forecast|000027,20251216-C816-A672-Train-#1
80804698|C816|A672|2025-12-15|net demand for forecast|000028_transit_20251216-C816-A672-Train-#1,2025-12-19,80804698,C816,A672,2025-12-16,2025-12-24,1,80804698|C816|A672|2025-12-15|net demand for forecast|000028,20251216-C816-A672-Train-#1
80804698|C816|A672|2025-12-15|net demand for forecast|000029_transit_20251216-C816-A672-Train-#1,2025-12-19,80804698,C816,A672,2025-12-16,2025-12-24,1,80804698|C816|A672|2025-12-15|net demand for forecast|000029,20251216-C816-A672-Train-#1
80804698|C816|A672|2025-12-15|net demand for forecast|000030_transit_20251216-C816-A672-Train-#1,2025-12-19,80804698,C816,A672,2025-12-16,2025-12-24,1,80804698|C816|A672|2025-12-15|net demand for forecast|000030,20251216-C816-A672-Train-#1
80804703|C816|A672|2025-12-15|net demand for forecast|000038_transit_20251216-C816-A672-Train-#1,2025-12-19,80804703,C816,A672,2025-12-16,2025-12-24,1,80804703|C816|A672|2025-12-15|net demand for forecast|000038,20251216-C816-A672-Train-#1
80804703|C816|A672|2025-12-15|net demand for forecast|000039_transit_20251216-C816-A672-Train-#1,2025-12-19,80804703,C816,A672,2025-12-16,2025-12-24,1,80804703|C816|A672|2025-12-15|net demand for forecast|000039,20251216-C816-A672-Train-#1
80804703|C816|A672|2025-12-15|net demand for forecast|000040_transit_20251216-C816-A672-Train-#1,2025-12-19,80804703,C816,A672,2025-12-16,2025-12-24,1,80804703|C816|A672|2025-12-15|net demand for forecast|000040,20251216-C816-A672-Train-#1
80804703|C816|A672|2025-12-15|net demand for forecast|000041_transit_20251216-C816-A672-Train-#1,2025-12-19,80804703,C816,A672,2025-12-16,2025-12-24,1,80804703|C816|A672|2025-12-15|net demand for forecast|000041,20251216-C816-A672-Train-#1
80804703|C816|A672|2025-12-15|net demand for forecast|000042_transit_20251216-C816-A672-Train-#1,2025-12-19,80804703,C816,A672,2025-12-16,2025-12-24,1,80804703|C816|A672|2025-12-15|net demand for forecast|000042,20251216-C816-A672-Train-#1
80804703|C816|A672|2025-12-15|net demand for forecast|000043_transit_20251216-C816-A672-Train-#1,2025-12-19,80804703,C816,A672,2025-12-16,2025-12-24,1,80804703|C816|A672|2025-12-15|net demand for forecast|000043,20251216-C816-A672-Train-#1
80804703|C816|A672|2025-12-15|net demand for forecast|000044_transit_20251216-C816-A672-Train-#1,2025-12-19,80804703,C816,A672,2025-12-16,2025-12-24,2,80804703|C816|A672|2025-12-15|net demand for forecast|000044,20251216-C816-A672-Train-#1
21414747|C816|A672|2025-12-16|net demand for forecast|000082_transit_20251216-C816-A672-Train-#1,2025-12-19,21414747,C816,A672,2025-12-16,2025-12-24,49,21414747|C816|A672|2025-12-16|net demand for forecast|000082,20251216-C816-A672-Train-#1
