date,material,sending,receiving,quantity,ori_deployment_uid,actual_ship_date,actual_delivery_date,type
2026-02-02,21314875,A673,D901,1,21314875|A673|D901|2026-02-02|net demand for normal|050923,2026-02-02,2026-02-04,delivery_shipment
2026-02-02,80807116,A673,D901,4,80807116|A673|D901|2026-02-02|net demand for normal|051480,2026-02-02,2026-02-05,delivery_shipment
2026-02-02,80848023,A673,D901,69,80848023|A673|D901|2026-02-02|net demand for normal|051584,2026-02-02,2026-02-04,delivery_shipment
2026-02-02,80848026,A673,D901,6,80848026|A673|D901|2026-02-02|net demand for normal|051634,2026-02-02,2026-02-04,delivery_shipment
2026-02-02,80848029,A673,D901,2,80848029|A673|D901|2026-02-02|net demand for normal|051645,2026-02-02,2026-02-04,delivery_shipment
2026-02-02,21137866,A673,D901,3,21137866|A673|D901|2026-02-02|net demand for forecast|050811,2026-02-02,2026-02-04,delivery_shipment
2026-02-02,21137866,A673,D901,3,21137866|A673|D901|2026-02-02|net demand for forecast|050812,2026-02-02,2026-02-04,delivery_shipment
2026-02-02,21137866,A673,D901,3,21137866|A673|D901|2026-02-02|net demand for forecast|050813,2026-02-02,2026-02-04,delivery_shipment
2026-02-02,21137866,A673,D901,3,21137866|A673|D901|2026-02-02|net demand for forecast|050814,2026-02-02,2026-02-04,delivery_shipment
2026-02-02,21151196,A673,D901,7,21151196|A673|D901|2026-02-02|net demand for forecast|050864,2026-02-02,2026-02-04,delivery_shipment
2026-02-02,21151196,A673,D901,7,21151196|A673|D901|2026-02-02|net demand for forecast|050865,2026-02-02,2026-02-04,delivery_shipment
2026-02-02,21151196,A673,D901,7,21151196|A673|D901|2026-02-02|net demand for forecast|050866,2026-02-02,2026-02-05,delivery_shipment
2026-02-02,21151196,A673,D901,7,21151196|A673|D901|2026-02-02|net demand for forecast|050867,2026-02-02,2026-02-04,delivery_shipment
2026-02-02,21170683,A673,D901,1,21170683|A673|D901|2026-02-02|net demand for forecast|050884,2026-02-02,2026-02-04,delivery_shipment
2026-02-02,21170683,A673,D901,1,21170683|A673|D901|2026-02-02|net demand for forecast|050885,2026-02-02,2026-02-04,delivery_shipment
2026-02-02,21170683,A673,D901,1,21170683|A673|D901|2026-02-02|net demand for forecast|050886,2026-02-02,2026-02-04,delivery_shipment
2026-02-02,21170683,A673,D901,1,21170683|A673|D901|2026-02-02|net demand for forecast|050887,2026-02-02,2026-02-04,delivery_shipment
2026-02-02,80804132,A673,D901,1,80804132|A673|D901|2026-02-02|net demand for forecast|051080,2026-02-02,2026-02-04,delivery_shipment
2026-02-02,80804132,A673,D901,1,80804132|A673|D901|2026-02-02|net demand for forecast|051081,2026-02-02,2026-02-04,delivery_shipment
2026-02-02,80804132,A673,D901,1,80804132|A673|D901|2026-02-02|net demand for forecast|051082,2026-02-02,2026-02-04,delivery_shipment
2026-02-02,80804132,A673,D901,1,80804132|A673|D901|2026-02-02|net demand for forecast|051083,2026-02-02,2026-02-04,delivery_shipment
2026-02-02,80804701,A673,D901,3,80804701|A673|D901|2026-02-02|net demand for forecast|051186,2026-02-02,2026-02-04,delivery_shipment
2026-02-02,80804701,A673,D901,3,80804701|A673|D901|2026-02-02|net demand for forecast|051187,2026-02-02,2026-02-04,delivery_shipment
2026-02-02,80804701,A673,D901,3,80804701|A673|D901|2026-02-02|net demand for forecast|051188,2026-02-02,2026-02-04,delivery_shipment
2026-02-02,80804701,A673,D901,3,80804701|A673|D901|2026-02-02|net demand for forecast|051189,2026-02-02,2026-02-04,delivery_shipment
2026-02-02,80804705,A673,D901,11,80804705|A673|D901|2026-02-02|net demand for forecast|051270,2026-02-02,2026-02-04,delivery_shipment
2026-02-02,80804705,A673,D901,12,80804705|A673|D901|2026-02-02|net demand for forecast|051271,2026-02-02,2026-02-04,delivery_shipment
2026-02-02,80804705,A673,D901,12,80804705|A673|D901|2026-02-02|net demand for forecast|051272,2026-02-02,2026-02-04,delivery_shipment
2026-02-02,80804705,A673,D901,12,80804705|A673|D901|2026-02-02|net demand for forecast|051273,2026-02-02,2026-02-04,delivery_shipment
