transit_uid,date,material,sending,receiving,actual_ship_date,actual_delivery_date,quantity,ori_deployment_uid,vehicle_uid
21291975|0386|A716|2025-12-20|net demand for normal|000805_transit_20251220-0386-A716-Train-#1,2026-01-03,21291975,0386,A716,2025-12-20,2026-01-04,2,21291975|0386|A716|2025-12-20|net demand for normal|000805,20251220-0386-A716-Train-#1
21366842|0386|A716|2025-12-20|net demand for normal|000933_transit_20251220-0386-A716-Train-#1,2026-01-03,21366842,0386,A716,2025-12-20,2026-01-04,5,21366842|0386|A716|2025-12-20|net demand for normal|000933,20251220-0386-A716-Train-#1
21366842|0386|A716|2025-12-20|net demand for forecast|000926_transit_20251220-0386-A716-Train-#1,2026-01-03,21366842,0386,A716,2025-12-20,2026-01-04,9,21366842|0386|A716|2025-12-20|net demand for forecast|000926,20251220-0386-A716-Train-#1
21366842|0386|A716|2025-12-20|net demand for forecast|000930_transit_20251220-0386-A716-Train-#1,2026-01-03,21366842,0386,A716,2025-12-20,2026-01-04,9,21366842|0386|A716|2025-12-20|net demand for forecast|000930,20251220-0386-A716-Train-#1
21366842|0386|A716|2025-12-21|net demand for normal|001468_transit_20251221-0386-A716-Train-#1,2026-01-03,21366842,0386,A716,2025-12-21,2026-01-04,1,21366842|0386|A716|2025-12-21|net demand for normal|001468,20251221-0386-A716-Train-#1
21428668|0386|A716|2025-12-21|net demand for normal|001511_transit_20251221-0386-A716-Train-#1,2026-01-03,21428668,0386,A716,2025-12-21,2026-01-04,102,21428668|0386|A716|2025-12-21|net demand for normal|001511,20251221-0386-A716-Train-#1
21442422|0386|A716|2025-12-21|net demand for normal|001548_transit_20251221-0386-A716-Train-#1,2026-01-03,21442422,0386,A716,2025-12-21,2026-01-05,5,21442422|0386|A716|2025-12-21|net demand for normal|001548,20251221-0386-A716-Train-#1
21165946|0386|A716|2025-12-21|net demand for forecast|001273_transit_20251221-0386-A716-Train-#1,2026-01-03,21165946,0386,A716,2025-12-21,2026-01-04,2,21165946|0386|A716|2025-12-21|net demand for forecast|001273,20251221-0386-A716-Train-#1
21165946|0386|A716|2025-12-21|net demand for forecast|001274_transit_20251221-0386-A716-Train-#1,2026-01-03,21165946,0386,A716,2025-12-21,2026-01-04,2,21165946|0386|A716|2025-12-21|net demand for forecast|001274,20251221-0386-A716-Train-#1
21165946|0386|A716|2025-12-21|net demand for forecast|001275_transit_20251221-0386-A716-Train-#1,2026-01-03,21165946,0386,A716,2025-12-21,2026-01-04,2,21165946|0386|A716|2025-12-21|net demand for forecast|001275,20251221-0386-A716-Train-#1
21165946|0386|A716|2025-12-21|net demand for forecast|001276_transit_20251221-0386-A716-Train-#1,2026-01-03,21165946,0386,A716,2025-12-21,2026-01-05,2,21165946|0386|A716|2025-12-21|net demand for forecast|001276,20251221-0386-A716-Train-#1
21165946|0386|A716|2025-12-21|net demand for forecast|001277_transit_20251221-0386-A716-Train-#1,2026-01-03,21165946,0386,A716,2025-12-21,2026-01-04,3,21165946|0386|A716|2025-12-21|net demand for forecast|001277,20251221-0386-A716-Train-#1
21165946|0386|A716|2025-12-21|net demand for forecast|001278_transit_20251221-0386-A716-Train-#1,2026-01-03,21165946,0386,A716,2025-12-21,2026-01-04,3,21165946|0386|A716|2025-12-21|net demand for forecast|001278,20251221-0386-A716-Train-#1
21165946|0386|A716|2025-12-21|net demand for forecast|001279_transit_20251221-0386-A716-Train-#1,2026-01-03,21165946,0386,A716,2025-12-21,2026-01-04,3,21165946|0386|A716|2025-12-21|net demand for forecast|001279,20251221-0386-A716-Train-#1
21165946|0386|A716|2025-12-21|net demand for forecast|001280_transit_20251221-0386-A716-Train-#1,2026-01-03,21165946,0386,A716,2025-12-21,2026-01-04,3,21165946|0386|A716|2025-12-21|net demand for forecast|001280,20251221-0386-A716-Train-#1
21165946|0386|A716|2025-12-21|net demand for forecast|001281_transit_20251221-0386-A716-Train-#1,2026-01-03,21165946,0386,A716,2025-12-21,2026-01-04,3,21165946|0386|A716|2025-12-21|net demand for forecast|001281,20251221-0386-A716-Train-#1
21165946|0386|A716|2025-12-21|net demand for forecast|001282_transit_20251221-0386-A716-Train-#1,2026-01-03,21165946,0386,A716,2025-12-21,2026-01-04,3,21165946|0386|A716|2025-12-21|net demand for forecast|001282,20251221-0386-A716-Train-#1
21165946|0386|A716|2025-12-21|net demand for forecast|001283_transit_20251221-0386-A716-Train-#1,2026-01-03,21165946,0386,A716,2025-12-21,2026-01-04,4,21165946|0386|A716|2025-12-21|net demand for forecast|001283,20251221-0386-A716-Train-#1
21165946|0386|A716|2025-12-21|net demand for forecast|001284_transit_20251221-0386-A716-Train-#1,2026-01-03,21165946,0386,A716,2025-12-21,2026-01-04,4,21165946|0386|A716|2025-12-21|net demand for forecast|001284,20251221-0386-A716-Train-#1
