transit_uid,date,material,sending,receiving,actual_ship_date,actual_delivery_date,quantity,ori_deployment_uid,vehicle_uid
21314593|0386|A716|2025-12-28|net demand for forecast|006472_transit_20251228-0386-A716-Train-#1,2026-01-11,21314593,0386,A716,2025-12-28,2026-01-12,2,21314593|0386|A716|2025-12-28|net demand for forecast|006472,20251228-0386-A716-Train-#1
21314593|0386|A716|2025-12-28|net demand for forecast|006479_transit_20251228-0386-A716-Train-#1,2026-01-11,21314593,0386,A716,2025-12-28,2026-01-12,2,21314593|0386|A716|2025-12-28|net demand for forecast|006479,20251228-0386-A716-Train-#1
21314593|0386|A716|2025-12-28|net demand for forecast|006482_transit_20251228-0386-A716-Train-#1,2026-01-11,21314593,0386,A716,2025-12-28,2026-01-12,2,21314593|0386|A716|2025-12-28|net demand for forecast|006482,20251228-0386-A716-Train-#1
21314593|0386|A716|2025-12-28|net demand for forecast|006483_transit_20251228-0386-A716-Train-#1,2026-01-11,21314593,0386,A716,2025-12-28,2026-01-12,2,21314593|0386|A716|2025-12-28|net demand for forecast|006483,20251228-0386-A716-Train-#1
21325292|0386|A716|2025-12-28|net demand for forecast|006644_transit_20251228-0386-A716-Train-#1,2026-01-11,21325292,0386,A716,2025-12-28,2026-01-12,1,21325292|0386|A716|2025-12-28|net demand for forecast|006644,20251228-0386-A716-Train-#1
21325292|0386|A716|2025-12-28|net demand for forecast|006648_transit_20251228-0386-A716-Train-#1,2026-01-11,21325292,0386,A716,2025-12-28,2026-01-12,1,21325292|0386|A716|2025-12-28|net demand for forecast|006648,20251228-0386-A716-Train-#1
21325292|0386|A716|2025-12-28|net demand for forecast|006649_transit_20251228-0386-A716-Train-#1,2026-01-11,21325292,0386,A716,2025-12-28,2026-01-12,1,21325292|0386|A716|2025-12-28|net demand for forecast|006649,20251228-0386-A716-Train-#1
21325292|0386|A716|2025-12-28|net demand for forecast|006656_transit_20251228-0386-A716-Train-#1,2026-01-11,21325292,0386,A716,2025-12-28,2026-01-12,2,21325292|0386|A716|2025-12-28|net demand for forecast|006656,20251228-0386-A716-Train-#1
21442896|0386|A716|2025-12-28|net demand for forecast|006713_transit_20251228-0386-A716-Train-#1,2026-01-11,21442896,0386,A716,2025-12-28,2026-01-12,2,21442896|0386|A716|2025-12-28|net demand for forecast|006713,20251228-0386-A716-Train-#1
21442896|0386|A716|2025-12-28|net demand for forecast|006718_transit_20251228-0386-A716-Train-#1,2026-01-11,21442896,0386,A716,2025-12-28,2026-01-12,3,21442896|0386|A716|2025-12-28|net demand for forecast|006718,20251228-0386-A716-Train-#1
21442896|0386|A716|2025-12-28|net demand for forecast|006720_transit_20251228-0386-A716-Train-#1,2026-01-11,21442896,0386,A716,2025-12-28,2026-01-12,3,21442896|0386|A716|2025-12-28|net demand for forecast|006720,20251228-0386-A716-Train-#1
21442896|0386|A716|2025-12-28|net demand for forecast|006724_transit_20251228-0386-A716-Train-#1,2026-01-11,21442896,0386,A716,2025-12-28,2026-01-12,4,21442896|0386|A716|2025-12-28|net demand for forecast|006724,20251228-0386-A716-Train-#1
21442897|0386|A716|2025-12-28|net demand for forecast|006786_transit_20251228-0386-A716-Train-#1,2026-01-11,21442897,0386,A716,2025-12-28,2026-01-12,2,21442897|0386|A716|2025-12-28|net demand for forecast|006786,20251228-0386-A716-Train-#1
21442897|0386|A716|2025-12-28|net demand for forecast|006793_transit_20251228-0386-A716-Train-#1,2026-01-11,21442897,0386,A716,2025-12-28,2026-01-12,3,21442897|0386|A716|2025-12-28|net demand for forecast|006793,20251228-0386-A716-Train-#1
21442897|0386|A716|2025-12-28|net demand for forecast|006796_transit_20251228-0386-A716-Train-#1,2026-01-11,21442897,0386,A716,2025-12-28,2026-01-12,3,21442897|0386|A716|2025-12-28|net demand for forecast|006796,20251228-0386-A716-Train-#1
80804129|0386|A716|2025-12-28|net demand for forecast|006961_transit_20251228-0386-A716-Train-#1,2026-01-11,80804129,0386,A716,2025-12-28,2026-01-12,2,80804129|0386|A716|2025-12-28|net demand for forecast|006961,20251228-0386-A716-Train-#1
80804129|0386|A716|2025-12-28|net demand for forecast|006962_transit_20251228-0386-A716-Train-#1,2026-01-11,80804129,0386,A716,2025-12-28,2026-01-12,2,80804129|0386|A716|2025-12-28|net demand for forecast|006962,20251228-0386-A716-Train-#1
80804129|0386|A716|2025-12-28|net demand for forecast|006969_transit_20251228-0386-A716-Train-#1,2026-01-11,80804129,0386,A716,2025-12-28,2026-01-12,2,80804129|0386|A716|2025-12-28|net demand for forecast|006969,20251228-0386-A716-Train-#1
80804129|0386|A716|2025-12-28|net demand for forecast|006971_transit_20251228-0386-A716-Train-#1,2026-01-11,80804129,0386,A716,2025-12-28,2026-01-12,4,80804129|0386|A716|2025-12-28|net demand for forecast|006971,20251228-0386-A716-Train-#1
80804129|0386|A716|2025-12-28|net demand for forecast|006975_transit_20251228-0386-A716-Train-#1,2026-01-11,80804129,0386,A716,2025-12-28,2026-01-12,5,80804129|0386|A716|2025-12-28|net demand for forecast|006975,20251228-0386-A716-Train-#1
80804132|0386|A716|2025-12-28|net demand for forecast|007024_transit_20251228-0386-A716-Train-#1,2026-01-11,80804132,0386,A716,2025-12-28,2026-01-12,1,80804132|0386|A716|2025-12-28|net demand for forecast|007024,20251228-0386-A716-Train-#1
80804132|0386|A716|2025-12-28|net demand for forecast|007028_transit_20251228-0386-A716-Train-#1,2026-01-11,80804132,0386,A716,2025-12-28,2026-01-12,2,80804132|0386|A716|2025-12-28|net demand for forecast|007028,20251228-0386-A716-Train-#1
80804132|0386|A716|2025-12-28|net demand for forecast|007037_transit_20251228-0386-A716-Train-#1,2026-01-11,80804132,0386,A716,2025-12-28,2026-01-12,2,80804132|0386|A716|2025-12-28|net demand for forecast|007037,20251228-0386-A716-Train-#1
80804132|0386|A716|2025-12-28|net demand for forecast|007038_transit_20251228-0386-A716-Train-#1,2026-01-11,80804132,0386,A716,2025-12-28,2026-01-12,2,80804132|0386|A716|2025-12-28|net demand for forecast|007038,20251228-0386-A716-Train-#1
80805852|0386|A716|2025-12-28|net demand for forecast|007079_transit_20251228-0386-A716-Train-#1,2026-01-11,80805852,0386,A716,2025-12-28,2026-01-12,1,80805852|0386|A716|2025-12-28|net demand for forecast|007079,20251228-0386-A716-Train-#1
80805852|0386|A716|2025-12-28|net demand for forecast|007084_transit_20251228-0386-A716-Train-#1,2026-01-11,80805852,0386,A716,2025-12-28,2026-01-12,1,80805852|0386|A716|2025-12-28|net demand for forecast|007084,20251228-0386-A716-Train-#1
21442896|0386|A716|2025-12-28|net demand for safety|006726_transit_20251228-0386-A716-Train-#1,2026-01-11,21442896,0386,A716,2025-12-28,2026-01-12,12,21442896|0386|A716|2025-12-28|net demand for safety|006726,20251228-0386-A716-Train-#1
21315350|0386|A716|2025-12-28|push replenishment|006576_transit_20251228-0386-A716-Train-#1,2026-01-11,21315350,0386,A716,2025-12-28,2026-01-12,5,21315350|0386|A716|2025-12-28|push replenishment|006576,20251228-0386-A716-Train-#1
21442897|0386|A716|2025-12-28|push replenishment|006805_transit_20251228-0386-A716-Train-#1,2026-01-11,21442897,0386,A716,2025-12-28,2026-01-12,615,21442897|0386|A716|2025-12-28|push replenishment|006805,20251228-0386-A716-Train-#1
80805852|0386|A716|2025-12-28|push replenishment|007092_transit_20251228-0386-A716-Train-#1,2026-01-11,80805852,0386,A716,2025-12-28,2026-01-12,23,80805852|0386|A716|2025-12-28|push replenishment|007092,20251228-0386-A716-Train-#1
21133312|0386|A716|2025-12-29|net demand for normal|007493_transit_20251229-0386-A716-Train-#1,2026-01-11,21133312,0386,A716,2025-12-29,2026-01-12,11,21133312|0386|A716|2025-12-29|net demand for normal|007493,20251229-0386-A716-Train-#1
21442896|0386|A716|2025-12-29|net demand for normal|007693_transit_20251229-0386-A716-Train-#1,2026-01-11,21442896,0386,A716,2025-12-29,2026-01-12,1,21442896|0386|A716|2025-12-29|net demand for normal|007693,20251229-0386-A716-Train-#1
21128377|0386|A716|2025-12-29|net demand for forecast|007359_transit_20251229-0386-A716-Train-#1,2026-01-11,21128377,0386,A716,2025-12-29,2026-01-12,1,21128377|0386|A716|2025-12-29|net demand for forecast|007359,20251229-0386-A716-Train-#1
21128377|0386|A716|2025-12-29|net demand for forecast|007360_transit_20251229-0386-A716-Train-#1,2026-01-11,21128377,0386,A716,2025-12-29,2026-01-12,1,21128377|0386|A716|2025-12-29|net demand for forecast|007360,20251229-0386-A716-Train-#1
21128377|0386|A716|2025-12-29|net demand for forecast|007361_transit_20251229-0386-A716-Train-#1,2026-01-11,21128377,0386,A716,2025-12-29,2026-01-12,1,21128377|0386|A716|2025-12-29|net demand for forecast|007361,20251229-0386-A716-Train-#1
21128377|0386|A716|2025-12-29|net demand for forecast|007362_transit_20251229-0386-A716-Train-#1,2026-01-11,21128377,0386,A716,2025-12-29,2026-01-12,1,21128377|0386|A716|2025-12-29|net demand for forecast|007362,20251229-0386-A716-Train-#1
21128377|0386|A716|2025-12-29|net demand for forecast|007363_transit_20251229-0386-A716-Train-#1,2026-01-11,21128377,0386,A716,2025-12-29,2026-01-12,1,21128377|0386|A716|2025-12-29|net demand for forecast|007363,20251229-0386-A716-Train-#1
21128377|0386|A716|2025-12-29|net demand for forecast|007364_transit_20251229-0386-A716-Train-#1,2026-01-11,21128377,0386,A716,2025-12-29,2026-01-12,1,21128377|0386|A716|2025-12-29|net demand for forecast|007364,20251229-0386-A716-Train-#1
21128377|0386|A716|2025-12-29|net demand for forecast|007365_transit_20251229-0386-A716-Train-#1,2026-01-11,21128377,0386,A716,2025-12-29,2026-01-12,1,21128377|0386|A716|2025-12-29|net demand for forecast|007365,20251229-0386-A716-Train-#1
