date,material,location,quantity
2026-01-24,21029016,A668,0
2026-01-24,21029016,A672,0
2026-01-24,21029016,A673,0
2026-01-24,21029016,A680,0
2026-01-24,21029016,A715,0
2026-01-24,21029016,A716,0
2026-01-24,21029016,C810,1
2026-01-24,21029016,C816,0
2026-01-24,21029016,C819,4
2026-01-24,21029016,C937,0
2026-01-24,21029016,D767,0
2026-01-24,21029016,E556,0
2026-01-24,21029016,E564,0
2026-01-24,21029016,E568,4
2026-01-24,21029016,E569,0
2026-01-24,21098519,A668,613
2026-01-24,21098519,A672,516
2026-01-24,21098519,A673,1465
2026-01-24,21098519,A680,152
2026-01-24,21098519,A715,211
2026-01-24,21098519,A716,168
2026-01-24,21098519,C810,252
2026-01-24,21098519,C816,918
2026-01-24,21098519,C819,0
2026-01-24,21098519,C937,29
2026-01-24,21098519,D191,2
2026-01-24,21098519,D767,19
2026-01-24,21098519,D901,97
2026-01-24,21098519,E556,31
2026-01-24,21098519,E564,13
2026-01-24,21098519,E568,3
2026-01-24,21098519,E569,7
2026-01-24,21103371,A668,297
2026-01-24,21103371,A672,753
2026-01-24,21103371,A673,585
2026-01-24,21103371,A680,224
2026-01-24,21103371,A715,120
2026-01-24,21103371,A716,111
2026-01-24,21103371,C563,20
2026-01-24,21103371,C810,160
2026-01-24,21103371,C816,514
2026-01-24,21103371,C937,24
2026-01-24,21103371,D191,2
2026-01-24,21103371,D767,0
2026-01-24,21103371,D901,67
2026-01-24,21103371,E295,39
2026-01-24,21103371,E564,6
2026-01-24,21103371,E568,2
2026-01-24,21103371,E569,10
2026-01-24,21103372,A668,264
2026-01-24,21103372,A672,506
2026-01-24,21103372,A673,727
2026-01-24,21103372,A680,208
2026-01-24,21103372,A715,131
2026-01-24,21103372,A716,86
2026-01-24,21103372,C810,91
2026-01-24,21103372,C816,375
2026-01-24,21103372,C819,0
2026-01-24,21103372,C937,9
2026-01-24,21103372,D191,2
2026-01-24,21103372,D767,26
2026-01-24,21103372,D901,107
2026-01-24,21103372,E556,80
2026-01-24,21103372,E564,24
2026-01-24,21103372,E568,3
2026-01-24,21103372,E569,3
2026-01-24,21113405,A668,201
2026-01-24,21113405,A672,343
2026-01-24,21113405,A673,301
2026-01-24,21113405,A680,79
2026-01-24,21113405,A715,108
2026-01-24,21113405,A716,80
2026-01-24,21113405,C810,5
2026-01-24,21113405,C816,180
