date,material,sending,receiving,quantity,ori_deployment_uid,actual_ship_date,actual_delivery_date,type
2026-02-01,80807089,A673,D901,4,80807089|A673|D901|2026-02-01|net demand for normal|050075,2026-02-01,2026-02-03,delivery_shipment
2026-02-01,80807115,A673,D901,6,80807115|A673|D901|2026-02-01|net demand for normal|050281,2026-02-01,2026-02-04,delivery_shipment
2026-02-01,80807116,A673,D901,46,80807116|A673|D901|2026-02-01|net demand for normal|050286,2026-02-01,2026-02-03,delivery_shipment
2026-02-01,80848026,A673,D901,14,80848026|A673|D901|2026-02-01|net demand for normal|050572,2026-02-01,2026-02-03,delivery_shipment
2026-02-01,21132988,A673,D901,3,21132988|A673|D901|2026-02-01|net demand for forecast|049403,2026-02-01,2026-02-03,delivery_shipment
2026-02-01,21132988,A673,D901,3,21132988|A673|D901|2026-02-01|net demand for forecast|049404,2026-02-01,2026-02-03,delivery_shipment
2026-02-01,21132988,A673,D901,3,21132988|A673|D901|2026-02-01|net demand for forecast|049405,2026-02-01,2026-02-03,delivery_shipment
2026-02-01,21132988,A673,D901,3,21132988|A673|D901|2026-02-01|net demand for forecast|049406,2026-02-01,2026-02-03,delivery_shipment
2026-02-01,21137866,A673,D901,4,21137866|A673|D901|2026-02-01|net demand for forecast|049430,2026-02-01,2026-02-03,delivery_shipment
2026-02-01,21137866,A673,D901,4,21137866|A673|D901|2026-02-01|net demand for forecast|049431,2026-02-01,2026-02-03,delivery_shipment
2026-02-01,21137866,A673,D901,4,21137866|A673|D901|2026-02-01|net demand for forecast|049432,2026-02-01,2026-02-03,delivery_shipment
2026-02-01,21137866,A673,D901,4,21137866|A673|D901|2026-02-01|net demand for forecast|049433,2026-02-01,2026-02-04,delivery_shipment
2026-02-01,21139445,A673,D901,2,21139445|A673|D901|2026-02-01|net demand for forecast|049439,2026-02-01,2026-02-03,delivery_shipment
2026-02-01,21139445,A673,D901,2,21139445|A673|D901|2026-02-01|net demand for forecast|049440,2026-02-01,2026-02-03,delivery_shipment
2026-02-01,21139445,A673,D901,2,21139445|A673|D901|2026-02-01|net demand for forecast|049441,2026-02-01,2026-02-03,delivery_shipment
2026-02-01,21139445,A673,D901,2,21139445|A673|D901|2026-02-01|net demand for forecast|049442,2026-02-01,2026-02-03,delivery_shipment
2026-02-01,21151196,A673,D901,7,21151196|A673|D901|2026-02-01|net demand for forecast|049485,2026-02-01,2026-02-03,delivery_shipment
2026-02-01,21151196,A673,D901,7,21151196|A673|D901|2026-02-01|net demand for forecast|049486,2026-02-01,2026-02-03,delivery_shipment
2026-02-01,21151196,A673,D901,7,21151196|A673|D901|2026-02-01|net demand for forecast|049487,2026-02-01,2026-02-03,delivery_shipment
2026-02-01,21151196,A673,D901,7,21151196|A673|D901|2026-02-01|net demand for forecast|049488,2026-02-01,2026-02-03,delivery_shipment
2026-02-01,21315352,A673,D901,1,21315352|A673|D901|2026-02-01|net demand for forecast|049566,2026-02-01,2026-02-03,delivery_shipment
2026-02-01,21315352,A673,D901,1,21315352|A673|D901|2026-02-01|net demand for forecast|049567,2026-02-01,2026-02-03,delivery_shipment
