date,material,location,quantity
2025-12-23,21029016,A668,75
2025-12-23,21029016,A672,461
2025-12-23,21029016,A673,224
2025-12-23,21029016,A680,66
2025-12-23,21029016,A715,18
2025-12-23,21029016,A716,28
2025-12-23,21029016,C810,5
2025-12-23,21029016,C816,156
2025-12-23,21029016,C819,7
2025-12-23,21029016,C937,30
2025-12-23,21029016,D767,23
2025-12-23,21029016,E556,87
2025-12-23,21029016,E564,49
2025-12-23,21029016,E568,4
2025-12-23,21029016,E569,22
2025-12-23,21098519,A668,481
2025-12-23,21098519,A672,1318
2025-12-23,21098519,A673,849
2025-12-23,21098519,A680,308
2025-12-23,21098519,A715,151
2025-12-23,21098519,A716,98
2025-12-23,21098519,C810,301
2025-12-23,21098519,C816,991
2025-12-23,21098519,C819,0
2025-12-23,21098519,C937,97
2025-12-23,21098519,D191,2
2025-12-23,21098519,D767,39
2025-12-23,21098519,D901,270
2025-12-23,21098519,E556,40
2025-12-23,21098519,E564,41
2025-12-23,21098519,E568,3
2025-12-23,21098519,E569,10
2025-12-23,21103371,A668,500
2025-12-23,21103371,A672,815
2025-12-23,21103371,A673,800
2025-12-23,21103371,A680,266
2025-12-23,21103371,A715,118
2025-12-23,21103371,A716,95
2025-12-23,21103371,C563,25
2025-12-23,21103371,C810,296
2025-12-23,21103371,C816,410
2025-12-23,21103371,C937,56
2025-12-23,21103371,D191,2
2025-12-23,21103371,D767,23
2025-12-23,21103371,D901,228
2025-12-23,21103371,E295,262
2025-12-23,21103371,E564,20
2025-12-23,21103371,E568,2
2025-12-23,21103371,E569,10
2025-12-23,21103372,A668,382
2025-12-23,21103372,A672,855
2025-12-23,21103372,A673,996
2025-12-23,21103372,A680,263
2025-12-23,21103372,A715,171
2025-12-23,21103372,A716,95
2025-12-23,21103372,C810,303
2025-12-23,21103372,C816,470
2025-12-23,21103372,C819,0
2025-12-23,21103372,C937,59
2025-12-23,21103372,D191,2
2025-12-23,21103372,D767,63
2025-12-23,21103372,D901,296
2025-12-23,21103372,E556,136
2025-12-23,21103372,E564,43
2025-12-23,21103372,E568,3
2025-12-23,21103372,E569,20
2025-12-23,21113405,A668,30
2025-12-23,21113405,A672,0
2025-12-23,21113405,A673,0
2025-12-23,21113405,A680,2
2025-12-23,21113405,A715,0
2025-12-23,21113405,A716,0
2025-12-23,21113405,C810,2
2025-12-23,21113405,C816,0
2025-12-23,21113405,C819,2
2025-12-23,21113405,C937,0
2025-12-23,21113405,D767,4
2025-12-23,21113405,D901,4
2025-12-23,21113405,E556,3
2025-12-23,21113405,E564,0
2025-12-23,21113405,E568,1
2025-12-23,21113405,E569,0
2025-12-23,21118864,A668,12
2025-12-23,21118864,A672,14
2025-12-23,21118864,A673,59
2025-12-23,21118864,A680,7
2025-12-23,21118864,A715,1
2025-12-23,21118864,A716,3
2025-12-23,21118864,C816,21
2025-12-23,21118864,C937,1
2025-12-23,21118864,D767,2
2025-12-23,21118864,D901,1
2025-12-23,21118864,E564,0
2025-12-23,21118867,A668,0
2025-12-23,21118867,A672,13
2025-12-23,21118867,A673,25
2025-12-23,21118867,A680,0
2025-12-23,21118867,A715,1
2025-12-23,21118867,A716,1
2025-12-23,21118867,C810,0
2025-12-23,21118867,C816,0
2025-12-23,21118867,C819,3
2025-12-23,21118867,C937,2
2025-12-23,21118867,D767,0
2025-12-23,21118867,D901,2
2025-12-23,21118867,E556,1
2025-12-23,21118867,E564,0
2025-12-23,21118867,E568,1
2025-12-23,21118867,E569,1
2025-12-23,21121751,A668,9
2025-12-23,21121751,A672,78
2025-12-23,21121751,A673,101
2025-12-23,21121751,A680,26
2025-12-23,21121751,A715,7
2025-12-23,21121751,A716,16
2025-12-23,21121751,C816,88
2025-12-23,21121751,C819,17
2025-12-23,21121751,D767,17
2025-12-23,21121751,D901,37
2025-12-23,21121751,E556,11
2025-12-23,21121751,E564,2
2025-12-23,21121752,A668,5
2025-12-23,21121752,A672,60
2025-12-23,21121752,A673,25
2025-12-23,21121752,A680,1
2025-12-23,21121752,A715,2
2025-12-23,21121752,A716,3
2025-12-23,21121752,C816,40
2025-12-23,21121752,C819,9
2025-12-23,21121752,D767,13
2025-12-23,21121752,E556,4
2025-12-23,21121752,E564,2
2025-12-23,21121756,A668,0
2025-12-23,21121756,A672,0
2025-12-23,21121756,A673,0
2025-12-23,21121756,A680,0
2025-12-23,21121756,A715,4
2025-12-23,21121756,A716,5
2025-12-23,21121756,C810,2
2025-12-23,21121756,C816,0
2025-12-23,21121756,C819,2
2025-12-23,21121756,C937,0
2025-12-23,21121756,D767,0
2025-12-23,21121756,D901,0
2025-12-23,21121756,E556,3
2025-12-23,21121756,E564,0
2025-12-23,21121756,E568,0
2025-12-23,21121756,E569,0
2025-12-23,21127730,A668,135
2025-12-23,21127730,A672,104
2025-12-23,21127730,A673,139
2025-12-23,21127730,A680,58
2025-12-23,21127730,A715,22
2025-12-23,21127730,A716,30
2025-12-23,21127730,C563,69
2025-12-23,21127730,C810,2
2025-12-23,21127730,C816,141
2025-12-23,21127730,C937,6
2025-12-23,21127730,D901,29
2025-12-23,21127730,E295,424
2025-12-23,21127730,E568,0
2025-12-23,21127799,A672,1876
2025-12-23,21127799,A673,202
2025-12-23,21127799,C816,157
2025-12-23,21127799,E556,162
2025-12-23,21127800,A672,1901
2025-12-23,21127800,A673,210
2025-12-23,21127800,C816,152
2025-12-23,21127800,E556,162
2025-12-23,21128067,A668,33
2025-12-23,21128067,A672,528
2025-12-23,21128067,A673,163
2025-12-23,21128067,A680,64
2025-12-23,21128067,A715,52
2025-12-23,21128067,A716,116
2025-12-23,21128067,C563,46
2025-12-23,21128067,C810,52
2025-12-23,21128067,C816,598
2025-12-23,21128067,C819,9
2025-12-23,21128067,C937,26
2025-12-23,21128067,D767,69
2025-12-23,21128067,D901,19
2025-12-23,21128067,E556,7
2025-12-23,21128067,E564,29
2025-12-23,21128067,E568,12
2025-12-23,21128067,E569,3
2025-12-23,21128377,A668,106
2025-12-23,21128377,A672,521
2025-12-23,21128377,A673,366
2025-12-23,21128377,A680,116
2025-12-23,21128377,A715,59
2025-12-23,21128377,A716,83
2025-12-23,21128377,C810,28
2025-12-23,21128377,C816,198
2025-12-23,21128377,C937,19
2025-12-23,21128377,D191,9
2025-12-23,21128377,D767,16
2025-12-23,21128377,D901,145
2025-12-23,21128377,E564,9
2025-12-23,21128377,E568,0
2025-12-23,21128377,E569,6
2025-12-23,21131984,D767,0
2025-12-23,21132752,A672,789
2025-12-23,21132752,C816,343
2025-12-23,21132758,A668,321
2025-12-23,21132758,A672,1236
2025-12-23,21132758,A673,521
2025-12-23,21132758,A680,289
2025-12-23,21132758,A715,98
2025-12-23,21132758,A716,129
2025-12-23,21132758,C563,53
2025-12-23,21132758,C810,39
2025-12-23,21132758,C816,606
2025-12-23,21132758,C819,8
2025-12-23,21132758,C937,54
2025-12-23,21132758,D191,9
2025-12-23,21132758,D767,44
2025-12-23,21132758,D901,290
2025-12-23,21132758,E295,78
2025-12-23,21132758,E556,93
2025-12-23,21132758,E564,57
2025-12-23,21132758,E568,5
2025-12-23,21132758,E569,17
2025-12-23,21132988,A668,229
2025-12-23,21132988,A672,313
2025-12-23,21132988,A673,272
2025-12-23,21132988,A680,58
2025-12-23,21132988,A715,38
2025-12-23,21132988,A716,95
2025-12-23,21132988,C563,34
2025-12-23,21132988,C810,37
2025-12-23,21132988,C816,197
2025-12-23,21132988,C819,30
2025-12-23,21132988,C937,24
2025-12-23,21132988,D191,17
2025-12-23,21132988,D767,119
2025-12-23,21132988,D901,68
2025-12-23,21132988,E556,23
2025-12-23,21132988,E564,54
2025-12-23,21132988,E568,14
2025-12-23,21132988,E569,6
2025-12-23,21133312,A668,112
2025-12-23,21133312,A672,95
2025-12-23,21133312,A673,237
2025-12-23,21133312,A680,56
2025-12-23,21133312,A715,19
2025-12-23,21133312,A716,35
2025-12-23,21133312,C810,0
2025-12-23,21133312,C816,98
2025-12-23,21133312,C937,17
2025-12-23,21133312,D191,9
2025-12-23,21133312,D767,6
2025-12-23,21133312,D901,81
2025-12-23,21133312,E564,6
2025-12-23,21133312,E568,0
2025-12-23,21133312,E569,5
2025-12-23,21133493,A672,4174
2025-12-23,21133493,A673,230
2025-12-23,21133493,C816,118
2025-12-23,21133493,E556,413
2025-12-23,21137618,A672,0
2025-12-23,21137618,A673,0
2025-12-23,21137618,C816,0
2025-12-23,21137618,E556,0
2025-12-23,21137621,A672,3238
2025-12-23,21137621,C816,992
2025-12-23,21137866,A668,346
2025-12-23,21137866,A672,740
2025-12-23,21137866,A673,495
2025-12-23,21137866,A680,57
2025-12-23,21137866,A715,145
2025-12-23,21137866,A716,210
2025-12-23,21137866,C563,25
2025-12-23,21137866,C810,90
2025-12-23,21137866,C816,389
2025-12-23,21137866,C819,54
2025-12-23,21137866,C937,37
2025-12-23,21137866,D191,27
2025-12-23,21137866,D767,135
2025-12-23,21137866,D901,64
2025-12-23,21137866,E556,26
2025-12-23,21137866,E564,83
2025-12-23,21137866,E568,14
2025-12-23,21137866,E569,22
2025-12-23,21138340,A672,4390
2025-12-23,21138340,A673,232
2025-12-23,21138340,C816,115
2025-12-23,21138340,E556,409
2025-12-23,21139445,A668,0
2025-12-23,21139445,A672,34
2025-12-23,21139445,A673,0
2025-12-23,21139445,A680,1
2025-12-23,21139445,A715,2
2025-12-23,21139445,A716,2
2025-12-23,21139445,C810,17
2025-12-23,21139445,C816,527
2025-12-23,21139445,C937,6
2025-12-23,21139445,D901,0
2025-12-23,21139445,E564,0
2025-12-23,21139445,E568,0
2025-12-23,21139445,E569,1
2025-12-23,21141769,A668,92
2025-12-23,21141769,A672,596
2025-12-23,21141769,A673,269
2025-12-23,21141769,A680,58
2025-12-23,21141769,A715,87
2025-12-23,21141769,A716,47
2025-12-23,21141769,C810,48
2025-12-23,21141769,C816,48
2025-12-23,21141769,C819,18
2025-12-23,21141769,C937,40
2025-12-23,21141769,D767,98
2025-12-23,21141769,D901,202
2025-12-23,21141769,E556,31
2025-12-23,21141769,E564,48
2025-12-23,21141769,E568,16
2025-12-23,21141769,E569,12
