date,material,sending,receiving,quantity,ori_deployment_uid,actual_ship_date,actual_delivery_date,type
2026-02-07,80848029,A673,D901,5,80848029|A673|D901|2026-02-07|net demand for normal|056586,2026-02-07,2026-02-09,delivery_shipment
2026-02-07,21128377,A673,D901,1,21128377|A673|D901|2026-02-07|net demand for forecast|055802,2026-02-07,2026-02-10,delivery_shipment
2026-02-07,21128377,A673,D901,1,21128377|A673|D901|2026-02-07|net demand for forecast|055803,2026-02-07,2026-02-09,delivery_shipment
2026-02-07,21128377,A673,D901,1,21128377|A673|D901|2026-02-07|net demand for forecast|055804,2026-02-07,2026-02-09,delivery_shipment
2026-02-07,21128377,A673,D901,1,21128377|A673|D901|2026-02-07|net demand for forecast|055805,2026-02-07,2026-02-09,delivery_shipment
2026-02-07,21137866,A673,D901,1,21137866|A673|D901|2026-02-07|net demand for forecast|055858,2026-02-07,2026-02-09,delivery_shipment
2026-02-07,21137866,A673,D901,1,21137866|A673|D901|2026-02-07|net demand for forecast|055859,2026-02-07,2026-02-09,delivery_shipment
2026-02-07,21137866,A673,D901,1,21137866|A673|D901|2026-02-07|net demand for forecast|055860,2026-02-07,2026-02-09,delivery_shipment
2026-02-07,21137866,A673,D901,1,21137866|A673|D901|2026-02-07|net demand for forecast|055861,2026-02-07,2026-02-09,delivery_shipment
2026-02-07,80804136,A673,D901,1,80804136|A673|D901|2026-02-07|net demand for forecast|056132,2026-02-07,2026-02-09,delivery_shipment
2026-02-07,80804136,A673,D901,1,80804136|A673|D901|2026-02-07|net demand for forecast|056133,2026-02-07,2026-02-09,delivery_shipment
2026-02-07,80804136,A673,D901,1,80804136|A673|D901|2026-02-07|net demand for forecast|056134,2026-02-07,2026-02-10,delivery_shipment
2026-02-07,80804136,A673,D901,1,80804136|A673|D901|2026-02-07|net demand for forecast|056135,2026-02-07,2026-02-09,delivery_shipment
2026-02-07,80807093,A673,D901,1,80807093|A673|D901|2026-02-07|net demand for forecast|056262,2026-02-07,2026-02-09,delivery_shipment
2026-02-07,80807093,A673,D901,1,80807093|A673|D901|2026-02-07|net demand for forecast|056263,2026-02-07,2026-02-09,delivery_shipment
2026-02-07,80807093,A673,D901,1,80807093|A673|D901|2026-02-07|net demand for forecast|056264,2026-02-07,2026-02-09,delivery_shipment
2026-02-07,80807095,A673,D901,1,80807095|A673|D901|2026-02-07|net demand for forecast|056266,2026-02-07,2026-02-09,delivery_shipment
2026-02-07,80807095,A673,D901,1,80807095|A673|D901|2026-02-07|net demand for forecast|056267,2026-02-07,2026-02-09,delivery_shipment
2026-02-07,80807095,A673,D901,1,80807095|A673|D901|2026-02-07|net demand for forecast|056268,2026-02-07,2026-02-09,delivery_shipment
2026-02-07,80807095,A673,D901,1,80807095|A673|D901|2026-02-07|net demand for forecast|056269,2026-02-07,2026-02-09,delivery_shipment
2026-02-07,80807105,A673,D901,7,80807105|A673|D901|2026-02-07|net demand for forecast|056370,2026-02-07,2026-02-09,delivery_shipment
2026-02-07,80807105,A673,D901,7,80807105|A673|D901|2026-02-07|net demand for forecast|056371,2026-02-07,2026-02-09,delivery_shipment
2026-02-07,80807105,A673,D901,7,80807105|A673|D901|2026-02-07|net demand for forecast|056372,2026-02-07,2026-02-09,delivery_shipment
2026-02-07,80807105,A673,D901,9,80807105|A673|D901|2026-02-07|net demand for forecast|056373,2026-02-07,2026-02-09,delivery_shipment
2026-02-07,80848021,A673,D901,1,80848021|A673|D901|2026-02-07|net demand for forecast|056503,2026-02-07,2026-02-09,delivery_shipment
2026-02-07,80848021,A673,D901,1,80848021|A673|D901|2026-02-07|net demand for forecast|056504,2026-02-07,2026-02-09,delivery_shipment
2026-02-07,80848021,A673,D901,1,80848021|A673|D901|2026-02-07|net demand for forecast|056505,2026-02-07,2026-02-09,delivery_shipment
2026-02-07,80848021,A673,D901,1,80848021|A673|D901|2026-02-07|net demand for forecast|056506,2026-02-07,2026-02-09,delivery_shipment
2026-02-07,80848026,A673,D901,37,80848026|A673|D901|2026-02-07|net demand for forecast|056545,2026-02-07,2026-02-09,delivery_shipment
2026-02-07,80848026,A673,D901,38,80848026|A673|D901|2026-02-07|net demand for forecast|056546,2026-02-07,2026-02-09,delivery_shipment
2026-02-07,80848026,A673,D901,38,80848026|A673|D901|2026-02-07|net demand for forecast|056547,2026-02-07,2026-02-09,delivery_shipment
2026-02-07,80848026,A673,D901,49,80848026|A673|D901|2026-02-07|net demand for forecast|056548,2026-02-07,2026-02-09,delivery_shipment
2026-02-07,80848029,A673,D901,2,80848029|A673|D901|2026-02-07|net demand for forecast|056582,2026-02-07,2026-02-09,delivery_shipment
2026-02-07,80848029,A673,D901,2,80848029|A673|D901|2026-02-07|net demand for forecast|056583,2026-02-07,2026-02-10,delivery_shipment
2026-02-07,80848029,A673,D901,2,80848029|A673|D901|2026-02-07|net demand for forecast|056584,2026-02-07,2026-02-10,delivery_shipment
2026-02-07,80848029,A673,D901,2,80848029|A673|D901|2026-02-07|net demand for forecast|056585,2026-02-07,2026-02-09,delivery_shipment
2026-02-07,21103372,A673,D901,13,21103372|A673|D901|2026-02-07|net demand for safety|055761,2026-02-07,2026-02-09,delivery_shipment
2026-02-07,21113405,A673,D901,1,21113405|A673|D901|2026-02-07|net demand for safety|055771,2026-02-07,2026-02-09,delivery_shipment
2026-02-07,21121751,A673,D901,7,21121751|A673|D901|2026-02-07|net demand for safety|055774,2026-02-07,2026-02-09,delivery_shipment
2026-02-07,21127730,A673,D901,2,21127730|A673|D901|2026-02-07|net demand for safety|055785,2026-02-07,2026-02-09,delivery_shipment
2026-02-07,21143102,A673,D901,6,21143102|A673|D901|2026-02-07|net demand for safety|055917,2026-02-07,2026-02-09,delivery_shipment
2026-02-07,21143103,A673,D901,2,21143103|A673|D901|2026-02-07|net demand for safety|055919,2026-02-07,2026-02-09,delivery_shipment
