date,material,receiving,quantity,ori_deployment_uid,vehicle_uid,actual_ship_date
2026-02-23,80807115,A716,1,80807115|0386|A716|2026-02-08|net demand for forecast|057246,20260208-0386-A716-Train-#1,2026-02-08
2026-02-23,80807115,A716,1,80807115|0386|A716|2026-02-08|net demand for forecast|057248,20260208-0386-A716-Train-#1,2026-02-08
2026-02-23,80807115,A716,1,80807115|0386|A716|2026-02-08|net demand for forecast|057249,20260208-0386-A716-Train-#1,2026-02-08
2026-02-23,80804136,A716,72,80804136|0386|A716|2026-02-09|net demand for safety|057998,20260209-0386-A716-Train-#1,2026-02-09
2026-02-23,80812103,A716,4,80812103|0386|A716|2026-02-09|net demand for safety|058241,20260209-0386-A716-Train-#1,2026-02-09
2026-02-23,21148509,A716,140,21148509|0386|A716|2026-02-09|push replenishment|057762,20260209-0386-A716-Train-#1,2026-02-09
2026-02-23,21155895,A716,50,21155895|0386|A716|2026-02-09|push replenishment|057794,20260209-0386-A716-Train-#1,2026-02-09
2026-02-23,21170683,A716,60,21170683|0386|A716|2026-02-09|push replenishment|057814,20260209-0386-A716-Train-#1,2026-02-09
2026-02-23,80812103,A716,43,80812103|0386|A716|2026-02-09|push replenishment|058242,20260209-0386-A716-Train-#1,2026-02-09
2026-02-23,80812110,A716,39,80812110|0386|A716|2026-02-09|push replenishment|058254,20260209-0386-A716-Train-#1,2026-02-09
2026-02-23,21315350,A715,50,21315350|0386|A715|2026-02-12|push replenishment|059963,20260212-0386-A715-Train-#1,2026-02-12
2026-02-23,21098519,A715,12,21098519|0386|A715|2026-02-13|net demand for safety|060404,20260213-0386-A715-Train-#1,2026-02-13
2026-02-23,21098519,A715,164,21098519|0386|A715|2026-02-13|push replenishment|060405,20260213-0386-A715-Train-#1,2026-02-13
2026-02-23,21128377,A715,96,21128377|0386|A715|2026-02-13|push replenishment|060437,20260213-0386-A715-Train-#1,2026-02-13
2026-02-23,21143102,A715,38,21143102|0386|A715|2026-02-13|push replenishment|060463,20260213-0386-A715-Train-#1,2026-02-13
2026-02-23,21419490,A715,196,21419490|0386|A715|2026-02-13|push replenishment|060555,20260213-0386-A715-Train-#1,2026-02-13
2026-02-23,21414747,A672,8,21414747|C816|A672|2026-02-13|net demand for forecast|060525,20260215-C816-A672-Train-#1,2026-02-15
2026-02-23,21414747,A672,8,21414747|C816|A672|2026-02-13|net demand for forecast|060526,20260215-C816-A672-Train-#1,2026-02-15
2026-02-23,21414747,A672,8,21414747|C816|A672|2026-02-13|net demand for forecast|060527,20260215-C816-A672-Train-#1,2026-02-15
2026-02-23,21414747,A672,8,21414747|C816|A672|2026-02-13|net demand for forecast|060528,20260215-C816-A672-Train-#1,2026-02-15
2026-02-23,21414747,A672,8,21414747|C816|A672|2026-02-13|net demand for forecast|060529,20260215-C816-A672-Train-#1,2026-02-15
2026-02-23,21414747,A672,8,21414747|C816|A672|2026-02-13|net demand for forecast|060530,20260215-C816-A672-Train-#1,2026-02-15
2026-02-23,21414747,A672,8,21414747|C816|A672|2026-02-13|net demand for forecast|060531,20260215-C816-A672-Train-#1,2026-02-15
2026-02-23,21419485,A672,2,21419485|C816|A672|2026-02-13|net demand for forecast|060540,20260215-C816-A672-Train-#1,2026-02-15
2026-02-23,21419485,A672,2,21419485|C816|A672|2026-02-13|net demand for forecast|060541,20260215-C816-A672-Train-#1,2026-02-15
