date,material,receiving,quantity,ori_deployment_uid,vehicle_uid,actual_ship_date
2026-01-15,21128377,A716,4,21128377|0386|A716|2025-12-31|net demand for forecast|009205,20251231-0386-A716-Train-#1,2025-12-31
2026-01-15,21128377,A716,5,21128377|0386|A716|2025-12-31|net demand for forecast|009208,20251231-0386-A716-Train-#1,2025-12-31
2026-01-15,21128377,A716,6,21128377|0386|A716|2025-12-31|net demand for forecast|009215,20251231-0386-A716-Train-#1,2025-12-31
2026-01-15,21128377,A716,6,21128377|0386|A716|2025-12-31|net demand for forecast|009216,20251231-0386-A716-Train-#1,2025-12-31
2026-01-15,21128377,A716,7,21128377|0386|A716|2025-12-31|net demand for forecast|009219,20251231-0386-A716-Train-#1,2025-12-31
2026-01-15,21128377,A716,7,21128377|0386|A716|2025-12-31|net demand for forecast|009222,20251231-0386-A716-Train-#1,2025-12-31
2026-01-15,21151196,A716,2,21151196|0386|A716|2025-12-31|net demand for forecast|009377,20251231-0386-A716-Train-#1,2025-12-31
2026-01-15,21314602,A716,1,21314602|0386|A716|2025-12-31|net demand for forecast|009484,20251231-0386-A716-Train-#1,2025-12-31
2026-01-15,21352461,A716,1,21352461|0386|A716|2025-12-31|net demand for forecast|009550,20251231-0386-A716-Train-#1,2025-12-31
2026-01-15,21352461,A716,2,21352461|0386|A716|2025-12-31|net demand for forecast|009554,20251231-0386-A716-Train-#1,2025-12-31
2026-01-15,80807091,A716,1,80807091|0386|A716|2025-12-31|net demand for forecast|009775,20251231-0386-A716-Train-#1,2025-12-31
2026-01-15,80807119,A716,1,80807119|0386|A716|2025-12-31|net demand for forecast|009936,20251231-0386-A716-Train-#1,2025-12-31
2026-01-15,80848026,A716,7,80848026|0386|A716|2025-12-31|net demand for forecast|010072,20251231-0386-A716-Train-#1,2025-12-31
2026-01-15,80848026,A716,8,80848026|0386|A716|2025-12-31|net demand for forecast|010077,20251231-0386-A716-Train-#1,2025-12-31
2026-01-15,80807102,A716,82,80807102|0386|A716|2025-12-31|net demand for safety|009843,20251231-0386-A716-Train-#1,2025-12-31
2026-01-15,21352461,A716,89,21352461|0386|A716|2025-12-31|push replenishment|009566,20251231-0386-A716-Train-#1,2025-12-31
2026-01-15,80848026,A715,2,80848026|0386|A715|2026-01-04|net demand for AO|013484,20260104-0386-A715-Train-#1,2026-01-04
2026-01-15,21176384,A715,1,21176384|0386|A715|2026-01-04|net demand for forecast|012771,20260104-0386-A715-Train-#1,2026-01-04
2026-01-15,21176384,A715,1,21176384|0386|A715|2026-01-04|net demand for forecast|012774,20260104-0386-A715-Train-#1,2026-01-04
2026-01-15,21315474,A715,6,21315474|0386|A715|2026-01-04|net demand for forecast|013013,20260104-0386-A715-Train-#1,2026-01-04
2026-01-15,80807115,A715,1,80807115|0386|A715|2026-01-04|net demand for forecast|013271,20260104-0386-A715-Train-#1,2026-01-04
2026-01-15,80848026,A715,138,80848026|0386|A715|2026-01-04|net demand for safety|013501,20260104-0386-A715-Train-#1,2026-01-04
2026-01-15,21315474,A715,84,21315474|0386|A715|2026-01-04|push replenishment|013018,20260104-0386-A715-Train-#1,2026-01-04
2026-01-15,21132988,A715,7,21132988|0386|A715|2026-01-05|net demand for normal|013759,20260105-0386-A715-Train-#1,2026-01-05
