date,material,location,quantity
2026-01-11,21029016,A668,29
2026-01-11,21029016,A672,90
2026-01-11,21029016,A673,67
2026-01-11,21029016,A680,0
2026-01-11,21029016,A715,4
2026-01-11,21029016,A716,0
2026-01-11,21029016,C810,5
2026-01-11,21029016,C816,29
2026-01-11,21029016,C819,5
2026-01-11,21029016,C937,8
2026-01-11,21029016,D767,4
2026-01-11,21029016,E556,6
2026-01-11,21029016,E564,13
2026-01-11,21029016,E568,4
2026-01-11,21029016,E569,12
2026-01-11,21098519,A668,513
2026-01-11,21098519,A672,592
2026-01-11,21098519,A673,1185
2026-01-11,21098519,A680,119
2026-01-11,21098519,A715,114
2026-01-11,21098519,A716,105
2026-01-11,21098519,C810,257
2026-01-11,21098519,C816,934
2026-01-11,21098519,C819,0
2026-01-11,21098519,C937,34
2026-01-11,21098519,D191,2
2026-01-11,21098519,D767,20
2026-01-11,21098519,D901,41
2026-01-11,21098519,E556,0
2026-01-11,21098519,E564,23
2026-01-11,21098519,E568,3
2026-01-11,21098519,E569,4
2026-01-11,21103371,A668,372
2026-01-11,21103371,A672,726
2026-01-11,21103371,A673,667
2026-01-11,21103371,A680,285
2026-01-11,21103371,A715,90
2026-01-11,21103371,A716,59
2026-01-11,21103371,C563,38
2026-01-11,21103371,C810,218
2026-01-11,21103371,C816,485
2026-01-11,21103371,C937,32
2026-01-11,21103371,D191,2
2026-01-11,21103371,D767,11
2026-01-11,21103371,D901,119
2026-01-11,21103371,E295,208
2026-01-11,21103371,E564,11
2026-01-11,21103371,E568,2
2026-01-11,21103371,E569,10
2026-01-11,21103372,A668,264
2026-01-11,21103372,A672,634
2026-01-11,21103372,A673,549
2026-01-11,21103372,A680,173
2026-01-11,21103372,A715,156
2026-01-11,21103372,A716,60
2026-01-11,21103372,C810,220
2026-01-11,21103372,C816,594
2026-01-11,21103372,C819,0
2026-01-11,21103372,C937,28
2026-01-11,21103372,D191,2
2026-01-11,21103372,D767,23
2026-01-11,21103372,D901,138
2026-01-11,21103372,E556,0
2026-01-11,21103372,E564,16
2026-01-11,21103372,E568,3
2026-01-11,21103372,E569,9
2026-01-11,21113405,A668,185
2026-01-11,21113405,A672,275
2026-01-11,21113405,A673,289
2026-01-11,21113405,A680,63
2026-01-11,21113405,A715,30
2026-01-11,21113405,A716,51
2026-01-11,21113405,C810,4
2026-01-11,21113405,C816,138
2026-01-11,21113405,C819,13
2026-01-11,21113405,C937,6
2026-01-11,21113405,D767,18
2026-01-11,21113405,D901,14
2026-01-11,21113405,E556,11
2026-01-11,21113405,E564,12
2026-01-11,21113405,E568,0
2026-01-11,21113405,E569,11
2026-01-11,21118864,A668,107
2026-01-11,21118864,A672,135
2026-01-11,21118864,A673,544
2026-01-11,21118864,A680,57
2026-01-11,21118864,A715,15
2026-01-11,21118864,A716,27
2026-01-11,21118864,C816,142
2026-01-11,21118864,C937,1
2026-01-11,21118864,D767,2
2026-01-11,21118864,D901,1
2026-01-11,21118864,E564,0
2026-01-11,21118867,A668,0
2026-01-11,21118867,A672,0
2026-01-11,21118867,A673,0
2026-01-11,21118867,A680,0
2026-01-11,21118867,A715,0
2026-01-11,21118867,A716,0
2026-01-11,21118867,C810,0
2026-01-11,21118867,C816,0
2026-01-11,21118867,C819,3
2026-01-11,21118867,C937,2
2026-01-11,21118867,D767,0
2026-01-11,21118867,D901,0
2026-01-11,21118867,E556,1
2026-01-11,21118867,E564,0
2026-01-11,21118867,E568,1
2026-01-11,21118867,E569,1
2026-01-11,21121751,A668,26
2026-01-11,21121751,A672,180
2026-01-11,21121751,A673,250
2026-01-11,21121751,A680,59
2026-01-11,21121751,A715,7
2026-01-11,21121751,A716,53
2026-01-11,21121751,C816,204
2026-01-11,21121751,C819,41
2026-01-11,21121751,D767,16
2026-01-11,21121751,D901,26
2026-01-11,21121751,E556,14
2026-01-11,21121751,E564,13
2026-01-11,21121752,A668,6
2026-01-11,21121752,A672,129
2026-01-11,21121752,A673,80
2026-01-11,21121752,A680,13
2026-01-11,21121752,A715,2
2026-01-11,21121752,A716,3
2026-01-11,21121752,C816,91
2026-01-11,21121752,C819,0
2026-01-11,21121752,D767,7
2026-01-11,21121752,E556,9
2026-01-11,21121752,E564,2
2026-01-11,21121756,A668,41
2026-01-11,21121756,A672,33
2026-01-11,21121756,A673,72
2026-01-11,21121756,A680,27
2026-01-11,21121756,A715,33
2026-01-11,21121756,A716,44
2026-01-11,21121756,C810,19
2026-01-11,21121756,C816,150
2026-01-11,21121756,C819,15
2026-01-11,21121756,C937,0
2026-01-11,21121756,D767,23
2026-01-11,21121756,D901,1
2026-01-11,21121756,E556,9
2026-01-11,21121756,E564,27
2026-01-11,21121756,E568,0
2026-01-11,21121756,E569,2
2026-01-11,21127730,A668,361
2026-01-11,21127730,A672,1878
2026-01-11,21127730,A673,338
2026-01-11,21127730,A680,478
2026-01-11,21127730,A715,85
2026-01-11,21127730,A716,37
2026-01-11,21127730,C563,43
2026-01-11,21127730,C810,1
2026-01-11,21127730,C816,916
2026-01-11,21127730,C937,4
2026-01-11,21127730,D901,13
2026-01-11,21127730,E295,255
2026-01-11,21127730,E568,0
2026-01-11,21127799,A672,1282
2026-01-11,21127799,A673,147
2026-01-11,21127799,C816,111
2026-01-11,21127799,E556,113
2026-01-11,21127800,A672,1420
2026-01-11,21127800,A673,141
2026-01-11,21127800,C816,100
2026-01-11,21127800,E556,110
2026-01-11,21128067,A668,404
2026-01-11,21128067,A672,697
2026-01-11,21128067,A673,309
2026-01-11,21128067,A680,127
2026-01-11,21128067,A715,187
2026-01-11,21128067,A716,189
2026-01-11,21128067,C563,14
2026-01-11,21128067,C810,96
2026-01-11,21128067,C816,821
2026-01-11,21128067,C819,0
2026-01-11,21128067,C937,13
2026-01-11,21128067,D767,41
2026-01-11,21128067,D901,94
2026-01-11,21128067,E556,2
2026-01-11,21128067,E564,40
2026-01-11,21128067,E568,1
2026-01-11,21128067,E569,8
2026-01-11,21128377,A668,213
2026-01-11,21128377,A672,595
2026-01-11,21128377,A673,479
2026-01-11,21128377,A680,181
2026-01-11,21128377,A715,147
2026-01-11,21128377,A716,0
2026-01-11,21128377,C810,13
2026-01-11,21128377,C816,258
2026-01-11,21128377,C937,18
2026-01-11,21128377,D191,0
2026-01-11,21128377,D767,9
2026-01-11,21128377,D901,92
2026-01-11,21128377,E564,7
2026-01-11,21128377,E568,0
2026-01-11,21128377,E569,6
2026-01-11,21131984,D767,0
2026-01-11,21132752,A672,565
2026-01-11,21132752,C816,203
2026-01-11,21132758,A668,326
2026-01-11,21132758,A672,1347
2026-01-11,21132758,A673,370
2026-01-11,21132758,A680,290
2026-01-11,21132758,A715,102
2026-01-11,21132758,A716,119
2026-01-11,21132758,C563,4
2026-01-11,21132758,C810,46
2026-01-11,21132758,C816,366
2026-01-11,21132758,C819,3
2026-01-11,21132758,C937,2
2026-01-11,21132758,D191,0
2026-01-11,21132758,D767,10
2026-01-11,21132758,D901,60
2026-01-11,21132758,E295,112
2026-01-11,21132758,E556,10
2026-01-11,21132758,E564,24
2026-01-11,21132758,E568,5
2026-01-11,21132758,E569,9
2026-01-11,21132988,A668,140
2026-01-11,21132988,A672,0
2026-01-11,21132988,A673,329
2026-01-11,21132988,A680,0
2026-01-11,21132988,A715,0
2026-01-11,21132988,A716,38
2026-01-11,21132988,C563,0
2026-01-11,21132988,C810,6
2026-01-11,21132988,C816,80
2026-01-11,21132988,C819,5
2026-01-11,21132988,C937,30
2026-01-11,21132988,D191,0
2026-01-11,21132988,D767,44
2026-01-11,21132988,D901,0
2026-01-11,21132988,E556,1
2026-01-11,21132988,E564,26
2026-01-11,21132988,E568,0
2026-01-11,21132988,E569,2
2026-01-11,21133312,A668,122
2026-01-11,21133312,A672,526
2026-01-11,21133312,A673,343
2026-01-11,21133312,A680,92
2026-01-11,21133312,A715,95
2026-01-11,21133312,A716,0
2026-01-11,21133312,C810,0
2026-01-11,21133312,C816,97
2026-01-11,21133312,C937,0
2026-01-11,21133312,D191,0
2026-01-11,21133312,D767,13
2026-01-11,21133312,D901,58
2026-01-11,21133312,E564,5
2026-01-11,21133312,E568,0
2026-01-11,21133312,E569,5
2026-01-11,21133493,A672,2807
2026-01-11,21133493,A673,141
2026-01-11,21133493,C816,81
2026-01-11,21133493,E556,293
2026-01-11,21137618,A672,0
2026-01-11,21137618,A673,0
2026-01-11,21137618,C816,0
2026-01-11,21137618,E556,0
2026-01-11,21137621,A672,2205
2026-01-11,21137621,C816,710
2026-01-11,21137866,A668,256
2026-01-11,21137866,A672,718
2026-01-11,21137866,A673,359
2026-01-11,21137866,A680,182
2026-01-11,21137866,A715,184
2026-01-11,21137866,A716,47
2026-01-11,21137866,C563,36
2026-01-11,21137866,C810,118
2026-01-11,21137866,C816,849
2026-01-11,21137866,C819,15
2026-01-11,21137866,C937,32
2026-01-11,21137866,D191,13
2026-01-11,21137866,D767,0
2026-01-11,21137866,D901,43
2026-01-11,21137866,E556,3
2026-01-11,21137866,E564,68
2026-01-11,21137866,E568,0
2026-01-11,21137866,E569,11
2026-01-11,21138340,A672,3031
2026-01-11,21138340,A673,165
2026-01-11,21138340,C816,78
2026-01-11,21138340,E556,285
2026-01-11,21139445,A668,106
2026-01-11,21139445,A672,181
2026-01-11,21139445,A673,281
2026-01-11,21139445,A680,65
2026-01-11,21139445,A715,124
2026-01-11,21139445,A716,166
2026-01-11,21139445,C810,121
2026-01-11,21139445,C816,972
2026-01-11,21139445,C937,5
2026-01-11,21139445,D901,16
2026-01-11,21139445,E564,0
2026-01-11,21139445,E568,0
2026-01-11,21139445,E569,1
2026-01-11,21141769,A668,122
2026-01-11,21141769,A672,106
2026-01-11,21141769,A673,205
2026-01-11,21141769,A680,0
2026-01-11,21141769,A715,7
2026-01-11,21141769,A716,0
2026-01-11,21141769,C810,18
2026-01-11,21141769,C816,56
2026-01-11,21141769,C819,35
2026-01-11,21141769,C937,23
2026-01-11,21141769,D767,36
2026-01-11,21141769,D901,3
2026-01-11,21141769,E556,12
2026-01-11,21141769,E564,9
2026-01-11,21141769,E568,3
2026-01-11,21141769,E569,1
2026-01-11,21142556,A672,852
2026-01-11,21142556,C810,217
2026-01-11,21142556,C816,190
2026-01-11,21142560,A672,1005
2026-01-11,21142560,C816,289
2026-01-11,21143102,A668,161
2026-01-11,21143102,A672,562
2026-01-11,21143102,A673,507
2026-01-11,21143102,A680,87
2026-01-11,21143102,A715,109
2026-01-11,21143102,A716,109
2026-01-11,21143102,C810,2
2026-01-11,21143102,C816,308
2026-01-11,21143102,C937,14
2026-01-11,21143102,D191,0
2026-01-11,21143102,D767,11
2026-01-11,21143102,D901,37
2026-01-11,21143102,E564,6
2026-01-11,21143102,E568,0
2026-01-11,21143102,E569,6
2026-01-11,21143103,A668,86
2026-01-11,21143103,A672,224
2026-01-11,21143103,A673,386
2026-01-11,21143103,A680,34
2026-01-11,21143103,A715,103
2026-01-11,21143103,A716,68
2026-01-11,21143103,C810,1
2026-01-11,21143103,C816,210
2026-01-11,21143103,C937,7
2026-01-11,21143103,D767,2
2026-01-11,21143103,D901,39
2026-01-11,21143103,E568,0
2026-01-11,21143103,E569,3
2026-01-11,21143110,A668,464
2026-01-11,21143110,A672,1155
2026-01-11,21143110,A673,198
