transit_uid,date,material,sending,receiving,actual_ship_date,actual_delivery_date,quantity,ori_deployment_uid,vehicle_uid
80838165|0386|A716|2026-01-23|net demand for AO|039090_transit_20260123-0386-A716-Train-#1,2026-02-06,80838165,0386,A716,2026-01-23,2026-02-07,2,80838165|0386|A716|2026-01-23|net demand for AO|039090,20260123-0386-A716-Train-#1
80838165|0386|A716|2026-01-23|net demand for forecast|039097_transit_20260123-0386-A716-Train-#1,2026-02-06,80838165,0386,A716,2026-01-23,2026-02-07,1,80838165|0386|A716|2026-01-23|net demand for forecast|039097,20260123-0386-A716-Train-#1
80838165|0386|A716|2026-01-23|net demand for forecast|039100_transit_20260123-0386-A716-Train-#1,2026-02-06,80838165,0386,A716,2026-01-23,2026-02-07,1,80838165|0386|A716|2026-01-23|net demand for forecast|039100,20260123-0386-A716-Train-#1
80804134|0386|A716|2026-01-23|net demand for safety|038554_transit_20260123-0386-A716-Train-#1,2026-02-06,80804134,0386,A716,2026-01-23,2026-02-07,39,80804134|0386|A716|2026-01-23|net demand for safety|038554,20260123-0386-A716-Train-#1
80838165|0386|A716|2026-01-23|net demand for safety|039110_transit_20260123-0386-A716-Train-#1,2026-02-06,80838165,0386,A716,2026-01-23,2026-02-07,13,80838165|0386|A716|2026-01-23|net demand for safety|039110,20260123-0386-A716-Train-#1
80807122|0386|A716|2026-01-24|net demand for AO|040010_transit_20260124-0386-A716-Train-#1,2026-02-06,80807122,0386,A716,2026-01-24,2026-02-07,1,80807122|0386|A716|2026-01-24|net demand for AO|040010,20260124-0386-A716-Train-#1
80807122|0386|A716|2026-01-24|net demand for AO|040011_transit_20260124-0386-A716-Train-#1,2026-02-06,80807122,0386,A716,2026-01-24,2026-02-07,1,80807122|0386|A716|2026-01-24|net demand for AO|040011,20260124-0386-A716-Train-#1
21132758|0386|A716|2026-01-24|net demand for forecast|039276_transit_20260124-0386-A716-Train-#1,2026-02-06,21132758,0386,A716,2026-01-24,2026-02-07,1,21132758|0386|A716|2026-01-24|net demand for forecast|039276,20260124-0386-A716-Train-#1
21132758|0386|A716|2026-01-24|net demand for forecast|039277_transit_20260124-0386-A716-Train-#1,2026-02-06,21132758,0386,A716,2026-01-24,2026-02-08,1,21132758|0386|A716|2026-01-24|net demand for forecast|039277,20260124-0386-A716-Train-#1
21132758|0386|A716|2026-01-24|net demand for forecast|039278_transit_20260124-0386-A716-Train-#1,2026-02-06,21132758,0386,A716,2026-01-24,2026-02-08,1,21132758|0386|A716|2026-01-24|net demand for forecast|039278,20260124-0386-A716-Train-#1
21132758|0386|A716|2026-01-24|net demand for forecast|039279_transit_20260124-0386-A716-Train-#1,2026-02-06,21132758,0386,A716,2026-01-24,2026-02-07,1,21132758|0386|A716|2026-01-24|net demand for forecast|039279,20260124-0386-A716-Train-#1
21132758|0386|A716|2026-01-24|net demand for forecast|039280_transit_20260124-0386-A716-Train-#1,2026-02-06,21132758,0386,A716,2026-01-24,2026-02-07,1,21132758|0386|A716|2026-01-24|net demand for forecast|039280,20260124-0386-A716-Train-#1
21132758|0386|A716|2026-01-24|net demand for forecast|039281_transit_20260124-0386-A716-Train-#1,2026-02-06,21132758,0386,A716,2026-01-24,2026-02-08,1,21132758|0386|A716|2026-01-24|net demand for forecast|039281,20260124-0386-A716-Train-#1
21132758|0386|A716|2026-01-24|net demand for forecast|039282_transit_20260124-0386-A716-Train-#1,2026-02-06,21132758,0386,A716,2026-01-24,2026-02-07,1,21132758|0386|A716|2026-01-24|net demand for forecast|039282,20260124-0386-A716-Train-#1
21132758|0386|A716|2026-01-24|net demand for forecast|039283_transit_20260124-0386-A716-Train-#1,2026-02-06,21132758,0386,A716,2026-01-24,2026-02-07,1,21132758|0386|A716|2026-01-24|net demand for forecast|039283,20260124-0386-A716-Train-#1
21132758|0386|A716|2026-01-24|net demand for forecast|039284_transit_20260124-0386-A716-Train-#1,2026-02-06,21132758,0386,A716,2026-01-24,2026-02-08,1,21132758|0386|A716|2026-01-24|net demand for forecast|039284,20260124-0386-A716-Train-#1
21132758|0386|A716|2026-01-24|net demand for forecast|039285_transit_20260124-0386-A716-Train-#1,2026-02-06,21132758,0386,A716,2026-01-24,2026-02-07,1,21132758|0386|A716|2026-01-24|net demand for forecast|039285,20260124-0386-A716-Train-#1
21132758|0386|A716|2026-01-24|net demand for forecast|039286_transit_20260124-0386-A716-Train-#1,2026-02-06,21132758,0386,A716,2026-01-24,2026-02-07,1,21132758|0386|A716|2026-01-24|net demand for forecast|039286,20260124-0386-A716-Train-#1
21132758|0386|A716|2026-01-24|net demand for forecast|039287_transit_20260124-0386-A716-Train-#1,2026-02-06,21132758,0386,A716,2026-01-24,2026-02-07,1,21132758|0386|A716|2026-01-24|net demand for forecast|039287,20260124-0386-A716-Train-#1
21132758|0386|A716|2026-01-24|net demand for forecast|039288_transit_20260124-0386-A716-Train-#1,2026-02-06,21132758,0386,A716,2026-01-24,2026-02-07,1,21132758|0386|A716|2026-01-24|net demand for forecast|039288,20260124-0386-A716-Train-#1
21132758|0386|A716|2026-01-24|net demand for forecast|039289_transit_20260124-0386-A716-Train-#1,2026-02-06,21132758,0386,A716,2026-01-24,2026-02-07,1,21132758|0386|A716|2026-01-24|net demand for forecast|039289,20260124-0386-A716-Train-#1
21132758|0386|A716|2026-01-24|net demand for forecast|039290_transit_20260124-0386-A716-Train-#1,2026-02-06,21132758,0386,A716,2026-01-24,2026-02-07,1,21132758|0386|A716|2026-01-24|net demand for forecast|039290,20260124-0386-A716-Train-#1
21132758|0386|A716|2026-01-24|net demand for forecast|039291_transit_20260124-0386-A716-Train-#1,2026-02-06,21132758,0386,A716,2026-01-24,2026-02-07,1,21132758|0386|A716|2026-01-24|net demand for forecast|039291,20260124-0386-A716-Train-#1
21132758|0386|A716|2026-01-24|net demand for forecast|039292_transit_20260124-0386-A716-Train-#1,2026-02-06,21132758,0386,A716,2026-01-24,2026-02-07,1,21132758|0386|A716|2026-01-24|net demand for forecast|039292,20260124-0386-A716-Train-#1
