material,sending,receiving,planned_deployment_date,deployed_qty,demand_element,ori_deployment_uid
21434946,A673,D901,2025-12-15,1,net demand for normal,21434946|A673|D901|2025-12-15|net demand for normal|000017
80839736,A672,E556,2026-01-09,11,net demand for normal,80839736|A672|E556|2026-01-09|net demand for normal|020128
21029016,C816,D767,2026-01-10,1,net demand for forecast,21029016|C816|D767|2026-01-10|net demand for forecast|020432
21029016,C816,D767,2026-01-10,1,net demand for forecast,21029016|C816|D767|2026-01-10|net demand for forecast|020433
21029016,C816,D767,2026-01-10,1,net demand for forecast,21029016|C816|D767|2026-01-10|net demand for forecast|020434
21029016,C816,D767,2026-01-10,1,net demand for forecast,21029016|C816|D767|2026-01-10|net demand for forecast|020435
80839736,A672,E556,2026-01-10,59,net demand for normal,80839736|A672|E556|2026-01-10|net demand for normal|021564
80839736,A672,E556,2026-01-11,9,net demand for normal,80839736|A672|E556|2026-01-11|net demand for normal|023408
21121752,C816,D767,2026-02-03,1,net demand for safety,21121752|C816|D767|2026-02-03|net demand for safety|051759
21377504,C816,D767,2026-02-03,1,net demand for safety,21377504|C816|D767|2026-02-03|net demand for safety|052045
21314602,C816,D767,2026-02-04,2,net demand for safety,21314602|C816|D767|2026-02-04|net demand for safety|053054
21377504,C816,D767,2026-02-04,1,net demand for safety,21377504|C816|D767|2026-02-04|net demand for safety|053097
80840976,C816,D767,2026-02-04,1,net demand for safety,80840976|C816|D767|2026-02-04|net demand for safety|053683
21314602,C816,D767,2026-02-05,3,net demand for safety,21314602|C816|D767|2026-02-05|net demand for safety|054100
21377504,C816,D767,2026-02-05,1,net demand for safety,21377504|C816|D767|2026-02-05|net demand for safety|054115
80804127,C816,D767,2026-02-05,3,net demand for safety,80804127|C816|D767|2026-02-05|net demand for safety|054227
80840976,C816,D767,2026-02-05,2,net demand for safety,80840976|C816|D767|2026-02-05|net demand for safety|054740
80851898,C816,D767,2026-02-05,1,net demand for safety,80851898|C816|D767|2026-02-05|net demand for safety|054897
21118867,C816,D767,2026-02-06,1,net demand for safety,21118867|C816|D767|2026-02-06|net demand for safety|055002
21162696,C816,D767,2026-02-06,1,net demand for safety,21162696|C816|D767|2026-02-06|net demand for safety|055078
21314602,C816,D767,2026-02-06,3,net demand for safety,21314602|C816|D767|2026-02-06|net demand for safety|055100
80804127,C816,D767,2026-02-06,1,net demand for safety,80804127|C816|D767|2026-02-06|net demand for safety|055195
80840976,C816,D767,2026-02-06,1,net demand for safety,80840976|C816|D767|2026-02-06|net demand for safety|055595
80851898,C816,D767,2026-02-06,1,net demand for safety,80851898|C816|D767|2026-02-06|net demand for safety|055684
80864469,C816,D767,2026-02-06,3,net demand for safety,80864469|C816|D767|2026-02-06|net demand for safety|055703
21121752,C816,D767,2026-02-07,1,net demand for safety,21121752|C816|D767|2026-02-07|net demand for safety|055784
