transit_uid,date,material,sending,receiving,actual_ship_date,actual_delivery_date,quantity,ori_deployment_uid,vehicle_uid
21291975|0386|A715|2025-12-19|net demand for forecast|000304_transit_20251219-0386-A715-Train-#1,2025-12-29,21291975,0386,A715,2025-12-19,2025-12-30,2,21291975|0386|A715|2025-12-19|net demand for forecast|000304,20251219-0386-A715-Train-#1
21301637|0386|A715|2025-12-19|net demand for forecast|000397_transit_20251219-0386-A715-Train-#1,2025-12-29,21301637,0386,A715,2025-12-19,2025-12-30,1,21301637|0386|A715|2025-12-19|net demand for forecast|000397,20251219-0386-A715-Train-#1
21301637|0386|A715|2025-12-19|net demand for forecast|000408_transit_20251219-0386-A715-Train-#1,2025-12-29,21301637,0386,A715,2025-12-19,2025-12-30,3,21301637|0386|A715|2025-12-19|net demand for forecast|000408,20251219-0386-A715-Train-#1
21301637|0386|A715|2025-12-19|net demand for safety|000412_transit_20251219-0386-A715-Train-#1,2025-12-29,21301637,0386,A715,2025-12-19,2025-12-30,7,21301637|0386|A715|2025-12-19|net demand for safety|000412,20251219-0386-A715-Train-#1
21291975|0386|A716|2025-12-19|net demand for normal|000325_transit_20251219-0386-A716-Train-#1,2025-12-29,21291975,0386,A716,2025-12-19,2026-01-02,2,21291975|0386|A716|2025-12-19|net demand for normal|000325,20251219-0386-A716-Train-#1
21357021|0386|A716|2025-12-19|net demand for normal|000565_transit_20251219-0386-A716-Train-#1,2025-12-29,21357021,0386,A716,2025-12-19,2026-01-02,26,21357021|0386|A716|2025-12-19|net demand for normal|000565,20251219-0386-A716-Train-#1
21376841|0386|A716|2025-12-19|net demand for normal|000653_transit_20251219-0386-A716-Train-#1,2025-12-29,21376841,0386,A716,2025-12-19,2026-01-03,23,21376841|0386|A716|2025-12-19|net demand for normal|000653,20251219-0386-A716-Train-#1
21143102|0386|A716|2025-12-19|net demand for forecast|000228_transit_20251219-0386-A716-Train-#1,2025-12-29,21143102,0386,A716,2025-12-19,2026-01-02,2,21143102|0386|A716|2025-12-19|net demand for forecast|000228,20251219-0386-A716-Train-#1
21143102|0386|A716|2025-12-19|net demand for forecast|000229_transit_20251219-0386-A716-Train-#1,2025-12-29,21143102,0386,A716,2025-12-19,2026-01-03,2,21143102|0386|A716|2025-12-19|net demand for forecast|000229,20251219-0386-A716-Train-#1
21143102|0386|A716|2025-12-19|net demand for forecast|000230_transit_20251219-0386-A716-Train-#1,2025-12-29,21143102,0386,A716,2025-12-19,2026-01-03,2,21143102|0386|A716|2025-12-19|net demand for forecast|000230,20251219-0386-A716-Train-#1
21143102|0386|A716|2025-12-19|net demand for forecast|000231_transit_20251219-0386-A716-Train-#1,2025-12-29,21143102,0386,A716,2025-12-19,2026-01-02,2,21143102|0386|A716|2025-12-19|net demand for forecast|000231,20251219-0386-A716-Train-#1
21143102|0386|A716|2025-12-19|net demand for forecast|000232_transit_20251219-0386-A716-Train-#1,2025-12-29,21143102,0386,A716,2025-12-19,2026-01-02,2,21143102|0386|A716|2025-12-19|net demand for forecast|000232,20251219-0386-A716-Train-#1
21143102|0386|A716|2025-12-19|net demand for forecast|000233_transit_20251219-0386-A716-Train-#1,2025-12-29,21143102,0386,A716,2025-12-19,2026-01-02,2,21143102|0386|A716|2025-12-19|net demand for forecast|000233,20251219-0386-A716-Train-#1
21143102|0386|A716|2025-12-19|net demand for forecast|000234_transit_20251219-0386-A716-Train-#1,2025-12-29,21143102,0386,A716,2025-12-19,2026-01-02,2,21143102|0386|A716|2025-12-19|net demand for forecast|000234,20251219-0386-A716-Train-#1
21143102|0386|A716|2025-12-19|net demand for forecast|000235_transit_20251219-0386-A716-Train-#1,2025-12-29,21143102,0386,A716,2025-12-19,2026-01-02,2,21143102|0386|A716|2025-12-19|net demand for forecast|000235,20251219-0386-A716-Train-#1
21143102|0386|A716|2025-12-19|net demand for forecast|000236_transit_20251219-0386-A716-Train-#1,2025-12-29,21143102,0386,A716,2025-12-19,2026-01-02,2,21143102|0386|A716|2025-12-19|net demand for forecast|000236,20251219-0386-A716-Train-#1
21143102|0386|A716|2025-12-19|net demand for forecast|000237_transit_20251219-0386-A716-Train-#1,2025-12-29,21143102,0386,A716,2025-12-19,2026-01-02,2,21143102|0386|A716|2025-12-19|net demand for forecast|000237,20251219-0386-A716-Train-#1
21143102|0386|A716|2025-12-19|net demand for forecast|000238_transit_20251219-0386-A716-Train-#1,2025-12-29,21143102,0386,A716,2025-12-19,2026-01-02,2,21143102|0386|A716|2025-12-19|net demand for forecast|000238,20251219-0386-A716-Train-#1
21143102|0386|A716|2025-12-19|net demand for forecast|000239_transit_20251219-0386-A716-Train-#1,2025-12-29,21143102,0386,A716,2025-12-19,2026-01-02,2,21143102|0386|A716|2025-12-19|net demand for forecast|000239,20251219-0386-A716-Train-#1
21143102|0386|A716|2025-12-19|net demand for forecast|000240_transit_20251219-0386-A716-Train-#1,2025-12-29,21143102,0386,A716,2025-12-19,2026-01-02,3,21143102|0386|A716|2025-12-19|net demand for forecast|000240,20251219-0386-A716-Train-#1
21143102|0386|A716|2025-12-19|net demand for forecast|000241_transit_20251219-0386-A716-Train-#1,2025-12-29,21143102,0386,A716,2025-12-19,2026-01-02,3,21143102|0386|A716|2025-12-19|net demand for forecast|000241,20251219-0386-A716-Train-#1
21143102|0386|A716|2025-12-19|net demand for forecast|000242_transit_20251219-0386-A716-Train-#1,2025-12-29,21143102,0386,A716,2025-12-19,2026-01-02,3,21143102|0386|A716|2025-12-19|net demand for forecast|000242,20251219-0386-A716-Train-#1
21143102|0386|A716|2025-12-19|net demand for forecast|000243_transit_20251219-0386-A716-Train-#1,2025-12-29,21143102,0386,A716,2025-12-19,2026-01-02,3,21143102|0386|A716|2025-12-19|net demand for forecast|000243,20251219-0386-A716-Train-#1
21143102|0386|A716|2025-12-19|net demand for forecast|000244_transit_20251219-0386-A716-Train-#1,2025-12-29,21143102,0386,A716,2025-12-19,2026-01-02,3,21143102|0386|A716|2025-12-19|net demand for forecast|000244,20251219-0386-A716-Train-#1
21143102|0386|A716|2025-12-19|net demand for forecast|000245_transit_20251219-0386-A716-Train-#1,2025-12-29,21143102,0386,A716,2025-12-19,2026-01-02,3,21143102|0386|A716|2025-12-19|net demand for forecast|000245,20251219-0386-A716-Train-#1
21143102|0386|A716|2025-12-19|net demand for forecast|000246_transit_20251219-0386-A716-Train-#1,2025-12-29,21143102,0386,A716,2025-12-19,2026-01-02,3,21143102|0386|A716|2025-12-19|net demand for forecast|000246,20251219-0386-A716-Train-#1
21291975|0386|A716|2025-12-19|net demand for forecast|000311_transit_20251219-0386-A716-Train-#1,2025-12-29,21291975,0386,A716,2025-12-19,2026-01-02,1,21291975|0386|A716|2025-12-19|net demand for forecast|000311,20251219-0386-A716-Train-#1
21291975|0386|A716|2025-12-19|net demand for forecast|000312_transit_20251219-0386-A716-Train-#1,2025-12-29,21291975,0386,A716,2025-12-19,2026-01-02,1,21291975|0386|A716|2025-12-19|net demand for forecast|000312,20251219-0386-A716-Train-#1
