date,material,sending,receiving,quantity,ori_deployment_uid,actual_ship_date,actual_delivery_date,type
2026-02-04,21314875,A673,D901,4,21314875|A673|D901|2026-02-04|net demand for normal|053061,2026-02-04,2026-02-06,delivery_shipment
2026-02-04,80848029,A673,D901,3,80848029|A673|D901|2026-02-04|net demand for normal|053795,2026-02-04,2026-02-07,delivery_shipment
2026-02-04,21132758,A673,D901,10,21132758|A673|D901|2026-02-04|net demand for forecast|052949,2026-02-04,2026-02-06,delivery_shipment
2026-02-04,21132758,A673,D901,10,21132758|A673|D901|2026-02-04|net demand for forecast|052950,2026-02-04,2026-02-06,delivery_shipment
2026-02-04,21132758,A673,D901,10,21132758|A673|D901|2026-02-04|net demand for forecast|052951,2026-02-04,2026-02-06,delivery_shipment
2026-02-04,21132758,A673,D901,10,21132758|A673|D901|2026-02-04|net demand for forecast|052952,2026-02-04,2026-02-06,delivery_shipment
2026-02-04,21132988,A673,D901,6,21132988|A673|D901|2026-02-04|net demand for forecast|052955,2026-02-04,2026-02-06,delivery_shipment
2026-02-04,21132988,A673,D901,6,21132988|A673|D901|2026-02-04|net demand for forecast|052956,2026-02-04,2026-02-06,delivery_shipment
2026-02-04,21132988,A673,D901,6,21132988|A673|D901|2026-02-04|net demand for forecast|052957,2026-02-04,2026-02-06,delivery_shipment
2026-02-04,21132988,A673,D901,6,21132988|A673|D901|2026-02-04|net demand for forecast|052958,2026-02-04,2026-02-06,delivery_shipment
2026-02-04,21133312,A673,D901,2,21133312|A673|D901|2026-02-04|net demand for forecast|052962,2026-02-04,2026-02-06,delivery_shipment
2026-02-04,21133312,A673,D901,2,21133312|A673|D901|2026-02-04|net demand for forecast|052963,2026-02-04,2026-02-07,delivery_shipment
2026-02-04,21133312,A673,D901,2,21133312|A673|D901|2026-02-04|net demand for forecast|052964,2026-02-04,2026-02-06,delivery_shipment
2026-02-04,21133312,A673,D901,2,21133312|A673|D901|2026-02-04|net demand for forecast|052965,2026-02-04,2026-02-06,delivery_shipment
2026-02-04,21137866,A673,D901,4,21137866|A673|D901|2026-02-04|net demand for forecast|052968,2026-02-04,2026-02-06,delivery_shipment
2026-02-04,21137866,A673,D901,4,21137866|A673|D901|2026-02-04|net demand for forecast|052969,2026-02-04,2026-02-06,delivery_shipment
2026-02-04,21137866,A673,D901,4,21137866|A673|D901|2026-02-04|net demand for forecast|052970,2026-02-04,2026-02-06,delivery_shipment
2026-02-04,21137866,A673,D901,4,21137866|A673|D901|2026-02-04|net demand for forecast|052971,2026-02-04,2026-02-06,delivery_shipment
2026-02-04,21151196,A673,D901,6,21151196|A673|D901|2026-02-04|net demand for forecast|053021,2026-02-04,2026-02-06,delivery_shipment
2026-02-04,21151196,A673,D901,6,21151196|A673|D901|2026-02-04|net demand for forecast|053022,2026-02-04,2026-02-06,delivery_shipment
2026-02-04,21151196,A673,D901,6,21151196|A673|D901|2026-02-04|net demand for forecast|053023,2026-02-04,2026-02-06,delivery_shipment
2026-02-04,21151196,A673,D901,6,21151196|A673|D901|2026-02-04|net demand for forecast|053024,2026-02-04,2026-02-06,delivery_shipment
2026-02-04,21314875,A673,D901,2,21314875|A673|D901|2026-02-04|net demand for forecast|053057,2026-02-04,2026-02-06,delivery_shipment
2026-02-04,21314875,A673,D901,2,21314875|A673|D901|2026-02-04|net demand for forecast|053058,2026-02-04,2026-02-06,delivery_shipment
2026-02-04,21314875,A673,D901,2,21314875|A673|D901|2026-02-04|net demand for forecast|053059,2026-02-04,2026-02-06,delivery_shipment
2026-02-04,21314875,A673,D901,2,21314875|A673|D901|2026-02-04|net demand for forecast|053060,2026-02-04,2026-02-06,delivery_shipment
2026-02-04,21315350,A673,D901,2,21315350|A673|D901|2026-02-04|net demand for forecast|053064,2026-02-04,2026-02-06,delivery_shipment
2026-02-04,21315350,A673,D901,2,21315350|A673|D901|2026-02-04|net demand for forecast|053065,2026-02-04,2026-02-06,delivery_shipment
2026-02-04,21315350,A673,D901,2,21315350|A673|D901|2026-02-04|net demand for forecast|053066,2026-02-04,2026-02-06,delivery_shipment
2026-02-04,21315350,A673,D901,2,21315350|A673|D901|2026-02-04|net demand for forecast|053067,2026-02-04,2026-02-06,delivery_shipment
2026-02-04,80804704,A673,D901,6,80804704|A673|D901|2026-02-04|net demand for forecast|053332,2026-02-04,2026-02-06,delivery_shipment
2026-02-04,80804704,A673,D901,7,80804704|A673|D901|2026-02-04|net demand for forecast|053333,2026-02-04,2026-02-06,delivery_shipment
2026-02-04,80804704,A673,D901,7,80804704|A673|D901|2026-02-04|net demand for forecast|053334,2026-02-04,2026-02-06,delivery_shipment
2026-02-04,80804704,A673,D901,7,80804704|A673|D901|2026-02-04|net demand for forecast|053335,2026-02-04,2026-02-07,delivery_shipment
