transit_uid,date,material,sending,receiving,actual_ship_date,actual_delivery_date,quantity,ori_deployment_uid,vehicle_uid
21121751|0386|A716|2025-12-23|net demand for forecast|002448_transit_20251223-0386-A716-Train-#1,2026-01-06,21121751,0386,A716,2025-12-23,2026-01-07,1,21121751|0386|A716|2025-12-23|net demand for forecast|002448,20251223-0386-A716-Train-#1
21121751|0386|A716|2025-12-23|net demand for forecast|002454_transit_20251223-0386-A716-Train-#1,2026-01-06,21121751,0386,A716,2025-12-23,2026-01-07,1,21121751|0386|A716|2025-12-23|net demand for forecast|002454,20251223-0386-A716-Train-#1
21121751|0386|A716|2025-12-23|net demand for forecast|002456_transit_20251223-0386-A716-Train-#1,2026-01-06,21121751,0386,A716,2025-12-23,2026-01-07,1,21121751|0386|A716|2025-12-23|net demand for forecast|002456,20251223-0386-A716-Train-#1
21121751|0386|A716|2025-12-23|net demand for forecast|002457_transit_20251223-0386-A716-Train-#1,2026-01-06,21121751,0386,A716,2025-12-23,2026-01-07,1,21121751|0386|A716|2025-12-23|net demand for forecast|002457,20251223-0386-A716-Train-#1
21414747|0386|A716|2025-12-23|net demand for forecast|002724_transit_20251223-0386-A716-Train-#1,2026-01-06,21414747,0386,A716,2025-12-23,2026-01-07,5,21414747|0386|A716|2025-12-23|net demand for forecast|002724,20251223-0386-A716-Train-#1
21414747|0386|A716|2025-12-23|net demand for forecast|002729_transit_20251223-0386-A716-Train-#1,2026-01-06,21414747,0386,A716,2025-12-23,2026-01-07,6,21414747|0386|A716|2025-12-23|net demand for forecast|002729,20251223-0386-A716-Train-#1
21414747|0386|A716|2025-12-23|net demand for forecast|002735_transit_20251223-0386-A716-Train-#1,2026-01-06,21414747,0386,A716,2025-12-23,2026-01-07,36,21414747|0386|A716|2025-12-23|net demand for forecast|002735,20251223-0386-A716-Train-#1
21291975|0386|A716|2025-12-24|net demand for normal|003060_transit_20251224-0386-A716-Train-#1,2026-01-06,21291975,0386,A716,2025-12-24,2026-01-07,1,21291975|0386|A716|2025-12-24|net demand for normal|003060,20251224-0386-A716-Train-#1
21376841|0386|A716|2025-12-24|net demand for normal|003183_transit_20251224-0386-A716-Train-#1,2026-01-06,21376841,0386,A716,2025-12-24,2026-01-08,30,21376841|0386|A716|2025-12-24|net demand for normal|003183,20251224-0386-A716-Train-#1
21376841|0386|A716|2025-12-24|net demand for forecast|003172_transit_20251224-0386-A716-Train-#1,2026-01-06,21376841,0386,A716,2025-12-24,2026-01-07,7,21376841|0386|A716|2025-12-24|net demand for forecast|003172,20251224-0386-A716-Train-#1
21376841|0386|A716|2025-12-24|net demand for forecast|003173_transit_20251224-0386-A716-Train-#1,2026-01-06,21376841,0386,A716,2025-12-24,2026-01-07,7,21376841|0386|A716|2025-12-24|net demand for forecast|003173,20251224-0386-A716-Train-#1
21376841|0386|A716|2025-12-24|net demand for forecast|003174_transit_20251224-0386-A716-Train-#1,2026-01-06,21376841,0386,A716,2025-12-24,2026-01-07,7,21376841|0386|A716|2025-12-24|net demand for forecast|003174,20251224-0386-A716-Train-#1
21376841|0386|A716|2025-12-24|net demand for forecast|003175_transit_20251224-0386-A716-Train-#1,2026-01-06,21376841,0386,A716,2025-12-24,2026-01-07,7,21376841|0386|A716|2025-12-24|net demand for forecast|003175,20251224-0386-A716-Train-#1
21376841|0386|A716|2025-12-24|net demand for forecast|003176_transit_20251224-0386-A716-Train-#1,2026-01-06,21376841,0386,A716,2025-12-24,2026-01-07,7,21376841|0386|A716|2025-12-24|net demand for forecast|003176,20251224-0386-A716-Train-#1
21376841|0386|A716|2025-12-24|net demand for forecast|003177_transit_20251224-0386-A716-Train-#1,2026-01-06,21376841,0386,A716,2025-12-24,2026-01-07,7,21376841|0386|A716|2025-12-24|net demand for forecast|003177,20251224-0386-A716-Train-#1
21376841|0386|A716|2025-12-24|net demand for forecast|003178_transit_20251224-0386-A716-Train-#1,2026-01-06,21376841,0386,A716,2025-12-24,2026-01-08,7,21376841|0386|A716|2025-12-24|net demand for forecast|003178,20251224-0386-A716-Train-#1
21376841|0386|A716|2025-12-24|net demand for forecast|003179_transit_20251224-0386-A716-Train-#1,2026-01-06,21376841,0386,A716,2025-12-24,2026-01-07,15,21376841|0386|A716|2025-12-24|net demand for forecast|003179,20251224-0386-A716-Train-#1
21376841|0386|A716|2025-12-24|net demand for forecast|003180_transit_20251224-0386-A716-Train-#1,2026-01-06,21376841,0386,A716,2025-12-24,2026-01-07,15,21376841|0386|A716|2025-12-24|net demand for forecast|003180,20251224-0386-A716-Train-#1
21376841|0386|A716|2025-12-24|net demand for forecast|003181_transit_20251224-0386-A716-Train-#1,2026-01-06,21376841,0386,A716,2025-12-24,2026-01-08,15,21376841|0386|A716|2025-12-24|net demand for forecast|003181,20251224-0386-A716-Train-#1
21376841|0386|A716|2025-12-24|net demand for forecast|003182_transit_20251224-0386-A716-Train-#1,2026-01-06,21376841,0386,A716,2025-12-24,2026-01-08,15,21376841|0386|A716|2025-12-24|net demand for forecast|003182,20251224-0386-A716-Train-#1
21419485|0386|A716|2025-12-24|net demand for forecast|003245_transit_20251224-0386-A716-Train-#1,2026-01-06,21419485,0386,A716,2025-12-24,2026-01-07,2,21419485|0386|A716|2025-12-24|net demand for forecast|003245,20251224-0386-A716-Train-#1
21419485|0386|A716|2025-12-24|net demand for forecast|003246_transit_20251224-0386-A716-Train-#1,2026-01-06,21419485,0386,A716,2025-12-24,2026-01-07,2,21419485|0386|A716|2025-12-24|net demand for forecast|003246,20251224-0386-A716-Train-#1
21419485|0386|A716|2025-12-24|net demand for forecast|003247_transit_20251224-0386-A716-Train-#1,2026-01-06,21419485,0386,A716,2025-12-24,2026-01-07,2,21419485|0386|A716|2025-12-24|net demand for forecast|003247,20251224-0386-A716-Train-#1
21419485|0386|A716|2025-12-24|net demand for forecast|003248_transit_20251224-0386-A716-Train-#1,2026-01-06,21419485,0386,A716,2025-12-24,2026-01-07,2,21419485|0386|A716|2025-12-24|net demand for forecast|003248,20251224-0386-A716-Train-#1
21419485|0386|A716|2025-12-24|net demand for forecast|003249_transit_20251224-0386-A716-Train-#1,2026-01-06,21419485,0386,A716,2025-12-24,2026-01-07,2,21419485|0386|A716|2025-12-24|net demand for forecast|003249,20251224-0386-A716-Train-#1
21419485|0386|A716|2025-12-24|net demand for forecast|003250_transit_20251224-0386-A716-Train-#1,2026-01-06,21419485,0386,A716,2025-12-24,2026-01-07,2,21419485|0386|A716|2025-12-24|net demand for forecast|003250,20251224-0386-A716-Train-#1
21419485|0386|A716|2025-12-24|net demand for forecast|003251_transit_20251224-0386-A716-Train-#1,2026-01-06,21419485,0386,A716,2025-12-24,2026-01-07,3,21419485|0386|A716|2025-12-24|net demand for forecast|003251,20251224-0386-A716-Train-#1
21419485|0386|A716|2025-12-24|net demand for forecast|003252_transit_20251224-0386-A716-Train-#1,2026-01-06,21419485,0386,A716,2025-12-24,2026-01-07,3,21419485|0386|A716|2025-12-24|net demand for forecast|003252,20251224-0386-A716-Train-#1
21419485|0386|A716|2025-12-24|net demand for forecast|003253_transit_20251224-0386-A716-Train-#1,2026-01-06,21419485,0386,A716,2025-12-24,2026-01-07,4,21419485|0386|A716|2025-12-24|net demand for forecast|003253,20251224-0386-A716-Train-#1
21419485|0386|A716|2025-12-24|net demand for forecast|003254_transit_20251224-0386-A716-Train-#1,2026-01-06,21419485,0386,A716,2025-12-24,2026-01-07,4,21419485|0386|A716|2025-12-24|net demand for forecast|003254,20251224-0386-A716-Train-#1
21419485|0386|A716|2025-12-24|net demand for forecast|003255_transit_20251224-0386-A716-Train-#1,2026-01-06,21419485,0386,A716,2025-12-24,2026-01-07,4,21419485|0386|A716|2025-12-24|net demand for forecast|003255,20251224-0386-A716-Train-#1
21419485|0386|A716|2025-12-24|net demand for forecast|003256_transit_20251224-0386-A716-Train-#1,2026-01-06,21419485,0386,A716,2025-12-24,2026-01-07,4,21419485|0386|A716|2025-12-24|net demand for forecast|003256,20251224-0386-A716-Train-#1
21419485|0386|A716|2025-12-24|net demand for forecast|003257_transit_20251224-0386-A716-Train-#1,2026-01-06,21419485,0386,A716,2025-12-24,2026-01-07,4,21419485|0386|A716|2025-12-24|net demand for forecast|003257,20251224-0386-A716-Train-#1
21419485|0386|A716|2025-12-24|net demand for forecast|003258_transit_20251224-0386-A716-Train-#1,2026-01-06,21419485,0386,A716,2025-12-24,2026-01-07,4,21419485|0386|A716|2025-12-24|net demand for forecast|003258,20251224-0386-A716-Train-#1
21419485|0386|A716|2025-12-24|net demand for forecast|003259_transit_20251224-0386-A716-Train-#1,2026-01-06,21419485,0386,A716,2025-12-24,2026-01-07,4,21419485|0386|A716|2025-12-24|net demand for forecast|003259,20251224-0386-A716-Train-#1
21419485|0386|A716|2025-12-24|net demand for forecast|003260_transit_20251224-0386-A716-Train-#1,2026-01-06,21419485,0386,A716,2025-12-24,2026-01-07,24,21419485|0386|A716|2025-12-24|net demand for forecast|003260,20251224-0386-A716-Train-#1
21419485|0386|A716|2025-12-24|net demand for forecast|003261_transit_20251224-0386-A716-Train-#1,2026-01-06,21419485,0386,A716,2025-12-24,2026-01-07,25,21419485|0386|A716|2025-12-24|net demand for forecast|003261,20251224-0386-A716-Train-#1
