date,material,location,quantity
2026-01-15,21029016,A668,13
2026-01-15,21029016,A672,0
2026-01-15,21029016,A673,15
2026-01-15,21029016,A680,0
2026-01-15,21029016,A715,0
2026-01-15,21029016,A716,0
2026-01-15,21029016,C810,1
2026-01-15,21029016,C816,0
2026-01-15,21029016,C819,5
2026-01-15,21029016,C937,3
2026-01-15,21029016,D767,2
2026-01-15,21029016,E556,0
2026-01-15,21029016,E564,11
2026-01-15,21029016,E568,4
2026-01-15,21029016,E569,8
2026-01-15,21098519,A668,483
2026-01-15,21098519,A672,1060
2026-01-15,21098519,A673,990
2026-01-15,21098519,A680,237
2026-01-15,21098519,A715,263
2026-01-15,21098519,A716,85
2026-01-15,21098519,C810,156
2026-01-15,21098519,C816,879
2026-01-15,21098519,C819,0
2026-01-15,21098519,C937,37
2026-01-15,21098519,D191,2
2026-01-15,21098519,D767,18
2026-01-15,21098519,D901,143
2026-01-15,21098519,E556,42
2026-01-15,21098519,E564,15
2026-01-15,21098519,E568,3
2026-01-15,21098519,E569,2
2026-01-15,21103371,A668,408
2026-01-15,21103371,A672,673
2026-01-15,21103371,A673,814
2026-01-15,21103371,A680,230
2026-01-15,21103371,A715,120
2026-01-15,21103371,A716,52
2026-01-15,21103371,C563,32
2026-01-15,21103371,C810,116
2026-01-15,21103371,C816,461
2026-01-15,21103371,C937,30
2026-01-15,21103371,D191,2
2026-01-15,21103371,D767,13
2026-01-15,21103371,D901,82
2026-01-15,21103371,E295,137
2026-01-15,21103371,E564,9
2026-01-15,21103371,E568,2
2026-01-15,21103371,E569,10
2026-01-15,21103372,A668,308
2026-01-15,21103372,A672,451
2026-01-15,21103372,A673,857
2026-01-15,21103372,A680,119
2026-01-15,21103372,A715,119
2026-01-15,21103372,A716,136
2026-01-15,21103372,C810,150
2026-01-15,21103372,C816,343
2026-01-15,21103372,C819,0
2026-01-15,21103372,C937,34
2026-01-15,21103372,D191,2
2026-01-15,21103372,D767,27
2026-01-15,21103372,D901,87
2026-01-15,21103372,E556,43
2026-01-15,21103372,E564,6
2026-01-15,21103372,E568,3
2026-01-15,21103372,E569,7
2026-01-15,21113405,A668,149
2026-01-15,21113405,A672,252
2026-01-15,21113405,A673,196
2026-01-15,21113405,A680,54
2026-01-15,21113405,A715,73
