transit_uid,date,material,sending,receiving,actual_ship_date,actual_delivery_date,quantity,ori_deployment_uid,vehicle_uid
21121756|0386|A716|2026-01-08|net demand for forecast|017771_transit_20260108-0386-A716-Train-#1,2026-01-21,21121756,0386,A716,2026-01-08,2026-01-22,1,21121756|0386|A716|2026-01-08|net demand for forecast|017771,20260108-0386-A716-Train-#1
21121756|0386|A716|2026-01-08|net demand for forecast|017772_transit_20260108-0386-A716-Train-#1,2026-01-21,21121756,0386,A716,2026-01-08,2026-01-22,1,21121756|0386|A716|2026-01-08|net demand for forecast|017772,20260108-0386-A716-Train-#1
21121756|0386|A716|2026-01-08|net demand for forecast|017773_transit_20260108-0386-A716-Train-#1,2026-01-21,21121756,0386,A716,2026-01-08,2026-01-22,1,21121756|0386|A716|2026-01-08|net demand for forecast|017773,20260108-0386-A716-Train-#1
21121756|0386|A716|2026-01-08|net demand for forecast|017774_transit_20260108-0386-A716-Train-#1,2026-01-21,21121756,0386,A716,2026-01-08,2026-01-22,1,21121756|0386|A716|2026-01-08|net demand for forecast|017774,20260108-0386-A716-Train-#1
21121756|0386|A716|2026-01-08|net demand for forecast|017775_transit_20260108-0386-A716-Train-#1,2026-01-21,21121756,0386,A716,2026-01-08,2026-01-22,1,21121756|0386|A716|2026-01-08|net demand for forecast|017775,20260108-0386-A716-Train-#1
21121756|0386|A716|2026-01-08|net demand for forecast|017776_transit_20260108-0386-A716-Train-#1,2026-01-21,21121756,0386,A716,2026-01-08,2026-01-22,1,21121756|0386|A716|2026-01-08|net demand for forecast|017776,20260108-0386-A716-Train-#1
21121756|0386|A716|2026-01-08|net demand for forecast|017777_transit_20260108-0386-A716-Train-#1,2026-01-21,21121756,0386,A716,2026-01-08,2026-01-22,1,21121756|0386|A716|2026-01-08|net demand for forecast|017777,20260108-0386-A716-Train-#1
21121756|0386|A716|2026-01-08|net demand for forecast|017778_transit_20260108-0386-A716-Train-#1,2026-01-21,21121756,0386,A716,2026-01-08,2026-01-22,1,21121756|0386|A716|2026-01-08|net demand for forecast|017778,20260108-0386-A716-Train-#1
21121756|0386|A716|2026-01-08|net demand for forecast|017779_transit_20260108-0386-A716-Train-#1,2026-01-21,21121756,0386,A716,2026-01-08,2026-01-22,1,21121756|0386|A716|2026-01-08|net demand for forecast|017779,20260108-0386-A716-Train-#1
21121756|0386|A716|2026-01-08|net demand for forecast|017780_transit_20260108-0386-A716-Train-#1,2026-01-21,21121756,0386,A716,2026-01-08,2026-01-22,1,21121756|0386|A716|2026-01-08|net demand for forecast|017780,20260108-0386-A716-Train-#1
21121756|0386|A716|2026-01-08|net demand for forecast|017781_transit_20260108-0386-A716-Train-#1,2026-01-21,21121756,0386,A716,2026-01-08,2026-01-22,1,21121756|0386|A716|2026-01-08|net demand for forecast|017781,20260108-0386-A716-Train-#1
21121756|0386|A716|2026-01-08|net demand for forecast|017782_transit_20260108-0386-A716-Train-#1,2026-01-21,21121756,0386,A716,2026-01-08,2026-01-22,1,21121756|0386|A716|2026-01-08|net demand for forecast|017782,20260108-0386-A716-Train-#1
21121756|0386|A716|2026-01-08|net demand for forecast|017783_transit_20260108-0386-A716-Train-#1,2026-01-21,21121756,0386,A716,2026-01-08,2026-01-22,1,21121756|0386|A716|2026-01-08|net demand for forecast|017783,20260108-0386-A716-Train-#1
21132758|0386|A716|2026-01-08|net demand for forecast|017884_transit_20260108-0386-A716-Train-#1,2026-01-21,21132758,0386,A716,2026-01-08,2026-01-22,1,21132758|0386|A716|2026-01-08|net demand for forecast|017884,20260108-0386-A716-Train-#1
21132758|0386|A716|2026-01-08|net demand for forecast|017885_transit_20260108-0386-A716-Train-#1,2026-01-21,21132758,0386,A716,2026-01-08,2026-01-22,1,21132758|0386|A716|2026-01-08|net demand for forecast|017885,20260108-0386-A716-Train-#1
21132758|0386|A716|2026-01-08|net demand for forecast|017886_transit_20260108-0386-A716-Train-#1,2026-01-21,21132758,0386,A716,2026-01-08,2026-01-22,1,21132758|0386|A716|2026-01-08|net demand for forecast|017886,20260108-0386-A716-Train-#1
21132758|0386|A716|2026-01-08|net demand for forecast|017887_transit_20260108-0386-A716-Train-#1,2026-01-21,21132758,0386,A716,2026-01-08,2026-01-22,1,21132758|0386|A716|2026-01-08|net demand for forecast|017887,20260108-0386-A716-Train-#1
21132758|0386|A716|2026-01-08|net demand for forecast|017888_transit_20260108-0386-A716-Train-#1,2026-01-21,21132758,0386,A716,2026-01-08,2026-01-22,1,21132758|0386|A716|2026-01-08|net demand for forecast|017888,20260108-0386-A716-Train-#1
