transit_uid,date,material,sending,receiving,actual_ship_date,actual_delivery_date,quantity,ori_deployment_uid,vehicle_uid
21325292|0386|A716|2026-01-31|net demand for forecast|048195_transit_20260131-0386-A716-Train-#1,2026-02-13,21325292,0386,A716,2026-01-31,2026-02-14,1,21325292|0386|A716|2026-01-31|net demand for forecast|048195,20260131-0386-A716-Train-#1
21325292|0386|A716|2026-01-31|net demand for forecast|048196_transit_20260131-0386-A716-Train-#1,2026-02-13,21325292,0386,A716,2026-01-31,2026-02-14,1,21325292|0386|A716|2026-01-31|net demand for forecast|048196,20260131-0386-A716-Train-#1
21325292|0386|A716|2026-01-31|net demand for forecast|048197_transit_20260131-0386-A716-Train-#1,2026-02-13,21325292,0386,A716,2026-01-31,2026-02-15,1,21325292|0386|A716|2026-01-31|net demand for forecast|048197,20260131-0386-A716-Train-#1
21325292|0386|A716|2026-01-31|net demand for forecast|048198_transit_20260131-0386-A716-Train-#1,2026-02-13,21325292,0386,A716,2026-01-31,2026-02-14,1,21325292|0386|A716|2026-01-31|net demand for forecast|048198,20260131-0386-A716-Train-#1
21325292|0386|A716|2026-01-31|net demand for forecast|048199_transit_20260131-0386-A716-Train-#1,2026-02-13,21325292,0386,A716,2026-01-31,2026-02-14,1,21325292|0386|A716|2026-01-31|net demand for forecast|048199,20260131-0386-A716-Train-#1
21325292|0386|A716|2026-01-31|net demand for forecast|048200_transit_20260131-0386-A716-Train-#1,2026-02-13,21325292,0386,A716,2026-01-31,2026-02-14,1,21325292|0386|A716|2026-01-31|net demand for forecast|048200,20260131-0386-A716-Train-#1
21325292|0386|A716|2026-01-31|net demand for forecast|048201_transit_20260131-0386-A716-Train-#1,2026-02-13,21325292,0386,A716,2026-01-31,2026-02-14,1,21325292|0386|A716|2026-01-31|net demand for forecast|048201,20260131-0386-A716-Train-#1
21325292|0386|A716|2026-01-31|net demand for forecast|048202_transit_20260131-0386-A716-Train-#1,2026-02-13,21325292,0386,A716,2026-01-31,2026-02-14,1,21325292|0386|A716|2026-01-31|net demand for forecast|048202,20260131-0386-A716-Train-#1
21325292|0386|A716|2026-01-31|net demand for forecast|048203_transit_20260131-0386-A716-Train-#1,2026-02-13,21325292,0386,A716,2026-01-31,2026-02-14,1,21325292|0386|A716|2026-01-31|net demand for forecast|048203,20260131-0386-A716-Train-#1
21325292|0386|A716|2026-01-31|net demand for forecast|048204_transit_20260131-0386-A716-Train-#1,2026-02-13,21325292,0386,A716,2026-01-31,2026-02-14,1,21325292|0386|A716|2026-01-31|net demand for forecast|048204,20260131-0386-A716-Train-#1
