date,material,location,beginning_inventory,production_gr,delivery_gr,shipment,delivery_ship,ending_inventory,calculated_ending,balance_diff
2025-10-09,8084340301,A668,3690,0,0,0,0.0,3690,3690.0,0.0
2025-10-09,8084340301,A680,1982,0,0,0,0.0,1982,1982.0,0.0
2025-10-09,80784369,C816,504,0,0,37,0.0,467,467.0,0.0
2025-10-09,80842339,C816,2327,0,0,0,0.0,2327,2327.0,0.0
2025-10-09,8080407701,C816,7893,0,0,20,0.0,7873,7873.0,0.0
2025-10-09,80784376,A668,1022,0,0,181,0.0,841,841.0,0.0
2025-10-09,80842339,D767,38,0,0,1,0.0,37,37.0,0.0
2025-10-09,8084233901,D191,18,0,0,10,0.0,8,8.0,0.0
2025-10-09,80784376,A680,1263,0,0,0,0.0,1263,1263.0,0.0
2025-10-09,8080407701,D767,74,0,0,7,0.0,67,67.0,0.0
2025-10-09,8084340301,C563,120,0,0,0,0.0,120,120.0,0.0
2025-10-09,80842334,A668,6061,0,0,9,0.0,6052,6052.0,0.0
2025-10-09,80858064,A668,674,0,0,12,0.0,662,662.0,0.0
2025-10-09,80842334,A680,2578,0,0,0,0.0,2578,2578.0,0.0
2025-10-09,80858064,A680,559,0,0,0,0.0,559,559.0,0.0
2025-10-09,80845182,A668,4666,0,0,243,0.0,4423,4423.0,0.0
2025-10-09,80845182,A888,16164,21131,0,275,25514.0,11506,11506.0,0.0
2025-10-09,80845182,A680,285,0,0,273,0.0,12,12.0,0.0
2025-10-09,80784368,C563,211,0,0,17,0.0,194,194.0,0.0
2025-10-09,8084233901,C816,2509,0,0,194,0.0,2315,2315.0,0.0
2025-10-09,8084234201,D191,333,0,0,26,0.0,307,307.0,0.0
2025-10-09,80845184,D191,94,0,0,19,0.0,75,75.0,0.0
2025-10-09,80786340,D191,1004,0,0,0,0.0,1004,1004.0,0.0
2025-10-09,8084233901,D767,29,0,0,0,0.0,29,29.0,0.0
2025-10-09,80784366,D191,882,0,0,0,0.0,882,882.0,0.0
2025-10-09,80842340,D767,65,0,0,5,0.0,60,60.0,0.0
2025-10-09,8078436601,A680,1288,0,0,0,0.0,1288,1288.0,0.0
2025-10-09,80845595,C816,912,0,0,0,0.0,912,912.0,0.0
2025-10-09,8084234201,C816,480,0,0,10,0.0,470,470.0,0.0
2025-10-09,80786340,C816,1468,0,0,169,0.0,1299,1299.0,0.0
2025-10-09,80842337,A668,554,0,0,9,0.0,545,545.0,0.0
2025-10-09,80842337,A680,265,0,0,0,0.0,265,265.0,0.0
2025-10-09,80842328,D767,472,0,0,47,0.0,425,425.0,0.0
2025-10-09,80845184,D767,181,0,0,0,0.0,181,181.0,0.0
2025-10-09,80784366,D767,386,0,0,17,0.0,369,369.0,0.0
2025-10-09,8084232501,D191,22,0,0,0,0.0,22,22.0,0.0
2025-10-09,80804077,D767,64,0,0,5,0.0,59,59.0,0.0
2025-10-09,80842337,C563,94,0,0,14,0.0,80,80.0,0.0
2025-10-09,8078436901,A668,2026,0,0,87,0.0,1939,1939.0,0.0
2025-10-09,8078436901,A680,298,0,0,0,0.0,298,298.0,0.0
2025-10-09,80799646,C563,105,0,0,0,0.0,105,105.0,0.0
2025-10-09,80784376,D191,741,0,0,42,0.0,699,699.0,0.0
2025-10-09,8084232501,C816,5296,0,0,610,0.0,4686,4686.0,0.0
2025-10-09,8085807601,A668,3922,0,0,99,0.0,3823,3823.0,0.0
2025-10-09,80845182,E295,29,0,0,6,0.0,23,23.0,0.0
2025-10-09,8085807601,A680,596,0,0,0,0.0,596,596.0,0.0
2025-10-09,80786340,E467,119,0,0,7,0.0,112,112.0,0.0
2025-10-09,80784366,E467,110,0,0,0,0.0,110,110.0,0.0
2025-10-09,8084340301,D767,119,0,0,0,0.0,119,119.0,0.0
2025-10-09,80842342,E295,141,0,0,22,0.0,119,119.0,0.0
2025-10-09,80784370,A668,3586,0,0,774,0.0,2812,2812.0,0.0
2025-10-09,80784376,C816,3015,0,0,225,0.0,2790,2790.0,0.0
2025-10-09,80784370,A680,3861,0,0,0,0.0,3861,3861.0,0.0
2025-10-09,8079964701,A668,2661,0,0,198,0.0,2463,2463.0,0.0
2025-10-09,80843403,A668,3812,0,0,99,0.0,3713,3713.0,0.0
2025-10-09,8079964701,A680,529,0,0,0,0.0,529,529.0,0.0
2025-10-09,8085806701,C816,2393,0,0,3,0.0,2390,2390.0,0.0
2025-10-09,80858076,A668,3773,0,0,94,0.0,3679,3679.0,0.0
2025-10-09,80858076,A680,596,0,0,0,0.0,596,596.0,0.0
2025-10-09,80842334,D767,60,0,0,8,0.0,52,52.0,0.0
2025-10-09,80858067,A668,770,0,0,6,0.0,764,764.0,0.0
2025-10-09,80845592,A668,544,0,0,32,0.0,512,512.0,0.0
2025-10-09,8078436601,D191,882,0,0,0,0.0,882,882.0,0.0
2025-10-09,80858067,A680,941,0,0,0,0.0,941,941.0,0.0
2025-10-09,80784370,C563,326,0,0,10,0.0,316,316.0,0.0
2025-10-09,80842337,E295,278,0,0,24,0.0,254,254.0,0.0
2025-10-09,80842325,A668,3992,0,0,194,0.0,3798,3798.0,0.0
2025-10-09,80842338,A668,691,0,0,137,0.0,554,554.0,0.0
2025-10-09,80845182,D767,423,0,0,0,0.0,423,423.0,0.0
2025-10-09,80842338,A680,422,0,0,0,0.0,422,422.0,0.0
2025-10-09,80842325,A680,3267,0,0,0,0.0,3267,3267.0,0.0
2025-10-09,80804079,C816,3652,0,0,243,0.0,3409,3409.0,0.0
2025-10-09,80799645,A668,806,0,0,153,0.0,653,653.0,0.0
2025-10-09,80799645,A680,1895,0,0,0,0.0,1895,1895.0,0.0
2025-10-09,8078436601,D767,367,0,0,7,0.0,360,360.0,0.0
2025-10-09,80799645,C563,54,0,0,13,0.0,41,41.0,0.0
2025-10-09,80842337,D767,214,0,0,18,0.0,196,196.0,0.0
