[2026-02-07 00:05:23] ============================================================
[2026-02-07 00:05:23] Auto-monitor started
[2026-02-07 00:05:23] Checking every 60s for completion of both runs
[2026-02-07 00:05:23] ============================================================
[2026-02-07 01:29:24] DB mode: day 75/76  | File mode: day 31/76 
[2026-02-07 01:30:24] DB mode: day 75/76  | File mode: day 31/76 
[2026-02-07 01:31:24] DB mode: day 75/76  | File mode: day 32/76 
[2026-02-07 01:32:24] DB mode: day 75/76  | File mode: day 32/76 
[2026-02-07 01:33:24] DB mode: day 75/76  | File mode: day 32/76 
[2026-02-07 01:34:24] DB mode: day 76/76 [DONE] | File mode: day 33/76 
[2026-02-07 01:35:24] DB mode: day 76/76 [DONE] | File mode: day 33/76 
[2026-02-07 01:36:24] DB mode: day 76/76 [DONE] | File mode: day 33/76 
[2026-02-07 01:37:24] DB mode: day 76/76 [DONE] | File mode: day 33/76 
[2026-02-07 01:38:24] DB mode: day 76/76 [DONE] | File mode: day 34/76 
[2026-02-07 01:39:25] DB mode: day 76/76 [DONE] | File mode: day 34/76 
[2026-02-07 01:40:25] DB mode: day 76/76 [DONE] | File mode: day 34/76 
[2026-02-07 01:41:25] DB mode: day 76/76 [DONE] | File mode: day 35/76 
[2026-02-07 01:42:25] DB mode: day 76/76 [DONE] | File mode: day 35/76 
[2026-02-07 01:43:25] DB mode: day 76/76 [DONE] | File mode: day 35/76 
[2026-02-07 01:44:25] DB mode: day 76/76 [DONE] | File mode: day 36/76 
[2026-02-07 01:45:25] DB mode: day 76/76 [DONE] | File mode: day 36/76 
[2026-02-07 01:46:25] DB mode: day 76/76 [DONE] | File mode: day 36/76 
[2026-02-07 01:47:25] DB mode: day 76/76 [DONE] | File mode: day 37/76 
[2026-02-07 01:48:25] DB mode: day 76/76 [DONE] | File mode: day 37/76 
[2026-02-07 01:49:25] DB mode: day 76/76 [DONE] | File mode: day 37/76 
[2026-02-07 01:50:25] DB mode: day 76/76 [DONE] | File mode: day 38/76 
[2026-02-07 01:51:25] DB mode: day 76/76 [DONE] | File mode: day 38/76 
[2026-02-07 01:52:25] DB mode: day 76/76 [DONE] | File mode: day 38/76 
[2026-02-07 01:53:25] DB mode: day 76/76 [DONE] | File mode: day 38/76 
[2026-02-07 01:54:25] DB mode: day 76/76 [DONE] | File mode: day 39/76 
[2026-02-07 01:55:25] DB mode: day 76/76 [DONE] | File mode: day 39/76 
[2026-02-07 01:56:25] DB mode: day 76/76 [DONE] | File mode: day 39/76 
[2026-02-07 01:57:25] DB mode: day 76/76 [DONE] | File mode: day 40/76 
[2026-02-07 01:58:25] DB mode: day 76/76 [DONE] | File mode: day 40/76 
[2026-02-07 01:59:25] DB mode: day 76/76 [DONE] | File mode: day 40/76 
[2026-02-07 02:00:25] DB mode: day 76/76 [DONE] | File mode: day 41/76 
[2026-02-07 02:01:25] DB mode: day 76/76 [DONE] | File mode: day 41/76 
[2026-02-07 02:02:25] DB mode: day 76/76 [DONE] | File mode: day 41/76 
[2026-02-07 02:03:25] DB mode: day 76/76 [DONE] | File mode: day 42/76 
[2026-02-07 02:04:25] DB mode: day 76/76 [DONE] | File mode: day 42/76 
[2026-02-07 02:05:25] DB mode: day 76/76 [DONE] | File mode: day 42/76 
[2026-02-07 02:06:25] DB mode: day 76/76 [DONE] | File mode: day 43/76 
[2026-02-07 02:07:25] DB mode: day 76/76 [DONE] | File mode: day 43/76 
[2026-02-07 02:08:25] DB mode: day 76/76 [DONE] | File mode: day 43/76 
[2026-02-07 02:09:25] DB mode: day 76/76 [DONE] | File mode: day 44/76 
[2026-02-07 02:10:25] DB mode: day 76/76 [DONE] | File mode: day 44/76 
[2026-02-07 02:11:25] DB mode: day 76/76 [DONE] | File mode: day 44/76 
[2026-02-07 02:12:25] DB mode: day 76/76 [DONE] | File mode: day 44/76 
[2026-02-07 02:13:25] DB mode: day 76/76 [DONE] | File mode: day 45/76 
[2026-02-07 02:14:25] DB mode: day 76/76 [DONE] | File mode: day 45/76 
[2026-02-07 02:15:25] DB mode: day 76/76 [DONE] | File mode: day 45/76 
[2026-02-07 02:16:25] DB mode: day 76/76 [DONE] | File mode: day 46/76 
[2026-02-07 02:17:25] DB mode: day 76/76 [DONE] | File mode: day 46/76 
[2026-02-07 02:18:25] DB mode: day 76/76 [DONE] | File mode: day 46/76 
[2026-02-07 02:19:25] DB mode: day 76/76 [DONE] | File mode: day 47/76 
[2026-02-07 02:20:25] DB mode: day 76/76 [DONE] | File mode: day 47/76 
[2026-02-07 02:21:25] DB mode: day 76/76 [DONE] | File mode: day 47/76 
[2026-02-07 02:22:25] DB mode: day 76/76 [DONE] | File mode: day 48/76 
[2026-02-07 02:23:25] DB mode: day 76/76 [DONE] | File mode: day 48/76 
[2026-02-07 02:24:25] DB mode: day 76/76 [DONE] | File mode: day 48/76 
[2026-02-07 02:25:25] DB mode: day 76/76 [DONE] | File mode: day 49/76 
[2026-02-07 02:26:25] DB mode: day 76/76 [DONE] | File mode: day 49/76 
[2026-02-07 02:27:25] DB mode: day 76/76 [DONE] | File mode: day 49/76 
[2026-02-07 02:28:25] DB mode: day 76/76 [DONE] | File mode: day 50/76 
[2026-02-07 02:29:25] DB mode: day 76/76 [DONE] | File mode: day 50/76 
[2026-02-07 02:30:25] DB mode: day 76/76 [DONE] | File mode: day 50/76 
[2026-02-07 02:31:25] DB mode: day 76/76 [DONE] | File mode: day 50/76 
[2026-02-07 02:32:25] DB mode: day 76/76 [DONE] | File mode: day 51/76 
[2026-02-07 02:33:25] DB mode: day 76/76 [DONE] | File mode: day 51/76 
[2026-02-07 02:34:25] DB mode: day 76/76 [DONE] | File mode: day 51/76 
[2026-02-07 02:35:25] DB mode: day 76/76 [DONE] | File mode: day 52/76 
[2026-02-07 02:36:25] DB mode: day 76/76 [DONE] | File mode: day 52/76 
[2026-02-07 02:37:25] DB mode: day 76/76 [DONE] | File mode: day 52/76 
[2026-02-07 02:38:25] DB mode: day 76/76 [DONE] | File mode: day 53/76 
[2026-02-07 02:39:25] DB mode: day 76/76 [DONE] | File mode: day 53/76 
[2026-02-07 02:40:25] DB mode: day 76/76 [DONE] | File mode: day 53/76 
[2026-02-07 02:41:25] DB mode: day 76/76 [DONE] | File mode: day 54/76 
[2026-02-07 02:42:25] DB mode: day 76/76 [DONE] | File mode: day 54/76 
[2026-02-07 02:43:25] DB mode: day 76/76 [DONE] | File mode: day 54/76 
[2026-02-07 02:44:25] DB mode: day 76/76 [DONE] | File mode: day 55/76 
[2026-02-07 02:45:25] DB mode: day 76/76 [DONE] | File mode: day 55/76 
[2026-02-07 02:46:25] DB mode: day 76/76 [DONE] | File mode: day 55/76 
[2026-02-07 02:47:25] DB mode: day 76/76 [DONE] | File mode: day 56/76 
[2026-02-07 02:48:25] DB mode: day 76/76 [DONE] | File mode: day 56/76 
[2026-02-07 02:49:25] DB mode: day 76/76 [DONE] | File mode: day 56/76 
[2026-02-07 02:50:25] DB mode: day 76/76 [DONE] | File mode: day 56/76 
[2026-02-07 02:51:25] DB mode: day 76/76 [DONE] | File mode: day 57/76 
[2026-02-07 02:52:25] DB mode: day 76/76 [DONE] | File mode: day 57/76 
[2026-02-07 02:53:25] DB mode: day 76/76 [DONE] | File mode: day 57/76 
[2026-02-07 02:54:25] DB mode: day 76/76 [DONE] | File mode: day 58/76 
[2026-02-07 02:55:25] DB mode: day 76/76 [DONE] | File mode: day 58/76 
[2026-02-07 02:56:25] DB mode: day 76/76 [DONE] | File mode: day 58/76 
[2026-02-07 02:57:25] DB mode: day 76/76 [DONE] | File mode: day 59/76 
[2026-02-07 02:58:25] DB mode: day 76/76 [DONE] | File mode: day 59/76 
[2026-02-07 02:59:25] DB mode: day 76/76 [DONE] | File mode: day 59/76 
[2026-02-07 03:00:25] DB mode: day 76/76 [DONE] | File mode: day 60/76 
[2026-02-07 03:01:25] DB mode: day 76/76 [DONE] | File mode: day 60/76 
[2026-02-07 03:02:25] DB mode: day 76/76 [DONE] | File mode: day 60/76 
[2026-02-07 03:03:25] DB mode: day 76/76 [DONE] | File mode: day 61/76 
[2026-02-07 03:04:26] DB mode: day 76/76 [DONE] | File mode: day 61/76 
[2026-02-07 03:05:26] DB mode: day 76/76 [DONE] | File mode: day 61/76 
[2026-02-07 03:06:26] DB mode: day 76/76 [DONE] | File mode: day 62/76 
[2026-02-07 03:07:26] DB mode: day 76/76 [DONE] | File mode: day 62/76 
[2026-02-07 03:08:26] DB mode: day 76/76 [DONE] | File mode: day 62/76 
[2026-02-07 03:09:26] DB mode: day 76/76 [DONE] | File mode: day 63/76 
[2026-02-07 03:10:26] DB mode: day 76/76 [DONE] | File mode: day 63/76 
[2026-02-07 03:11:26] DB mode: day 76/76 [DONE] | File mode: day 63/76 
[2026-02-07 03:12:26] DB mode: day 76/76 [DONE] | File mode: day 64/76 
[2026-02-07 03:13:26] DB mode: day 76/76 [DONE] | File mode: day 64/76 
[2026-02-07 03:14:26] DB mode: day 76/76 [DONE] | File mode: day 64/76 
[2026-02-07 03:15:26] DB mode: day 76/76 [DONE] | File mode: day 65/76 
[2026-02-07 03:16:26] DB mode: day 76/76 [DONE] | File mode: day 65/76 
[2026-02-07 03:17:26] DB mode: day 76/76 [DONE] | File mode: day 65/76 
[2026-02-07 03:18:26] DB mode: day 76/76 [DONE] | File mode: day 66/76 
[2026-02-07 03:19:26] DB mode: day 76/76 [DONE] | File mode: day 66/76 
[2026-02-07 03:20:26] DB mode: day 76/76 [DONE] | File mode: day 66/76 
[2026-02-07 03:21:26] DB mode: day 76/76 [DONE] | File mode: day 67/76 
[2026-02-07 03:22:26] DB mode: day 76/76 [DONE] | File mode: day 67/76 
[2026-02-07 03:23:26] DB mode: day 76/76 [DONE] | File mode: day 67/76 
[2026-02-07 03:24:26] DB mode: day 76/76 [DONE] | File mode: day 68/76 
[2026-02-07 03:25:26] DB mode: day 76/76 [DONE] | File mode: day 68/76 
[2026-02-07 03:26:26] DB mode: day 76/76 [DONE] | File mode: day 68/76 
[2026-02-07 03:27:26] DB mode: day 76/76 [DONE] | File mode: day 68/76 
[2026-02-07 03:28:26] DB mode: day 76/76 [DONE] | File mode: day 69/76 
[2026-02-07 03:29:26] DB mode: day 76/76 [DONE] | File mode: day 69/76 
[2026-02-07 03:30:26] DB mode: day 76/76 [DONE] | File mode: day 69/76 
[2026-02-07 03:31:26] DB mode: day 76/76 [DONE] | File mode: day 70/76 
[2026-02-07 03:32:26] DB mode: day 76/76 [DONE] | File mode: day 70/76 
