date,material,location,quantity
2025-10-08,80784365,A668,0
2025-10-08,80784365,A680,0
2025-10-08,80784365,C563,0
2025-10-08,80784365,C816,0
2025-10-08,80784365,C937,0
2025-10-08,80784365,D191,0
2025-10-08,80784365,D767,0
2025-10-08,80784365,E295,0
2025-10-08,80784365,E467,0
2025-10-08,80784366,A668,0
2025-10-08,80784366,A680,1288
2025-10-08,80784366,C563,196
2025-10-08,80784366,C816,2143
2025-10-08,80784366,C937,0
2025-10-08,80784366,D191,882
2025-10-08,80784366,D767,386
2025-10-08,80784366,E295,320
2025-10-08,80784366,E467,110
2025-10-08,80784368,A668,4579
2025-10-08,80784368,A680,2529
2025-10-08,80784368,C563,211
2025-10-08,80784368,C816,11563
2025-10-08,80784368,C937,0
2025-10-08,80784368,D191,0
2025-10-08,80784368,D767,0
2025-10-08,80784368,E295,0
2025-10-08,80784368,E467,0
2025-10-08,80784369,A668,1492
2025-10-08,80784369,A680,298
2025-10-08,80784369,C563,0
2025-10-08,80784369,C816,504
2025-10-08,80784369,C937,0
2025-10-08,80784369,D191,0
2025-10-08,80784369,D767,0
2025-10-08,80784369,E295,0
2025-10-08,80784369,E467,0
2025-10-08,80784370,A668,3586
2025-10-08,80784370,A680,3861
2025-10-08,80784370,C563,326
2025-10-08,80784370,C816,5614
2025-10-08,80784370,C937,0
2025-10-08,80784370,D191,0
2025-10-08,80784370,D767,14
2025-10-08,80784370,E295,0
2025-10-08,80784370,E467,0
2025-10-08,80784376,A668,1022
2025-10-08,80784376,A680,1263
2025-10-08,80784376,C563,320
2025-10-08,80784376,C816,3015
2025-10-08,80784376,C937,0
2025-10-08,80784376,D191,741
2025-10-08,80784376,D767,0
2025-10-08,80784376,E295,579
2025-10-08,80784376,E467,0
2025-10-08,80784377,A668,0
2025-10-08,80784377,A680,0
2025-10-08,80784377,C563,0
2025-10-08,80784377,C816,0
2025-10-08,80784377,C937,0
2025-10-08,80784377,D191,0
2025-10-08,80784377,D767,0
2025-10-08,80784377,E295,0
2025-10-08,80784377,E467,0
2025-10-08,80784379,A668,0
2025-10-08,80784379,A672,0
2025-10-08,80784379,A673,0
2025-10-08,80784379,A680,0
2025-10-08,80784379,A715,0
2025-10-08,80784379,A716,0
2025-10-08,80784379,C563,0
2025-10-08,80784379,C816,0
2025-10-08,80784379,C819,0
2025-10-08,80784379,C937,0
2025-10-08,80784379,D191,0
2025-10-08,80784379,D767,0
2025-10-08,80784379,E295,0
2025-10-08,80784379,E467,0
2025-10-08,80786340,A668,57
2025-10-08,80786340,A680,1548
2025-10-08,80786340,C563,47
2025-10-08,80786340,C816,1468
2025-10-08,80786340,C937,0
2025-10-08,80786340,D191,1004
2025-10-08,80786340,D767,0
2025-10-08,80786340,E295,224
2025-10-08,80786340,E467,119
2025-10-08,80799645,A668,806
2025-10-08,80799645,A680,1895
2025-10-08,80799645,C563,54
2025-10-08,80799645,C816,5747
2025-10-08,80799645,C937,0
2025-10-08,80799645,D191,49
2025-10-08,80799645,D767,170
2025-10-08,80799645,E295,0
2025-10-08,80799645,E467,0
2025-10-08,80799646,A668,3537
2025-10-08,80799646,A680,2990
2025-10-08,80799646,C563,105
2025-10-08,80799646,C816,3103
2025-10-08,80799646,C937,0
2025-10-08,80799646,D191,0
2025-10-08,80799646,D767,273
2025-10-08,80799646,E295,0
2025-10-08,80799646,E467,0
2025-10-08,80799647,A668,2943
2025-10-08,80799647,A680,529
2025-10-08,80799647,C563,0
2025-10-08,80799647,C816,1409
2025-10-08,80799647,C937,0
2025-10-08,80799647,D191,0
2025-10-08,80799647,D767,0
2025-10-08,80799647,E295,0
2025-10-08,80799647,E467,0
2025-10-08,80799648,A668,0
2025-10-08,80799648,A680,0
2025-10-08,80799648,C563,0
2025-10-08,80799648,C816,0
2025-10-08,80799648,C937,0
2025-10-08,80799648,D191,0
2025-10-08,80799648,D767,0
2025-10-08,80799648,E295,0
2025-10-08,80799648,E467,0
2025-10-08,80804077,A668,4378
2025-10-08,80804077,A680,2510
2025-10-08,80804077,C563,3
2025-10-08,80804077,C816,7778
2025-10-08,80804077,C937,0
2025-10-08,80804077,D191,0
2025-10-08,80804077,D767,64
2025-10-08,80804077,E295,0
2025-10-08,80804077,E467,0
2025-10-08,80804078,A668,0
2025-10-08,80804078,A680,0
2025-10-08,80804078,C563,0
2025-10-08,80804078,C816,0
2025-10-08,80804078,C937,0
2025-10-08,80804078,D191,0
2025-10-08,80804078,D767,0
2025-10-08,80804078,E295,0
2025-10-08,80804078,E467,0
2025-10-08,80804079,A668,3955
2025-10-08,80804079,A680,1120
2025-10-08,80804079,C563,0
2025-10-08,80804079,C816,3652
2025-10-08,80804079,C937,0
2025-10-08,80804079,D191,240
2025-10-08,80804079,D767,43
2025-10-08,80804079,E295,0
2025-10-08,80804079,E467,0
2025-10-08,80842325,A668,3992
2025-10-08,80842325,A680,3267
2025-10-08,80842325,C563,60
2025-10-08,80842325,C816,4071
2025-10-08,80842325,C937,0
2025-10-08,80842325,D191,0
2025-10-08,80842325,D767,50
2025-10-08,80842325,E295,0
2025-10-08,80842325,E467,0
2025-10-08,80842328,A668,3124
2025-10-08,80842328,A680,7836
2025-10-08,80842328,C563,176
2025-10-08,80842328,C816,10049
2025-10-08,80842328,C937,0
2025-10-08,80842328,D191,269
2025-10-08,80842328,D767,472
2025-10-08,80842328,E295,0
2025-10-08,80842328,E467,0
2025-10-08,80842331,A668,0
2025-10-08,80842331,A680,0
2025-10-08,80842331,C563,0
2025-10-08,80842331,C816,0
2025-10-08,80842331,C937,0
2025-10-08,80842331,D191,0
2025-10-08,80842331,D767,0
2025-10-08,80842331,E295,0
2025-10-08,80842331,E467,0
2025-10-08,80842334,A668,6061
2025-10-08,80842334,A680,2578
2025-10-08,80842334,C563,0
2025-10-08,80842334,C816,9434
2025-10-08,80842334,C937,0
2025-10-08,80842334,D191,107
2025-10-08,80842334,D767,60
2025-10-08,80842334,E295,0
2025-10-08,80842334,E467,0
2025-10-08,80842335,A668,0
2025-10-08,80842335,A680,0
2025-10-08,80842335,C563,0
2025-10-08,80842335,C816,0
2025-10-08,80842335,C937,0
2025-10-08,80842335,D191,0
2025-10-08,80842335,D767,0
2025-10-08,80842335,E295,0
2025-10-08,80842335,E467,0
2025-10-08,80842336,A668,0
2025-10-08,80842336,A680,0
2025-10-08,80842336,C563,0
2025-10-08,80842336,C816,0
2025-10-08,80842336,C937,0
2025-10-08,80842336,D191,0
2025-10-08,80842336,D767,0
2025-10-08,80842336,E295,0
2025-10-08,80842336,E467,0
2025-10-08,80842337,A668,554
2025-10-08,80842337,A680,265
2025-10-08,80842337,C563,94
2025-10-08,80842337,C816,625
2025-10-08,80842337,C937,0
2025-10-08,80842337,D191,652
2025-10-08,80842337,D767,214
2025-10-08,80842337,E295,278
2025-10-08,80842337,E467,0
2025-10-08,80842338,A668,691
2025-10-08,80842338,A680,422
2025-10-08,80842338,C563,0
2025-10-08,80842338,C816,2095
2025-10-08,80842338,C937,0
2025-10-08,80842338,D191,10
2025-10-08,80842338,D767,50
2025-10-08,80842338,E295,0
2025-10-08,80842338,E467,0
2025-10-08,80842339,A668,505
2025-10-08,80842339,A680,811
2025-10-08,80842339,C563,0
2025-10-08,80842339,C816,2327
2025-10-08,80842339,C937,0
2025-10-08,80842339,D191,17
2025-10-08,80842339,D767,38
2025-10-08,80842339,E295,0
2025-10-08,80842339,E467,0
2025-10-08,80842340,A668,777
2025-10-08,80842340,A680,912
2025-10-08,80842340,C563,0
2025-10-08,80842340,C816,6352
2025-10-08,80842340,C937,0
2025-10-08,80842340,D191,0
2025-10-08,80842340,D767,65
2025-10-08,80842340,E295,0
2025-10-08,80842340,E467,0
2025-10-08,80842342,A668,1
2025-10-08,80842342,A680,24
2025-10-08,80842342,C563,66
2025-10-08,80842342,C816,415
2025-10-08,80842342,C937,0
2025-10-08,80842342,D191,293
2025-10-08,80842342,D767,97
2025-10-08,80842342,E295,141
2025-10-08,80842342,E467,0
2025-10-08,80843403,A668,3812
2025-10-08,80843403,A680,1982
2025-10-08,80843403,C563,120
2025-10-08,80843403,C816,2238
2025-10-08,80843403,C937,0
2025-10-08,80843403,D191,124
2025-10-08,80843403,D767,119
2025-10-08,80843403,E295,0
2025-10-08,80843403,E467,0
2025-10-08,80843405,A668,715
2025-10-08,80843405,A672,0
2025-10-08,80843405,A673,0
2025-10-08,80843405,A680,462
2025-10-08,80843405,A715,0
2025-10-08,80843405,A716,0
2025-10-08,80843405,C563,0
2025-10-08,80843405,C816,0
2025-10-08,80843405,C819,0
2025-10-08,80843405,C937,0
2025-10-08,80843405,D191,0
2025-10-08,80843405,D767,0
2025-10-08,80843405,E295,0
2025-10-08,80843405,E467,0
2025-10-08,80845182,A668,4666
2025-10-08,80845182,A672,0
2025-10-08,80845182,A673,0
2025-10-08,80845182,A680,285
2025-10-08,80845182,A715,0
2025-10-08,80845182,A716,0
2025-10-08,80845182,C563,0
2025-10-08,80845182,C816,3134
2025-10-08,80845182,C819,0
2025-10-08,80845182,C937,0
2025-10-08,80845182,D191,0
2025-10-08,80845182,D767,423
2025-10-08,80845182,E295,29
2025-10-08,80845182,E467,0
2025-10-08,80845184,A668,1197
2025-10-08,80845184,A672,0
2025-10-08,80845184,A673,0
2025-10-08,80845184,A680,1224
2025-10-08,80845184,A715,0
2025-10-08,80845184,A716,0
2025-10-08,80845184,C563,0
2025-10-08,80845184,C816,2434
2025-10-08,80845184,C819,0
2025-10-08,80845184,C937,0
2025-10-08,80845184,D191,94
2025-10-08,80845184,D767,181
2025-10-08,80845184,E295,0
2025-10-08,80845184,E467,0
2025-10-08,80845590,A668,0
2025-10-08,80845590,A680,0
2025-10-08,80845590,C563,0
2025-10-08,80845590,C816,208
2025-10-08,80845590,C937,0
2025-10-08,80845590,D191,0
2025-10-08,80845590,D767,0
2025-10-08,80845590,E295,0
2025-10-08,80845590,E467,0
2025-10-08,80845592,A668,544
2025-10-08,80845592,A680,501
2025-10-08,80845592,C563,0
2025-10-08,80845592,C816,496
2025-10-08,80845592,C937,0
2025-10-08,80845592,D191,0
2025-10-08,80845592,D767,0
2025-10-08,80845592,E295,0
2025-10-08,80845592,E467,0
2025-10-08,80845594,A668,0
2025-10-08,80845594,A680,0
2025-10-08,80845594,C563,0
2025-10-08,80845594,C816,0
2025-10-08,80845594,C937,0
2025-10-08,80845594,D191,0
2025-10-08,80845594,D767,0
2025-10-08,80845594,E295,0
2025-10-08,80845594,E467,0
2025-10-08,80845595,A668,0
2025-10-08,80845595,A680,324
2025-10-08,80845595,C563,0
2025-10-08,80845595,C816,912
2025-10-08,80845595,C937,0
2025-10-08,80845595,D191,0
2025-10-08,80845595,D767,0
2025-10-08,80845595,E295,0
2025-10-08,80845595,E467,0
2025-10-08,80858064,A668,674
2025-10-08,80858064,A680,559
2025-10-08,80858064,C563,0
2025-10-08,80858064,C816,1576
2025-10-08,80858064,C937,0
2025-10-08,80858064,D191,0
2025-10-08,80858064,D767,0
2025-10-08,80858064,E295,0
2025-10-08,80858064,E467,0
2025-10-08,80858067,A668,770
2025-10-08,80858067,A680,941
2025-10-08,80858067,C563,0
2025-10-08,80858067,C816,2215
2025-10-08,80858067,C937,0
2025-10-08,80858067,D191,0
2025-10-08,80858067,D767,0
2025-10-08,80858067,E295,0
2025-10-08,80858067,E467,0
2025-10-08,80858069,A668,3229
2025-10-08,80858069,A680,753
2025-10-08,80858069,C563,0
2025-10-08,80858069,C816,3714
2025-10-08,80858069,C937,0
2025-10-08,80858069,D191,0
2025-10-08,80858069,D767,0
2025-10-08,80858069,E295,0
2025-10-08,80858069,E467,0
2025-10-08,80858072,A668,0
2025-10-08,80858072,A680,0
2025-10-08,80858072,C563,0
2025-10-08,80858072,C816,0
2025-10-08,80858072,C937,0
2025-10-08,80858072,D191,0
2025-10-08,80858072,D767,0
2025-10-08,80858072,E295,0
2025-10-08,80858072,E467,0
2025-10-08,80858074,A668,1598
2025-10-08,80858074,A680,173
2025-10-08,80858074,C563,0
2025-10-08,80858074,C816,1439
2025-10-08,80858074,C937,0
2025-10-08,80858074,D191,0
2025-10-08,80858074,D767,0
2025-10-08,80858074,E295,0
2025-10-08,80858074,E467,0
2025-10-08,80858075,A668,0
2025-10-08,80858075,A680,0
2025-10-08,80858075,C563,0
2025-10-08,80858075,C816,0
2025-10-08,80858075,C937,0
2025-10-08,80858075,D191,0
2025-10-08,80858075,D767,0
2025-10-08,80858075,E295,0
2025-10-08,80858075,E467,0
2025-10-08,80858076,A668,3773
2025-10-08,80858076,A680,596
2025-10-08,80858076,C563,0
2025-10-08,80858076,C816,3451
2025-10-08,80858076,C937,0
2025-10-08,80858076,D191,0
2025-10-08,80858076,D767,0
2025-10-08,80858076,E295,0
2025-10-08,80858076,E467,0
2025-10-08,80880374,A668,1714
2025-10-08,80880374,A680,882
2025-10-08,80880374,C563,0
2025-10-08,80880374,C816,3234
2025-10-08,80880374,C937,0
2025-10-08,80880374,D191,0
2025-10-08,80880374,D767,0
2025-10-08,80880374,E295,0
2025-10-08,80880374,E467,0
2025-10-08,80880379,A668,3225
2025-10-08,80880379,A680,1470
