date,material,location,quantity,type
2025-09-11,80813608,A668,0,customer_shipment
2025-09-11,80813608,C816,73,customer_shipment
2025-09-11,80813608,C810,159,customer_shipment
2025-09-11,80813644,A668,0,customer_shipment
2025-09-11,80813644,C816,40,customer_shipment
2025-09-11,80813644,C810,161,customer_shipment
