date,material,location,ending_inventory,in_transit,production_gr,delivery_gr,order,shipment,delivery_ship,supply_demand,safety_stock
2025-10-06,80784379,A888,0,0,0,0,93,0,0,0,310
2025-10-06,80784379,C563,0,0,0,0,3,0,0,0,72
2025-10-06,80784379,C816,0,0,0,0,97,0,0,0,454
2025-10-06,80784379,C819,0,0,0,0,4,0,0,0,28
2025-10-06,80784379,C937,0,0,0,0,0,0,0,0,0
2025-10-06,80784379,D191,0,0,0,0,0,0,0,0,33
2025-10-06,80784379,D767,0,0,0,0,84,0,0,0,233
2025-10-06,80784379,E295,0,0,0,0,0,0,0,0,0
2025-10-06,80784379,E467,0,0,0,0,0,0,0,0,0
2025-10-06,80786340,A668,417,0,0,0,97,97,0,0,524
2025-10-06,80786340,A680,1548,0,0,0,0,0,0,0,0
2025-10-06,80786340,A888,0,0,0,0,257,0,0,0,472
2025-10-06,80786340,C563,58,0,0,0,10,10,0,0,61
2025-10-06,80786340,C816,1911,0,0,0,0,0,0,0,544
2025-10-06,80786340,C937,0,0,0,0,0,0,0,0,0
2025-10-06,80786340,D191,1030,0,0,0,4,4,0,0,198
2025-10-06,80786340,D767,148,0,0,0,298,298,0,0,455
2025-10-06,80786340,E295,306,0,0,0,42,42,0,0,132
2025-10-06,80786340,E467,136,0,0,0,4,4,0,0,31
2025-10-06,80799645,A668,1064,0,0,0,186,186,0,0,768
2025-10-06,80799645,A680,1895,0,0,0,0,0,0,0,0
2025-10-06,80799645,A888,0,0,0,0,173,0,0,0,429
2025-10-06,80799645,C563,74,0,0,0,9,9,0,0,52
2025-10-06,80799645,C816,6519,0,0,0,24,24,0,0,1582
2025-10-06,80799645,C937,0,0,0,0,0,0,0,0,0
2025-10-06,80799645,D191,97,0,0,0,17,17,0,0,183
2025-10-06,80799645,D767,215,0,0,0,21,21,0,0,118
2025-10-06,80799645,E295,0,0,0,0,0,0,0,0,0
2025-10-06,80799645,E467,0,0,0,0,0,0,0,0,0
2025-10-06,80799646,A668,3992,0,0,0,76,76,0,0,913
2025-10-06,80799646,A680,2990,0,0,0,0,0,0,0,0
2025-10-06,80799646,A888,0,0,0,0,334,0,0,0,1167
2025-10-06,80799646,C563,164,0,0,0,33,33,0,0,106
2025-10-06,80799646,C816,3547,0,0,0,125,125,0,0,1730
2025-10-06,80799646,C937,0,0,0,0,0,0,0,0,0
2025-10-06,80799646,D191,35,0,0,0,57,57,0,0,196
2025-10-06,80799646,D767,283,0,0,0,4,4,0,0,141
2025-10-06,80799646,E295,0,0,0,0,0,0,0,0,0
2025-10-06,80799646,E467,0,0,0,0,0,0,0,0,0
2025-10-06,80799647,A668,3121,0,0,0,151,151,0,0,613
2025-10-06,80799647,A680,529,0,0,0,0,0,0,0,0
2025-10-06,80799647,A888,0,0,0,0,284,0,0,0,1093
2025-10-06,80799647,C563,0,0,0,0,0,0,0,0,73
2025-10-06,80799647,C816,1614,0,0,0,56,56,0,0,970
2025-10-06,80799647,C937,0,0,0,0,0,0,0,0,0
2025-10-06,80799647,D191,0,0,0,0,26,4,0,0,100
2025-10-06,80799647,D767,29,0,0,0,17,17,0,0,106
2025-10-06,80799647,E295,0,0,0,0,0,0,0,0,0
2025-10-06,80799647,E467,0,0,0,0,0,0,0,0,0
2025-10-06,8079964701,A668,3132,0,0,0,140,140,0,0,613
2025-10-06,8079964701,A680,529,0,0,0,0,0,0,0,0
2025-10-06,8079964701,A888,0,0,0,0,284,0,0,0,1093
2025-10-06,8079964701,C563,0,0,0,0,14,0,0,0,73
2025-10-06,8079964701,C816,1558,0,0,0,112,112,0,0,970
2025-10-06,8079964701,C937,0,0,0,0,0,0,0,0,0
2025-10-06,8079964701,D191,0,0,0,0,34,4,0,0,100
2025-10-06,8079964701,D767,23,0,0,0,23,23,0,0,106
2025-10-06,8079964701,E295,0,0,0,0,0,0,0,0,0
2025-10-06,8079964701,E467,0,0,0,0,0,0,0,0,0
2025-10-06,80799648,A668,0,0,0,0,117,0,0,0,530
2025-10-06,80799648,A680,0,0,0,0,0,0,0,0,0
2025-10-06,80799648,A888,0,0,0,0,324,0,0,0,1328
2025-10-06,80799648,C563,0,0,0,0,8,0,0,0,72
2025-10-06,80799648,C816,0,0,0,0,90,0,0,0,1106
2025-10-06,80799648,C937,0,0,0,0,0,0,0,0,0
2025-10-06,80799648,D191,0,0,0,0,34,0,0,0,149
2025-10-06,80799648,D767,0,0,0,0,17,0,0,0,141
2025-10-06,80799648,E295,0,0,0,0,0,0,0,0,0
2025-10-06,80799648,E467,0,0,0,0,0,0,0,0,0
2025-10-06,80804077,A668,4595,0,0,0,197,197,0,0,814
2025-10-06,80804077,A680,2510,0,0,0,0,0,0,0,0
2025-10-06,80804077,A888,0,0,0,0,52,0,0,0,85
2025-10-06,80804077,C563,3,0,0,0,0,0,0,0,0
2025-10-06,80804077,C816,7913,0,0,0,105,105,0,0,252
2025-10-06,80804077,C937,0,0,0,0,0,0,0,0,0
2025-10-06,80804077,D191,0,0,0,0,3,0,0,0,16
2025-10-06,80804077,D767,74,0,0,0,6,6,0,0,17
2025-10-06,80804077,E295,0,0,0,0,0,0,0,0,0
2025-10-06,80804077,E467,0,0,0,0,0,0,0,0,0
2025-10-06,8080407701,A668,4668,0,0,0,124,124,0,0,814
2025-10-06,8080407701,A680,2510,0,0,0,0,0,0,0,0
2025-10-06,8080407701,A888,0,0,0,0,52,0,0,0,85
2025-10-06,8080407701,C563,3,0,0,0,0,0,0,0,0
2025-10-06,8080407701,C816,7991,0,0,0,27,27,0,0,252
2025-10-06,8080407701,C937,0,0,0,0,0,0,0,0,0
2025-10-06,8080407701,D191,0,0,0,0,0,0,0,0,16
2025-10-06,8080407701,D767,77,0,0,0,3,3,0,0,17
2025-10-06,8080407701,E295,0,0,0,0,0,0,0,0,0
2025-10-06,8080407701,E467,0,0,0,0,0,0,0,0,0
2025-10-06,80804078,A668,0,0,0,0,347,0,0,0,1716
2025-10-06,80804078,A680,0,0,0,0,0,0,0,0,0
2025-10-06,80804078,A888,0,0,0,0,119,0,0,0,224
2025-10-06,80804078,C563,0,0,0,0,0,0,0,0,0
2025-10-06,80804078,C816,0,0,0,0,182,0,0,0,563
2025-10-06,80804078,C937,0,0,0,0,0,0,0,0,0
2025-10-06,80804078,D191,0,0,0,0,5,0,0,0,33
2025-10-06,80804078,D767,0,0,0,0,12,0,0,0,41
2025-10-06,80804078,E295,0,0,0,0,0,0,0,0,0
2025-10-06,80804078,E467,0,0,0,0,0,0,0,0,0
2025-10-06,80804079,A668,4334,0,0,0,0,0,0,0,1499
2025-10-06,80804079,A680,1120,0,0,0,0,0,0,0,0
2025-10-06,80804079,A888,0,0,0,0,102,0,0,0,141
2025-10-06,80804079,C563,0,0,0,0,0,0,0,0,0
2025-10-06,80804079,C816,4109,0,0,0,217,217,0,0,539
2025-10-06,80804079,C937,0,0,0,0,0,0,0,0,0
2025-10-06,80804079,D191,245,0,0,0,1,1,0,0,30
2025-10-06,80804079,D767,64,0,0,0,10,10,0,0,31
2025-10-06,80804079,E295,0,0,0,0,0,0,0,0,0
2025-10-06,80804079,E467,0,0,0,0,0,0,0,0,0
2025-10-06,80842325,A668,4777,0,0,0,417,417,0,0,1504
2025-10-06,80842325,A680,3267,0,0,0,0,0,0,0,0
2025-10-06,80842325,A888,0,0,0,0,379,0,0,0,1043
2025-10-06,80842325,C563,114,0,0,0,16,16,0,0,45
2025-10-06,80842325,C816,4932,0,0,0,822,822,0,0,577
2025-10-06,80842325,C937,0,0,0,0,0,0,0,0,0
2025-10-06,80842325,D191,69,0,0,0,23,23,0,0,89
2025-10-06,80842325,D767,77,0,0,0,26,26,0,0,94
2025-10-06,80842325,E295,0,0,0,0,0,0,0,0,0
2025-10-06,80842325,E467,0,0,0,0,0,0,0,0,0
2025-10-06,8084232501,A668,4952,0,0,0,242,242,0,0,1504
2025-10-06,8084232501,A680,3267,0,0,0,0,0,0,0,0
2025-10-06,8084232501,A888,0,0,0,0,379,0,0,0,1043
2025-10-06,8084232501,C563,112,0,0,0,18,18,0,0,45
2025-10-06,8084232501,C816,5699,0,0,0,55,55,0,0,577
2025-10-06,8084232501,C937,0,0,0,0,0,0,0,0,0
2025-10-06,8084232501,D191,71,0,0,0,21,21,0,0,89
2025-10-06,8084232501,D767,91,0,0,0,12,12,0,0,94
2025-10-06,8084232501,E295,0,0,0,0,0,0,0,0,0
2025-10-06,8084232501,E467,0,0,0,0,0,0,0,0,0
2025-10-06,80842328,A668,4319,0,0,0,663,663,0,0,2272
2025-10-06,80842328,A680,7836,0,0,0,0,0,0,0,0
2025-10-06,80842328,A888,0,0,0,0,367,0,0,0,221
2025-10-06,80842328,C563,239,0,0,0,31,31,0,0,77
2025-10-06,80842328,C816,10445,0,0,0,378,378,0,0,1479
2025-10-06,80842328,C937,0,0,0,0,0,0,0,0,0
2025-10-06,80842328,D191,319,0,0,0,25,25,0,0,150
2025-10-06,80842328,D767,519,0,0,0,7,7,0,0,179
2025-10-06,80842328,E295,0,0,0,0,0,0,0,0,0
2025-10-06,80842328,E467,0,0,0,0,0,0,0,0,0
2025-10-06,80842331,A668,0,0,0,0,140,0,0,0,850
2025-10-06,80842331,A680,0,0,0,0,0,0,0,0,0
2025-10-06,80842331,A888,0,0,0,0,179,0,0,0,240
2025-10-06,80842331,C563,0,0,0,0,0,0,0,0,0
2025-10-06,80842331,C816,0,0,0,0,388,0,0,0,539
2025-10-06,80842331,C937,0,0,0,0,0,0,0,0,0
2025-10-06,80842331,D191,0,0,0,0,4,0,0,0,53
2025-10-06,80842331,D767,0,0,0,0,21,0,0,0,59
2025-10-06,80842331,E295,0,0,0,0,0,0,0,0,0
2025-10-06,80842331,E467,0,0,0,0,0,0,0,0,0
2025-10-06,80842334,A668,6577,0,0,0,379,379,0,0,862
2025-10-06,80842334,A680,2578,0,0,0,0,0,0,0,0
2025-10-06,80842334,A888,0,0,0,0,227,0,0,0,585
2025-10-06,80842334,C563,0,0,0,0,0,0,0,0,0
2025-10-06,80842334,C816,10069,0,0,0,397,397,0,0,357
2025-10-06,80842334,C937,0,0,0,0,0,0,0,0,0
2025-10-06,80842334,D191,129,0,0,0,5,5,0,0,50
2025-10-06,80842334,D767,63,0,0,0,1,1,0,0,30
2025-10-06,80842334,E295,0,0,0,0,0,0,0,0,0
2025-10-06,80842334,E467,0,0,0,0,0,0,0,0,0
2025-10-06,80842335,A668,0,0,0,0,0,0,0,0,224
2025-10-06,80842335,A680,0,0,0,0,0,0,0,0,0
2025-10-06,80842335,A888,0,0,0,0,64,0,0,0,47
2025-10-06,80842335,C563,0,0,0,0,0,0,0,0,0
2025-10-06,80842335,C816,0,0,0,0,164,0,0,0,345
2025-10-06,80842335,C937,0,0,0,0,0,0,0,0,0
2025-10-06,80842335,D191,0,0,0,0,7,0,0,0,30
2025-10-06,80842335,D767,0,0,0,0,6,0,0,0,21
2025-10-06,80842335,E295,0,0,0,0,0,0,0,0,0
2025-10-06,80842335,E467,0,0,0,0,0,0,0,0,0
2025-10-06,80842336,A668,0,0,0,0,0,0,0,0,96
2025-10-06,80842336,A680,0,0,0,0,0,0,0,0,0
2025-10-06,80842336,A888,0,0,0,0,34,0,0,0,25
2025-10-06,80842336,C563,0,0,0,0,6,0,0,0,27
2025-10-06,80842336,C816,0,0,0,0,63,0,0,0,205
2025-10-06,80842336,C937,0,0,0,0,0,0,0,0,0
2025-10-06,80842336,D191,0,0,0,0,27,0,0,0,91
2025-10-06,80842336,D767,0,0,0,0,17,0,0,0,43
2025-10-06,80842336,E295,0,0,0,0,20,0,0,0,85
2025-10-06,80842336,E467,0,0,0,0,0,0,0,0,0
2025-10-06,80842337,A668,554,0,0,0,0,0,0,0,185
2025-10-06,80842337,A680,265,0,0,0,0,0,0,0,0
2025-10-06,80842337,A888,0,0,0,0,39,0,0,0,66
2025-10-06,80842337,C563,143,0,0,0,25,25,0,0,84
2025-10-06,80842337,C816,736,0,0,0,106,106,0,0,290
2025-10-06,80842337,C937,0,0,0,0,0,0,0,0,0
2025-10-06,80842337,D191,739,0,0,0,47,47,0,0,172
2025-10-06,80842337,D767,231,0,0,0,14,14,0,0,84
2025-10-06,80842337,E295,334,0,0,0,11,11,0,0,171
2025-10-06,80842337,E467,0,0,0,0,0,0,0,0,0
2025-10-06,80842338,A668,751,0,0,0,57,57,0,0,241
2025-10-06,80842338,A680,422,0,0,0,0,0,0,0,0
2025-10-06,80842338,A888,0,0,0,0,60,0,0,0,24
2025-10-06,80842338,C563,0,0,0,0,0,0,0,0,0
2025-10-06,80842338,C816,2375,0,0,0,192,192,0,0,325
2025-10-06,80842338,C937,0,0,0,0,0,0,0,0,0
2025-10-06,80842338,D191,24,0,0,0,0,0,0,0,30
2025-10-06,80842338,D767,67,0,0,0,11,11,0,0,21
2025-10-06,80842338,E295,0,0,0,0,0,0,0,0,0
2025-10-06,80842338,E467,0,0,0,0,0,0,0,0,0
2025-10-06,80842339,A668,575,0,0,0,35,35,0,0,162
2025-10-06,80842339,A680,811,0,0,0,0,0,0,0,0
2025-10-06,80842339,A888,0,0,0,0,50,0,0,0,37
2025-10-06,80842339,C563,0,0,0,0,0,0,0,0,0
2025-10-06,80842339,C816,2607,0,0,0,18,18,0,0,262
2025-10-06,80842339,C937,0,0,0,0,0,0,0,0,0
2025-10-06,80842339,D191,26,0,0,0,0,0,0,0,24
2025-10-06,80842339,D767,46,0,0,0,6,6,0,0,15
2025-10-06,80842339,E295,0,0,0,0,0,0,0,0,0
2025-10-06,80842339,E467,0,0,0,0,0,0,0,0,0
2025-10-06,8084233901,A668,568,0,0,0,42,42,0,0,162
2025-10-06,8084233901,A680,811,0,0,0,0,0,0,0,0
2025-10-06,8084233901,A888,0,0,0,0,50,0,0,0,37
2025-10-06,8084233901,C563,0,0,0,0,0,0,0,0,0
2025-10-06,8084233901,C816,2625,0,0,0,0,0,0,0,262
2025-10-06,8084233901,C937,0,0,0,0,0,0,0,0,0
2025-10-06,8084233901,D191,22,0,0,0,4,4,0,0,24
2025-10-06,8084233901,D767,44,0,0,0,8,8,0,0,15
2025-10-06,8084233901,E295,0,0,0,0,0,0,0,0,0
2025-10-06,8084233901,E467,0,0,0,0,0,0,0,0,0
2025-10-06,80842340,A668,1074,0,0,0,68,68,0,0,337
2025-10-06,80842340,A680,912,0,0,0,0,0,0,0,0
2025-10-06,80842340,A888,0,0,0,0,109,0,0,0,115
2025-10-06,80842340,C563,0,0,0,0,0,0,0,0,0
2025-10-06,80842340,C816,6593,0,0,0,128,128,0,0,498
2025-10-06,80842340,C937,0,0,0,0,0,0,0,0,0
2025-10-06,80842340,D191,0,0,0,0,9,0,0,0,49
2025-10-06,80842340,D767,80,0,0,0,0,0,0,0,23
2025-10-06,80842340,E295,0,0,0,0,0,0,0,0,0
2025-10-06,80842340,E467,0,0,0,0,0,0,0,0,0
2025-10-06,80842342,A668,47,0,0,0,11,11,0,0,78
2025-10-06,80842342,A680,24,0,0,0,0,0,0,0,0
2025-10-06,80842342,A888,0,0,0,0,27,0,0,0,67
2025-10-06,80842342,C563,80,0,0,0,7,7,0,0,35
2025-10-06,80842342,C816,528,0,0,0,75,75,0,0,173
2025-10-06,80842342,C937,0,0,0,0,0,0,0,0,0
2025-10-06,80842342,D191,343,0,0,0,25,25,0,0,106
2025-10-06,80842342,D767,118,0,0,0,9,9,0,0,50
2025-10-06,80842342,E295,146,0,0,0,5,5,0,0,100
2025-10-06,80842342,E467,0,0,0,0,0,0,0,0,0
2025-10-06,8084234201,A668,13,0,0,0,45,45,0,0,78
2025-10-06,8084234201,A680,24,0,0,0,0,0,0,0,0
2025-10-06,8084234201,A888,0,0,0,0,27,0,0,0,67
2025-10-06,8084234201,C563,82,0,0,0,5,5,0,0,35
2025-10-06,8084234201,C816,568,0,0,0,35,35,0,0,173
2025-10-06,8084234201,C937,0,0,0,0,0,0,0,0,0
2025-10-06,8084234201,D191,351,0,0,0,17,17,0,0,106
2025-10-06,8084234201,D767,117,0,0,0,10,10,0,0,50
2025-10-06,8084234201,E295,142,0,0,0,9,9,0,0,100
2025-10-06,8084234201,E467,0,0,0,0,0,0,0,0,0
2025-10-06,80843403,A668,3838,0,0,0,20,20,0,0,376
2025-10-06,80843403,A680,1982,0,0,0,0,0,0,0,0
