date,material,location,beginning_inventory,production_gr,delivery_gr,shipment,delivery_ship,ending_inventory,calculated_ending,balance_diff
2025-10-10,80784365,A888,13462,3356,0,488,4114.0,12216,12216.0,0.0
2025-10-10,80845184,A888,0,17499,0,148,2067.0,15284,15284.0,0.0
2025-10-10,80786340,A680,1548,0,0,0,0.0,1548,1548.0,0.0
2025-10-10,80845595,A680,324,0,0,0,0.0,324,324.0,0.0
2025-10-10,80784368,C816,11120,0,0,717,0.0,10403,10403.0,0.0
2025-10-10,80845592,A668,512,0,0,13,0.0,499,499.0,0.0
2025-10-10,80784376,A680,1263,0,0,0,0.0,1263,1263.0,0.0
2025-10-10,80842334,A668,6052,0,0,269,0.0,5783,5783.0,0.0
2025-10-10,80842337,D767,196,0,0,23,0.0,173,173.0,0.0
2025-10-10,8078436601,A680,1288,0,0,0,0.0,1288,1288.0,0.0
2025-10-10,80845595,C816,912,0,0,129,0.0,783,783.0,0.0
2025-10-10,80799645,A668,653,0,0,120,0.0,533,533.0,0.0
2025-10-10,8084234201,C563,69,0,0,0,0.0,69,69.0,0.0
2025-10-10,8079964701,A668,2463,0,0,0,0.0,2463,2463.0,0.0
2025-10-10,80804079,C816,3409,0,0,92,0.0,3317,3317.0,0.0
2025-10-10,80842338,A668,554,0,0,150,0.0,404,404.0,0.0
2025-10-10,80858067,C816,2205,0,0,19,0.0,2186,2186.0,0.0
2025-10-10,80880379,C816,6533,0,0,17,0.0,6516,6516.0,0.0
2025-10-10,8080407701,A668,4090,0,0,238,0.0,3852,3852.0,0.0
2025-10-10,8084340301,D767,119,0,0,0,0.0,119,119.0,0.0
2025-10-10,80843403,D767,119,0,0,0,0.0,119,119.0,0.0
2025-10-10,80842339,C816,2327,0,0,177,0.0,2150,2150.0,0.0
